DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;P5220;P5220S1;P6008;P6007;P6007S1;HOGAR;P4000;P4010;P4020;P4030S1;P4030S1A1;P4030S2;P4030S3;P4030S4;P4030S4A1;P4030S5;P4040;REGIS;AREA;MES;DPTO;fex_c_2011
4319419;1;3;1;1;1;1;1;1;3;3; ; ; ; ;1000000;2;1;2;1;1;1;1;1;2;1;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2; ;1;2;1;4;1;4;1;1;1;2;1;1;01;05;05;05;1144,23086383601
4319420;1;5;3;1;1;1;1;1;3;2; ;1700000;230000000;1000000; ;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;2;1;2;2;1;2;1;2;4;2; ;1;2;1;4;1;4;1;1;1;2;1;1;01;05;05;05;1431,32662123176
4319421;1;5;4;1;1;1;1;1;3;1; ; ;240000000;1300000; ;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;2;2;2;2;2;2;1;5;5;2; ;1;2;1;4;1;4;1;1;1;2;1;1;01;05;05;05;613,01788201856
4319422;1;3;1;1;1;1;1;1;3;3; ; ; ; ;360000;1;2;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;1;2;2;1;2;2;2; ;1;2;1;4;1;2;1;1;1;2;1;1;01;05;05;05;1167,19379556272
4319423;1;6;5;1;1;1;1;1;3;1; ; ;80000000;450000; ;1;1;1;1;1;1;1;2;1;2;1;1;2;1;2;2;2;1;1;2;2;1;4;6;2; ;1;2;1;4;1;2;1;1;1;2;1;1;01;05;05;05;1149,11075221975
4319424;1;3;1;1;1;1;1;1;4;4; ; ; ;350000; ;2;1;2;1;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;1;1;2; ;1;2;1;4;1;2;2;1;1;2;1;1;01;05;05;05;1011,28814583227
4319425;1;3;2;1;1;1;1;1;3;1; ; ;98;400000; ;1;1;2;1;1;1;1;2;1;1;1;2;1;2;2;2;2;2;1;2;2;1;2;4;2; ;1;2;1;4;1;2;1;1;1;2;1;1;01;05;05;05;1310,00163362998
4319426;1;4;2;1;1;1;1;1;3;1; ; ;80000000;450000; ;1;1;2;1;1;1;1;1;1;1;1;2;1;1;2;2;2;2;2;2;2;1;3;3;2; ;1;2;1;4;1;2;1;1;1;2;1;1;01;05;05;05;1173,21810914784
4319427;1;3;2;1;1;1;1;1;4;3; ; ; ; ;300000;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;2;1;4;4;2; ;1;2;1;4;1;2;2;1;1;2;1;1;01;05;05;05;1238,45459540189
4319428;1;5;3;1;1;1;1;1;3;1; ; ;90000000;450000; ;1;1;1;1;1;1;1;2;2;2;1;1;1;1;2;2;2;1;2;2;2;1;3;4;2; ;1;2;1;4;1;2;1;1;1;2;1;1;01;05;05;05;875,792844478393
4319429;1;5;3;1;1;1;1;1;3;1; ; ;98;800000; ;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;2;1;2;2;2;2;1;2;7;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;05;05;05;922,539448663963
4319430;1;5;3;1;1;1;1;1;3;1; ; ;250000000;900000; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;1;2;1;4;4;2; ;1;2;1;4;1;3;1;1;1;2;1;1;01;05;05;05;894,914969726704
4319431;1;4;2;1;1;1;1;1;3;1; ; ;200000000;1100000; ;1;1;1;1;1;1;1;2;2;1;1;2;2;1;1;2;1;1;2;1;2;1;3;3;2; ;1;2;1;4;1;3;1;1;1;2;1;1;01;05;05;05;998,323342158532
4319432;1;5;2;1;1;1;1;1;3;4; ; ; ;98; ;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;2;2;2;2;2;2;1;2;2;2; ;1;2;1;4;1;4;1;1;1;7;1;1;01;05;05;05;1148,07167031441
4319433;1;2;1;1;1;1;1;1;4;3; ; ; ; ;400000;2;1;1;2;2;1;1;2;2;2;1;2;2;1;2;2;2;2;2;2;2;1;1;1;2; ;1;2;1;4;1;4;2;1;1;2;1;1;01;05;05;05;1136,00215061913
4319434;1;4;1;1;1;1;1;1;3;3; ; ; ; ;750000;2;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;1;1;1;2;2;1;1;1;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;05;05;05;1030,41027108058
4319435;1;5;2;1;1;1;1;1;3;1; ; ;80000000;350000; ;1;1;1;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2; ;1;2;1;4;1;1;1;1;1;2;1;1;01;05;05;05;1148,07167031441
4319436;1;4;2;1;1;1;1;1;4;3; ; ; ; ;1100000;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;2;1;2;2;1;2;2;2; ;1;2;1;4;1;4;2;1;1;2;1;1;01;05;05;05;1384,42276074998
4319437;1;3;1;1;1;1;1;1;4;1; ; ;98;98; ;1;1;2;1;1;1;1;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2; ;1;2; ;1;2;1;4;1;4;2;1;1;2;1;1;01;05;05;05;1011,28814583227
4319438;1;5;3;1;1;1;1;1;3;1; ; ;230000000;1300000; ;1;1;1;1;1;1;1;1;2;2;1;1;2;1;2;2;2;2;2;1;2;1;2;2;2; ;1;2;1;4;1;4;1;1;1;6;1;1;01;05;05;05;1148,07167031441
4319439;1;3;2;1;1;1;1;1;3;1; ; ;80000000;300000; ;1;1;2;2;1;1;1;2;2;2;1;1;1;2;2;2;2;2;2;2;2;1;4;4;2; ;1;2;1;4;1;2;1;1;1;2;1;1;01;05;05;05;978,891432016691
4319441;1;5;4;1;1;1;1;1;3;1; ; ;300000000;800000; ;1;1;1;1;1;1;1;1;1;2;1;1;2;1;2;2;2;2;2;2;2;1;3;4;2; ;1;1;1;4;1;3;1;1;1;2;1;1;01;05;05;05;793,163896666557
4319442;1;3;2;1;1;1;1;1;3;1; ; ;40000000;300000; ;1;1;1;1;1;1;1;2;1;1;1;2;1;1;2;2;2;2;2;2;2;1;3;3;2; ;1;2;1;4;1;2;1;1;1;2;1;1;01;05;05;05;1063,78542313089
4319443;1;3;2;1;1;1;1;1;3;1; ; ;98;400000; ;1;1;2;1;1;1;1;2;2;1;1;2;2;2;2;2;1;2;2;2;2;1;2;2;2; ;1;2;1;4;1;2;1;1;1;2;1;1;01;05;05;05;1148,07167031441
4319444;1;3;1;1;1;1;1;1;1;4; ; ; ;350000; ;2;1;1;1;1;1;1;2;1;2;1;1;1;1;2;2;2;2;1;2;2;1;2;2;2; ;1;2;1;4;1;2;2;1;1;3;1;1;01;05;05;05;950,21397159839
4319445;1;2;1;1;1;1;1;3;3;3; ; ; ; ;607000;2;2;1;1;1;1;1;1;1;1;1;2;2;1;2;2;2;2;2;2;2;1;2;2;2; ;1;2;1;4;1;4;1;1;1;2;1;1;01;05;05;05;973,176903325101
4319446;1;5;3;1;1;1;1;1;3;3; ; ; ; ;300000;2;1;2;2;1;1;1;2;2;2;1;2;1;2;2;2;2;1;2;2;2;1;2;4;2; ;1;2;1;4;1;2;1;1;1;3;1;1;01;05;05;05;1135,10686664067
4319447;1;2;1;1;1;1;1;1;3;3; ; ; ; ;650000;2;2;1;1;1;1;1;2;2;1;1;2;2;1;2;2;1;2;2;2;2;1;1;1;1;3;1;2;1;4;1;4;1;1;1;2;1;1;01;05;05;05;1007,44733935387
4319448;1;4;3;1;1;1;1;1;3;3; ; ; ; ;390000;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;1;2;2;1;3;4;2; ;1;2;1;4;1;2;1;1;1;2;1;1;01;05;05;05;941,254925450753
4319449;1;1;1;1;1;1;1;1;3;3; ; ; ; ;650000;1;1;1;1;1;1;1;2;1;2;1;2;2;1;2;2;2;2;2;2;2;1;1;1;2; ;1;2;1;4;1;4;1;1;1;2;1;1;01;05;05;05;1007,44733935387
4319450;1;3;3;1;1;1;1;2;3;1; ; ;40000000;450000; ;2;1;2;1;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;4;4;2; ;1;2;1;4;1;2;1;1;1;3;1;1;01;05;05;05;1222,38701293199
4319451;1;7;5;1;1;1;1;1;3;4; ; ; ;400000; ;1;1;1;1;1;1;1;2;1;2;1;2;1;1;2;2;2;2;1;2;2;1;4;6;2; ;1;1;1;2;1;2;1;1;1;2;1;1;01;05;05;05;1318,00475212855
4319452;1;3;1;1;1;1;1;1;3;3; ; ; ; ;350000;1;1;1;2;1;1;1;2;2;2;1;1;1;2;2;2;1;2;2;2;2;1;2;2;2; ;1;2;1;4;1;2;1;1;1;2;1;1;01;05;05;05;1167,19379556272
4319453;1;2;1;1;1;1;1;1;3;3; ; ; ; ;655000;2;1;1;1;1;1;1;1;2;1;1;2;2;1;2;2;2;1;2;1;2;1;1;1;2; ;1;2;1;4;1;4;1;1;1;2;1;1;01;05;05;05;1030,41027108058
4319454;1;4;2;1;1;1;1;1;3;3; ; ; ; ;450000;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;1;1;3;2; ;1;2;1;4;1;2;1;1;1;2;1;1;01;05;05;05;1295,68796315737
4319455;1;3;2;1;1;1;1;1;3;3; ; ; ; ;250000;2;2;2;1;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;1;4;2; ;1;2;1;4;1;2;1;1;1;3;1;1;01;05;05;05;1230,16523851441
4319456;1;3;2;1;1;1;2;1;4;2; ;300000;50000000;300000; ;2;1;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;3;3;2; ;1;1;1;2;1;1;2;1;1;2;2; ;01;05;05;05;1303,97732004486
4319457;1;4;2;1;1;1;1;1;3;1; ; ;170000000;800000; ;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;2;2;2;2;1;2;1;3;3;2; ;1;2;1;4;1;4;1;1;1;3;1;1;01;05;05;05;1063,78542313089
4319458;1;1;1;1;1;1;1;1;3;3; ; ; ; ;700000;1;1;1;1;1;1;1;2;1;1;1;2;2;1;2;2;2;2;2;2;2;1;1;1;2; ;1;2;1;4;1;4;1;1;1;2;1;1;01;05;05;05;1030,41027108058
4319459;1;4;2;1;1;1;1;1;3;1; ; ;80000000;500000; ;1;1;1;1;1;1;1;2;2;2;1;2;1;1;2;2;2;2;2;2;2;1;3;3;2; ;1;2;1;4;1;2;1;1;1;2;1;1;01;05;05;05;955,989143960585
4319460;1;4;2;1;1;1;1;1;3;2; ;240000;145000000;850000; ;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;1;2;1;3;3;2; ;1;2;1;4;1;4;1;1;1;2;1;1;01;05;05;05;1063,78542313089
4319461;1;4;1;1;1;1;1;1;1;1; ; ;180000000;870000; ;1;1;1;1;1;1;1;1;2;1;1;2;2;1;2;2;2;2;2;1;2;1;1;1;2; ;1;2;1;4;1;4;2;1;1;2;1;1;01;05;05;05;1247,63923626784
4319462;1;4;3;1;1;1;1;1;3;3; ; ; ; ;500000;1;2;1;2;1;2;1;1;2;2;1;2;1;2;2;2;2;2;2;2;2;1;1;4;2; ;1;2;1;4;1;2;1;1;1;2;1;1;01;05;05;05;1438,4711117115
4319463;1;3;2;1;1;1;1;1;3;3; ; ; ; ;380000;2;1;2;1;1;1;1;1;2;2;1;1;1;2;2;2;2;2;2;1;2;1;2;4;2; ;1;2;1;4;1;2;1;1;1;3;1;1;01;05;05;05;1415,50817998479
4319464;1;2;1;1;1;1;1;1;3;3; ; ; ; ;648000;2;2;2;1;1;2;1;2;2;2;1;1;2;2;1;2;1;2;2;2;2;1;1;1;2; ;1;2;1;4;1;4;1;1;1;2;1;1;01;05;05;05;1030,41027108058
4319465;1;6;3;1;1;1;1;1;3;1; ; ;700000000;4000000; ;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;1;1;1;1;2;1;3;4;2; ;1;1;1;4;1;4;1;1;1;2;1;1;01;05;05;05;1073,65054319441
4319466;1;1;1;1;1;1;1;1;3;3; ; ; ; ;630000;1;1;1;1;1;1;1;1;2;1;1;2;1;1;2;2;2;2;1;2;2;1;2;2;2; ;1;2;1;4;1;4;1;1;1;2;1;1;01;05;05;05;1167,19379556272
4319467;1;1;1;1;1;1;1;1;3;3; ; ; ; ;300000;2;2;2;2;2;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;4;2; ;1;2;1;4;1;2;1;1;1;2;1;1;01;05;05;05;1408,36368950505
4319468;1;4;2;1;1;1;1;1;1;4; ; ; ;1200000; ;1;1;1;1;1;1;1;1;1;2;1;1;2;1;2;2;2;2;2;2;2;1;3;3;2; ;1;2;1;4;1;4;2;1;1;2;1;1;01;05;05;05;1063,78542313089
4319469;1;3;2;1;1;1;1;1;4;3; ; ; ; ;300000;2;2;2;1;1;1;1;2;2;2;1;2;2;1;2;2;2;2;2;2;2;1;2;2;2; ;1;2;1;4;1;2;2;1;1;3;1;1;01;05;05;05;996,388976274737
4319470;1;5;2;1;1;1;1;1;3;1; ; ;120000000;600000; ;1;1;1;1;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;2;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;05;05;05;930,842705127154
4319471;1;1;1;1;1;1;1;2;4;1; ; ;98;350000; ;2;2;2;1;1;1;1;2;1;2;1;2;1;1;2;2;2;2;2;1;2;1;2;3;2; ;1;1;1;4;1;0;2;1;1;3;1;1;01;05;05;05;1295,68796315737
4319472;1;3;2;1;1;1;1;1;3;3; ; ; ; ;850000;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;2;1;2;1;2;3;2; ;1;2;1;4;1;4;1;1;1;2;1;1;01;05;05;05;1109,96042780724
4319473;1;6;3;1;1;1;1;1;3;1; ; ;350000000;1800000; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;2;1;2;1;4;4;2; ;1;2;1;4;1;4;1;1;1;2;1;1;01;05;05;05;1135,10686664067
4319474;1;4;2;1;1;1;1;1;4;1; ; ;98;300000; ;1;1;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;3;2; ;1;2;1;2;1;2;2;1;1;3;1;1;01;05;05;05;936,867018712274
4319475;1;4;3;1;1;1;1;1;3;1; ; ;140000000;800000; ;1;1;1;1;1;1;1;1;1;1;1;2;2;1;2;2;2;1;2;1;2;1;4;4;2; ;1;2;1;4;1;4;1;1;1;2;1;1;01;05;05;05;1052,72706005176
4319476;1;3;2;1;1;1;1;1;3;3; ; ; ; ;380000;1;1;1;2;1;2;1;2;2;2;1;2;1;1;2;2;2;2;2;2;2;1;2;4;2; ;1;2;1;4;1;2;1;1;1;2;1;1;01;05;05;05;1206,95316556477
4319477;1;4;2;1;1;1;1;1;3;3; ; ; ; ;1275000;1;1;1;1;1;1;1;2;1;1;1;2;2;1;2;2;2;2;2;2;2;1;2;2;1;5;1;2;1;4;1;4;1;1;1;2;1;1;01;05;05;05;930,842705127154
4319478;1;4;2;1;1;1;1;1;3;3; ; ; ; ;850000;1;1;1;1;1;1;1;1;1;1;1;2;2;1;2;2;2;1;2;2;2;1;2;2;2; ;1;2;1;4;1;4;1;1;1;2;1;1;01;05;05;05;1166,04892915497
4319479;1;5;1;1;1;1;1;1;3;1; ; ;400000000;1000000; ;1;1;1;1;1;1;1;2;1;1;1;1;1;1;2;2;1;2;2;2;2;1;1;2;2; ;1;2;1;4;1;4;1;1;1;2;1;1;01;05;05;05;1036,4345846657
4319480;1;3;1;1;1;1;1;6; ;3; ; ; ; ;250000;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;1;1;1;2; ;1;2;1;2;1;2;2;1;1;3;1;1;01;05;05;05;1247,63923626784
4319481;1;4;2;1;1;1;1;1;3;2; ;1800000;160000000;1100000; ;1;1;1;1;1;1;1;2;2;1;1;1;1;1;2;2;2;2;2;1;2;1;1;3;2; ;1;2;1;4;1;4;1;1;1;2;1;1;01;05;05;05;936,867018712274
4319482;1;4;3;1;1;1;1;1;3;1; ; ;160000000;900000; ;1;1;1;1;1;1;1;2;2;1;1;1;2;1;2;2;2;1;2;1;2;1;3;4;2; ;1;2;1;4;1;4;1;1;1;2;1;1;01;05;05;05;1301,71227674249
4319483;1;4;2;1;1;1;1;1;3;1; ; ;98;1000000; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;1;2;1;2;2;2; ;1;2;1;4;1;4;1;1;1;2;1;1;01;05;05;05;949,964830375466
4319484;1;2;1;1;1;1;1;1;4;3; ; ; ; ;350000;2;1;2;1;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;2;2; ;1;2;1;2;1;2;2;1;1;3;1;1;01;05;05;05;927,001898648754
4319485;1;4;2;1;1;1;1;1;3;3; ; ; ; ;900000;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;1;1;1;3;3;2; ;1;2;1;4;1;4;1;1;1;2;1;1;01;05;05;05;1109,96042780724
4319486;1;2;1;1;1;1;1;1;4;3; ; ; ; ;250000;2;1;2;1;1;1;1;2;2;2;1;1;1;2;2;2;2;1;2;2;2;1;1;2;2; ;1;2;1;4;1;2;2;1;1;3;1;1;01;05;05;05;1166,04892915497
4319487;1;5;4;1;1;1;1;1;3;3; ; ; ; ;1000000;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;1;4;4;2; ;1;2;1;4;1;4;1;1;1;2;1;1;01;05;05;05;724,025960263498
4319492;1;3;2;1;1;1;1;1;3;3; ; ; ; ;320000;2;1;1;1;1;1;1;2;2;2;1;1;2;2;2;2;2;2;2;2;2;1;3;3;2; ;1;2;1;4;1;2;1;1;1;3;1;1;01;05;05;05;1302,83245363711
4319493;1;4;3;1;1;1;1;1;3;4; ; ; ;500000; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;1;2;2;1;3;4;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;05;05;05;1192,27959072555
4319494;1;5;3;1;1;1;1;1;3;3; ; ; ; ;1120000;1;1;1;1;1;1;1;2;1;1;1;1;2;1;2;2;2;1;2;1;2;1;2;3;2; ;1;2;1;4;1;5;1;1;1;2;1;1;01;05;05;05;1173,21810914784
4319495;1;6;2;1;1;1;1;1;3;3; ; ; ; ;1600000;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2; ;1;2;1;4;1;5;1;1;1;2;1;1;01;05;05;05;911,720579878843
4319496;1;5;3;1;1;1;1;1;3;4; ; ; ;800000; ;1;1;1;2;1;1;1;1;2;2;1;2;1;1;2;2;2;2;1;2;2;1;3;3;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;05;05;05;1109,96042780724
4319497;1;5;4;1;1;1;1;1;4;1; ; ;250000000;1500000; ;1;1;1;1;1;1;1;1;1;1;1;2;2;1;2;2;2;1;2;2;2;1;4;4;2; ;1;2;1;4;1;5;2;1;1;2;1;1;01;05;05;05;1434,71563841684
4319498;1;4;3;1;1;1;1;1;3;1; ; ;100000000;350000; ;2;1;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;5;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;05;05;05;689,755524234729
4319499;1;1;1;1;2;1;1;1;4;3; ; ; ; ;50000;1;1;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2; ;1;3;1;2;1;1;2;1;1;2;1;1;01;05;05;05;950,21397159839
4319500;1;7;3;1;1;1;1;1;3;1; ; ;98;98; ;1;1;1;1;1;1;1;2;2;2;1;2;2;1;2;2;2;2;2;2;2;1;1;4;2; ;1;1;1;4;1;3;1;1;1;3;1;1;01;05;05;05;986,035922496428
4319501;1;2;1;1;1;1;1;1;4;3; ; ; ; ;600000;1;1;1;1;1;1;1;2;2;2;1;2;2;1;2;2;2;2;2;2;2;1;1;1;2; ;1;2;1;4;1;5;2;1;1;2;1;1;01;05;05;05;1136,00215061913
4319503;1;6;3;1;1;1;1;1;4;1; ; ;200000000;1000000; ;1;1;1;1;1;1;1;2;1;2;1;2;1;1;2;2;2;2;2;1;2;1;2;5;2; ;1;2;1;4;1;5;2;1;1;2;1;1;01;05;05;05;992,060236081547
4319504;1;4;2;1;1;1;1;1;4;1; ; ;98;400000; ;1;2;2;1;1;1;1;2;1;2;1;2;1;2;2;2;2;2;2;2;2;1;2;3;2; ;1;2;1;4;1;2;2;1;1;2;1;1;01;05;05;05;936,867018712274
4319506;1;1;1;1;1;1;1;2;3;3; ; ; ; ;280000;2;2;2;1;1;1;1;2;1;2;1;1;1;2;2;2;2;2;1;2;2;1;1;2;2; ;1;2;1;2;1;1;1;1;1;2;1;1;01;05;05;05;950,21397159839
4319507;1;2;1;1;1;1;1;1;4;3; ; ; ; ;300000;2;1;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;2;1;2;2;1;2;5;2; ;1;2;1;4;1;1;2;1;1;2;1;1;01;05;05;05;1126,75686608258
4319508;1;4;3;1;1;1;1;1;3;4; ; ; ;400000; ;1;1;1;1;1;2;1;2;2;2;1;2;1;1;2;2;2;2;2;2;2;1;1;4;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;05;05;05;1261,66666835153
4319509;1;3;1;1;1;1;1;1;3;1; ; ;250000000;1000000; ;1;1;1;1;1;1;1;1;1;2;1;2;1;1;2;2;2;2;2;2;2;1;2;2;2; ;1;2;1;5;1;5;1;1;1;2;1;1;01;05;05;05;1055,55670991401
4319510;1;1;1;1;1;1;1;1;3;1; ; ;30000000;400000; ;1;1;2;1;1;1;1;2;2;2;1;2;1;2;2;2;2;1;2;2;2;2; ;2;2; ;1;2;1;2;1;2;1;1;1;2;1;1;01;05;05;05;1190,40586851236
4319511;1;4;2;1;1;1;1;1;3;3; ; ; ; ;200000;1;1;1;1;1;1;1;2;1;2;1;1;1;1;2;2;2;1;1;2;2;1;2;3;2; ;1;2;1;4;1;2;1;1;1;2;1;1;01;05;05;05;1302,83245363711
4319512;1;2;2;1;1;1;1;1;4;3; ; ; ; ;120000;1;1;1;2;1;1;1;2;2;2;1;2;1;1;2;2;2;2;2;2;2;1;1;5;2; ;1;1;1;2;1;1;2;1;1;2;1;1;01;05;05;05;966,401364284184
4319513;1;3;2;1;1;1;1;1;3;3; ; ; ; ;350000;2;1;2;2;1;1;1;2;1;2;1;2;2;2;2;2;2;1;2;2;2;1;2;4;2; ;1;2;1;4;1;1;1;1;1;2;1;1;01;05;05;05;1245,59908588163
4319514;1;1;1;1;2;1;1;1;3;3; ; ; ; ;180000;1;1;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;1;2;2;1;1;1;2; ;1;3;1;2;1;1;1;1;1;2;1;1;01;05;05;05;1247,63923626784
4319515;1;1;1;1;2;1;1;1;3;3; ; ; ; ;180000;2;1;2;2;2;2;1;2;2;2;1;1;1;2;2;2;2;2;2;2;2;1;2;2;2; ;1;3;1;2;1;2;1;1;1;2;1;1;01;05;05;05;1144,23086383601
4319516;1;4;2;1;1;1;1;1;3;1; ; ;70000000;350000; ;1;1;2;2;1;1;1;2;2;2;1;2;2;1;2;2;2;2;2;2;2;1;1;2;2; ;1;2;1;4;1;2;1;1;1;2;1;1;01;05;05;05;1148,07167031441
4319517;1;4;3;1;1;1;1;1;3;4; ; ; ;350000; ;1;1;1;2;1;2;1;2;2;1;1;2;1;1;2;2;2;2;2;2;2;1;3;3;2; ;1;2;1;4;1;2;1;1;1;2;1;1;01;05;05;05;1303,97732004486
4319518;1;1;1;1;2;1;1;1;3;1; ; ;98;450000; ;1;1;2;1;1;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2; ;1;2;1;2;1;1;1;1;1;2;1;1;01;05;05;05;1011,28814583227
4319519;1;2;2;1;1;1;1;1;3;1; ; ;40000000;300000; ;2;1;2;2;1;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;7;2; ;1;1;1;2;1;1;1;1;1;2;1;1;01;05;05;05;1156,19459902888
4319520;1;5;4;1;1;1;1;1;3;1; ; ;120000000;700000; ;1;2;1;1;1;1;1;2;2;2;1;2;2;1;2;2;2;1;1;2;2;1;3;6;2; ;1;2;1;2;1;1;1;1;1;2;1;1;01;05;05;05;1282,81504441034
4319521;1;2;1;1;1;1;1;1;1;3; ; ; ; ;500000;1;1;1;1;1;1;1;2;1;1;1;1;2;1;2;2;2;2;2;2;2;1;1;1;2; ;1;2;1;4;1;5;2;1;1;2;1;1;01;05;05;05;1011,28814583227
4319522;1;4;3;1;1;1;1;1;3;1; ; ;60000000;550000; ;1;1;1;1;1;1;1;2;2;2;1;1;2;1;2;2;2;2;1;2;2;1;3;3;2; ;1;2;1;4;1;1;1;1;1;2;1;1;01;05;05;05;1086,99749608053
4319523;1;5;2;1;1;1;1;1;3;1; ; ;150000000;600000; ;1;1;1;1;1;1;1;1;1;2;1;2;1;2;2;2;1;1;2;2;2;1;3;3;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;05;05;05;1063,78542313089
4319524;1;3;1;1;1;1;1;1;3;3; ; ; ; ;600000;1;2;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2; ;2;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;05;05;05;1036,4345846657
4319525;1;2;2;1;1;1;1;2;4;4; ; ; ;400000; ;2;1;2;1;1;1;1;2;2;2;1;1;1;2;2;2;2;2;2;2;2;1;2;4;2; ;1;2;1;2;1;2;2;1;1;2;1;1;01;05;05;05;1245,59908588163
4319526;1;5;3;1;1;1;1;1;3;1; ; ;300000000;600000; ;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;2;1;2;2;1;2;1;4;5;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;05;05;05;1568,1101457139
4319527;1;1;1;1;2;1;1;6; ;3; ; ; ; ;120000;2;1;2;2;2;2;2;2;2;2;1;1;1;2;2;2;1;1;2;2;2;2; ;1;2; ;1;3;4;2;1;1;2;1;1;2;1;1;01;05;05;05;1247,63923626784
4319528;1;2;1;1;1;1;1;1;3;4; ; ; ;250000; ;1;2;2;1;1;1;1;2;2;2;1;2;1;2;2;2;1;2;2;2;2;1;1;9;2; ;1;2;1;2;1;2;1;1;1;2;1;1;01;05;05;05;1291,85680360788
4319529;1;1;1;1;1;1;1;1;4;3; ; ; ; ;468000;2;2;2;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2; ;1;2;1;4;1;5;2;1;1;2;1;1;01;05;05;05;1167,19379556272
4319530;1;4;1;1;1;1;1;1;3;1; ; ;130000000;1000000; ;1;1;2;1;1;1;1;1;1;1;1;1;1;2;2;2;1;2;2;2;2;1;1;1;1;1;1;2;1;4;1;3;1;1;1;2;1;1;01;05;05;05;1011,28814583227
4319531;1;5;3;1;2;1;1;1;3;1; ; ;40000000;300000; ;2;1;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2; ;1;1;1;4;1;2;1;1;1;2;1;1;01;05;05;05;1334,16745530121
4319531;2;5;3;1;2;1;1;1;3;1; ; ;40000000;300000; ;2;1;2;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;4;5;2; ;2;1;1;4;1;2;1;1;1;2;1;1;01;05;05;05;1334,16745530121
