DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7430;P7440;P7450;P7450S1;P7460;P7470;P7472;P7472S1;P7454;P7456;P7458S1;P7458;P7452;INI;DPTO;fex_c_2011
1097528;1;2;1;80;05;1;3;9;DESPLAZAMIENTO;2; ;2; ; ; ; ;2;2;1;05;1080,68209687432
1097529;1;2;1;80;05;1;1;6; ;2; ;2; ; ; ; ;9;2;1;05;1196,20809204466
1097532;1;3;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;918,872089170962
1097535;1;4;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;816,172238113012
1097536;1;3;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;993,677699101991
1097537;1;1;1;80;05;1;2;7; ;1;4;2; ; ; ; ;8;2;1;05;1043,96877969898
1097539;1;1;1;80;05;1;4;4; ;2; ;2; ; ;4; ;8;1;1;05;865,91467876594
1097542;1;2;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;1181,40064327637
1097544;1;1;1;80;05;1;4;4; ;2; ;2; ; ; ; ;4;2;1;05;1187,92852328143
1097547;1;1;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;917,679081986029
1097548;1;6;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;1253,9141957399
1097549;1;2;1;80;05;2; ; ; ;2; ;2; ;1;2; ;2; ;1;05;918,872089170962
1097549;1;3;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;918,872089170962
1097552;1;2;1;80;05;1;4;8; ;2; ;2; ; ; ; ;7;2;1;05;1025,47172775035
1097553;1;2;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;1150,39491209898
1097554;1;1;1;80;05;1;4;8; ;3; ;2; ; ; ; ;10;2;1;05;1241,47419120898
1097554;1;4;1;80;05;1;1;3; ;2; ;2; ; ; ; ;9;2;1;05;1241,47419120898
1097554;1;6;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;1241,47419120898
