Directorio;Secuencia_p;Orden;Hogar;Regis;Area;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7454;P7456;P7458s1;P7458;P7452;Ini;Mes;Dpto;Fex_c_2011
3139039;1;1;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;17;148,688881088212
3139041;1;2;1;80;17;2; ; ; ; ; ;2; ;1;1; ;8; ;1;02;17;174,833006380057
3139041;1;3;1;80;17;2; ; ; ; ; ;2; ;2; ;.; ; ;1;02;17;174,833006380057
3139044;1;1;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;17;195,850763222137
3139047;1;3;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;17;168,406060737493
3139052;1;1;1;80;17;1;4;4; ;2; ;2; ; ; ; ;3;2;1;02;17;195,850763222137
3139053;1;2;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;17;147,330955992278
3139054;1;3;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;17;168,96953082544
3139057;1;1;1;80;17;1;1;6; ;2; ;2; ; ; ; ;9;2;1;02;17;205,775468183222
3139057;1;3;1;80;17;2; ; ; ;2; ;2; ;1;1; ;2; ;1;02;17;205,775468183222
3139057;1;4;1;80;17;2; ; ; ; ; ;2; ;2; ;.; ; ;1;02;17;205,775468183222
3139058;1;1;1;80;17;1;4;8; ;2; ;2; ; ; ; ;8;2;1;02;17;217,489338055298
3139058;1;2;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;17;217,489338055298
3139063;1;2;1;80;17;1;1;4; ;2; ;2; ; ; ; ;9;2;1;02;17;213,440134729753
3139065;1;3;1;80;17;1;1;4; ;2; ;2; ; ; ; ;4;2;1;02;17;221,994888513982
3139066;1;2;1;80;17;1;4;8; ;2; ;2; ; ; ; ;9;2;1;02;17;182,428834298356
3139069;1;4;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;17;124,391019486523
3139069;1;5;1;80;17;2; ; ; ; ; ;2; ;2; ;.; ; ;1;02;17;124,391019486523
3139100;1;1;1;80;73;1;2;7; ;3; ;2; ; ; ; ;4;2;1;02;73;169,128371351216
