DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P9460;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011
2531351;1;2;1;70;73;2;20;4; ;2;360;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;81;45;24;1;1;2423;10;73;496,638043851202
2531354;1;3;1;70;73;12;44;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;33; ; ;1;1; ;10;73;198,684779559524
2531358;1;1;1;70;73;52;48;1; ;2;16;3; ;1;4; ; ; ; ;1; ; ; ; ; ; ;2; ;2;59;59;95;1;2;9500;10;73;186,234830759273
2531363;1;1;1;70;73;48;48;1; ;2;48;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;11;11;65;1;2;6512;10;73;186,234830759273
2531368;1;2;1;70;73;16;48;1; ;2;16;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;44;34;75;1;2;7512;10;73;485,174328063
2531373;1;1;1;70;73;12;48;1; ;2;12;4; ;1;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;84;84;50;1;1;5020;10;73;234,150392571523
2531378;1;1;1;70;73;8;48;4; ;2;8;4; ;9;2; ; ; ; ; ;1; ; ; ; ; ;2; ;2;02;02;75;1;1;7512;10;73;496,638043851202
2531382;1;1;1;70;73;3;60;4; ;2;3;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;15000;2;77;56;93;1;1;9301;10;73;248,587216669576
2531384;1;2;1;70;73;12;30;1; ;2;104;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5233;10;73;192,981630938193
2531385;1;3;1;70;73;104;48;5; ;2;450;2; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;41;39;75;1;2;7523;10;73;146,032863958617
2531386;1;2;1;70;73;24;40;3; ;2;24;6; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;97;52;1;2;5239;10;73;215,107695931468
2531402;1;3;1;70;68;12;12;1; ;2;12;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;33;52;1;1;5211;10;68;506,894710350327
2531406;1;4;1;70;68;8;48;1; ;2;8;1; ;9;6; ; ; ; ; ; ; ; ; ;1; ;2; ;2;03;03;85;1;1;8511;10;68;567,939296070566
2531467;1;2;1;70;17;24;35;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;13; ; ;1;2; ;10;17;142,970423996024
2531470;1;2;1;70;17;48;48;1; ;2;16;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;40;40;52;1;2;5233;10;17;127,929019970379
2531477;1;1;1;70;76;4;48;1; ;2;3;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;1;850000;2;03;03;23;1;1;2321;10;76;942,604889614268
