DIRECTORIO;SECUENCIA_P;ORDEN;AREA;REGIS;P7430;P7440;P7450;P7450S1;P7460;P7470;P7472;P7472S1;P7490;P7490S1;P7454;P7456;P7458S1;P7458;P7452;INI;DPTO;fex_c_2011
525523;1;2;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;1018,8135035924
525523;1;4;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;1018,8135035924
525528;1;1;05;80;1;4;4; ;3; ;2; ;2; ; ; ; ;10;2;1;05;746,699303735301
525530;1;2;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;769,932588527601
525531;1;2;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;803,067388034289
525532;1;1;05;80;1;4;3; ;2; ;2; ;2; ; ; ; ;4;2;1;05;1065,37111433288
525532;1;2;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;1065,37111433288
525532;1;5;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;1065,37111433288
525534;1;2;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;787,013614258161
525537;1;1;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;698,695964389353
525538;1;3;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;961,564021330142
525542;1;2;05;80;1;4;2; ;2; ;2; ;1;18000000; ;4; ;9;1;1;05;3091,45964787138
525542;1;3;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;3091,45964787138
525543;1;4;05;80;1;4;2; ;2; ;2; ;2; ; ; ; ;9;2;1;05;2840,95235133409
525548;1;1;05;80;1;4;2; ;2; ;2; ;2; ; ; ; ;9;2;1;05;746,699303735301
525551;1;2;05;80;1;4;4; ;3; ;2; ;2; ; ; ; ;10;2;1;05;758,241427179471
525553;1;1;05;80;1;1;5; ;2; ;2; ;1;1800000; ; ; ;9;2;1;05;868,158634402125
525555;1;1;05;80;1;4;4; ;3; ;2; ;2; ; ; ; ;8;2;1;05;944,482995599583
525555;1;2;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;944,482995599583
525556;1;4;05;80;1;4;2; ;2; ;2; ;2; ; ;4; ;9;1;1;05;691,469340838842
525558;1;2;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;870,364239002095
525560;1;3;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;642,241201541006
525562;1;5;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;659,992082691394
525562;1;6;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;659,992082691394
525563;1;2;05;80;1;4;2; ;2; ;2; ;2; ; ; ; ;9;2;1;05;1006,49837655737
525563;1;6;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;1006,49837655737
525564;1;3;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;704,907591690349
525566;1;2;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;944,482995599583
525568;1;3;05;80;1;1;1; ;2; ;2; ;2; ; ; ; ;2;2;1;05;885,610257824072
525569;1;1;05;80;1;1;6; ;3; ;2; ;1;50000; ; ; ;8;2;1;05;796,366789702965
525569;1;2;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;796,366789702965
525570;1;2;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;796,366789702965
525571;1;3;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;759,483616739825
525572;1;1;05;80;1;4;4; ;3; ;2; ;2; ; ; ; ;8;2;1;05;948,402668565056
525572;1;2;05;80;1;4;4; ;3; ;2; ;2; ; ; ; ;4;2;1;05;948,402668565056
525575;1;3;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;832,196376518803
525577;1;2;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;898,623320517364
525579;1;1;05;80;1;4;0; ;2; ;2; ;2; ; ; ; ;11;2;1;05;1049,42450124065
525579;1;2;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;1049,42450124065
525581;1;4;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;3027,24455276687
525582;1;4;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;709,527636394716
525583;1;2;05;80;1;4;2; ;2; ;2; ;2; ; ; ; ;9;2;1;05;777,988004344512
525583;1;4;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;777,988004344512
525584;1;1;05;80;1;4;3; ;2; ;2; ;2; ; ; ; ;4;2;1;05;808,921756715563
525585;1;1;05;80;1;4;5; ;2; ;2; ;2; ; ; ; ;3;2;1;05;984,844418656781
525586;1;1;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;746,699303735301
525587;1;3;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;704,907591690349
525588;1;1;05;80;1;4;4; ;3; ;2; ;2; ; ; ; ;10;2;1;05;932,893759621074
525588;1;2;05;80;1;4;2; ;2; ;2; ;2; ; ; ; ;9;2;1;05;932,893759621074
525589;1;1;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;735,110067756792
525590;1;1;05;80;1;4;2; ;2; ;2; ;2; ; ; ; ;8;2;1;05;675,885672636237
525590;1;6;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;675,885672636237
525590;1;8;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;675,885672636237
525592;1;2;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;841,896596734112
525598;1;2;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;752,191093487352
525598;1;3;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;752,191093487352
525599;1;1;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;677,667618969034
525607;1;1;05;80;1;4;2; ;2; ;2; ;2; ; ; ; ;8;2;1;05;1049,42450124065
525607;1;2;05;80;1;4;4; ;3; ;2; ;2; ; ; ; ;10;2;1;05;1049,42450124065
525608;1;1;05;80;1;4;4; ;3; ;2; ;2; ; ; ; ;8;2;1;05;887,335612926466
525610;1;2;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;940,866891492443
525611;1;3;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;2760,77823503135
525611;1;4;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;2760,77823503135
525613;1;3;05;80;1;1;1; ;2; ;2; ;1;300000; ; ; ;2;2;1;05;3348,91775798163
525613;1;4;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;3348,91775798163
