DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S8,P7420S7A1,P7422,P7422S1,P9460,OFICIO1,OFICIO2,RAMA2D_D,DSI,DSCY,RAMA4D_D,DPTO,AREA,fex_c_2011
762232,1,1,1,70,1,104,48,3,,2,48,4,,1,1,,,,,,,,,,1,,2,,2,54,45,92,1,2,9242,5,5,63.758.895.927.029
762234,1,2,1,70,1,52,72,1,,2,52,4,,9,4,,,,,,,,,,1,,2,,2,39,30,75,1,2,7530,5,5,787.820.348.190.918
762243,1,1,1,70,1,12,28,4,,2,12,1,,4,1,,,,,,,,,,1,,2,,2,77,77,15,1,1,1551,5,5,811.089.691.069.039
762249,1,3,1,70,1,5,48,1,,2,5,1,,6,4,,,,,,,,,,1,,2,,2,33,33,18,1,1,1810,5,5,738.161.472.765.372
762249,1,4,1,70,1,24,24,1,,2,40,1,,2,4,,,,,,,,,,1,,2,,2,45,45,52,1,2,5221,5,5,738.161.472.765.372
762250,1,1,1,70,1,20,48,1,,2,20,1,,4,1,,,,,,,,,,1,,2,,2,45,53,55,1,2,5521,5,5,626.877.004.678.042
762252,1,1,1,70,1,8,48,1,,2,7,1,,9,4,,,,,,,,,,1,,2,,2,95,95,45,1,1,4521,5,5,908.465.508.697.979
762252,1,2,1,70,1,3,48,1,,2,4,1,,9,1,,,,,,,,,,1,,1,250000,2,39,39,60,1,1,6042,5,5,908.465.508.697.979
762253,1,3,1,70,1,24,48,1,,2,8,1,,6,4,,,,,,,,,,1,,2,,2,45,97,51,1,2,5125,5,5,915.747.927.838.281
762255,2,1,2,70,1,17,48,4,,2,17,4,,2,1,,,,,,,,,,1,,2,,2,80,80,19,1,2,1924,5,5,631.807.347.485.277
762260,1,1,1,70,1,3,60,1,,2,3,1,,5,1,,,,,,,,,,1,,1,100000,2,93,83,28,1,1,2811,5,5,615.658.205.194.497
762268,1,1,1,70,1,2,60,4,,2,2,4,,1,2,,,,,,,,,,1,,1,360000,2,79,79,18,1,1,1810,5,5,771.298.150.702.667
762270,1,3,1,70,1,8,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,45,,,1,1,,5,5,852.908.828.985.119
762275,1,1,1,70,1,8,48,1,,2,8,1,,9,7,,,,,,,,,,1,,2,,2,32,55,35,1,1,3512,5,5,800.565.167.754.402
762277,1,1,1,70,1,4,48,1,,2,24,1,,9,7,,,,,,,,,,1,,2,,2,32,55,74,1,1,7499,5,5,679.191.580.216.567
762284,1,3,1,70,1,16,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,45,,,1,2,,5,5,759.181.433.702.454
762286,1,3,1,70,1,24,48,3,,2,24,1,,3,1,,,,,,,,,,1,,2,,2,54,32,50,1,2,5020,5,5,844.321.173.722.962
762290,1,4,1,70,1,16,48,1,,2,16,1,,9,1,,,,,,,,,,1,,2,,2,55,44,64,1,2,6421,5,5,871.023.220.158.946
762291,1,3,1,70,1,12,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,45,,,1,1,,5,5,826.954.700.301.827
762294,1,4,1,70,1,96,48,1,,2,96,1,,4,1,,,,,,,,,,1,,2,,2,55,85,52,1,2,5272,5,5,101.974.997.678.531
762297,1,2,1,70,1,60,48,1,,2,60,1,,2,2,,,,,,,,,,1,,2,,2,37,50,55,1,2,5530,5,5,798.315.785.813.362
762298,1,3,1,70,1,8,48,4,,2,24,4,,3,1,,,,,,,,,,1,,2,,2,57,57,93,1,1,9302,5,5,64.888.968.784.842
762298,1,5,1,70,1,24,48,1,,2,72,1,,5,1,,,,,,,,,,1,,2,,2,55,91,21,1,2,2102,5,5,64.888.968.784.842
762299,1,2,1,70,1,4,48,1,,2,9,1,,8,2,,,,,,,,,,1,,2,,2,58,58,51,1,1,5125,5,5,707.830.494.705.031
762306,1,2,1,70,1,12,48,1,,2,12,4,,1,2,,,,,,,,,,1,,2,,2,53,45,52,1,1,5233,5,5,880.142.637.465.428
762307,1,1,1,70,1,4,48,4,,2,4,4,,1,1,,,,,,,,,,1,,2,,2,56,56,93,1,1,9301,5,5,83.373.093.138.389
762307,1,2,1,70,1,48,48,1,,2,48,3,,1,1,,,,,,,,,,1,,2,,2,55,54,95,1,2,9500,5,5,83.373.093.138.389
762307,1,6,1,70,1,12,24,1,,1,,,.,,,.,.,,,,,,,,,.,,,,45,,,1,1,,5,5,83.373.093.138.389
762315,1,2,1,70,1,12,48,1,,2,12,1,,9,1,,,,,,,,,,1,,2,,2,37,75,17,1,1,1720,5,5,164.123.285.396.142
762318,1,2,1,70,1,4,48,1,,2,24,4,,9,1,,,,,,,,,,1,,2,,2,8,8,75,1,1,7512,5,5,866.089.052.412.735
762333,1,1,1,70,1,52,48,1,,2,500,2,,9,1,,,,,,,,,,1,,2,,2,33,33,64,1,2,6411,5,5,714.265.469.806.531
