DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P9460;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;DPTO;AREA;fex_c_2011
1868674;1;2;1;70;1;1;48;1; ;2;1;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;1;96000;2;45;97;52;1;1;5211;17;17;153,833833131644
1870388;1;1;1;70;1;48;48;1; ;2;24;4; ;1;1; ; ;1; ; ; ; ; ; ; ; ;2; ;2;57;57;93;1;2;9309;05;05;1090,43917541839
1870414;1;2;1;70;1;26;25;1; ;2;110;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5241;05;05;1008,6477042924
1870417;1;3;1;70;1;4;48;1; ;2;4;1; ;8;1; ; ; ; ; ; ; ; ; ;1; ;1;248450;2;45;44;70;1;1;7020;05;05;1077,88855661298
1870425;1;1;1;70;1;4;48;5; ;2;4;1; ;2;7; ; ; ; ; ; ; ; ; ;1; ;1;800000;2;95;95;45;1;1;4521;05;05;1203,20912920115
1870430;1;2;1;70;1;3;48;1; ;2;52;1; ;3;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;17;55;1;1;5529;05;05;947,713430164639
1870432;1;1;1;70;1;4;48;1; ;2;4;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;1;500000;2;97;97;18;1;1;1810;05;05;1035,95916647258
1870440;1;1;1;70;1;52;48;1; ;2;52;4; ;1;1; ; ; ;1; ; ; ; ; ; ; ;2; ;2;59;41;52;1;2;5233;05;05;1203,20912920115
1870440;1;3;1;70;1;8;48;1; ;2;8;2; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;58;75;1;1;7522;05;05;1203,20912920115
1870442;1;1;1;70;1;99;99;1; ;2;306;1; ;5;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;03;39;80;1;2;8044;05;05;1256,39876348122
1870452;1;6;1;70;1;26;48;1; ;2;26;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;97;90;25;1;2;2529;05;05;1091,01867975332
1870455;1;2;1;70;1;104;48;3; ;2;20;3; ;1;1; ; ; ; ; ; ; ; ;1; ;VIVE DE LA PENSION POR SUSTITUCCION;2; ;2;54;54;95;1;2;9500;05;05;1139,18691752324
1870458;1;3;1;70;1;24;24;4; ;2;36;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;57;41;52;1;2;5231;05;05;1043,2118617896
1870464;1;3;1;70;1;10;16;1; ;2;10;1; ;2;2; ; ; ; ; ; ; ; ;1; ;ESTUDIANDO;2; ;2;44;44;70;1;1;7020;05;05;1057,11464850369
1870465;1;1;1;70;1;36;48;1; ;2;104;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;03;32;91;1;2;9111;05;05;1215,09159728975
1870468;1;6;1;70;1;8;48;1; ;2;8;1; ;5;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;34;34;74;1;1;7421;05;05;1154,60806714557
1870470;1;3;1;70;1;84;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;55; ; ;1;2; ;05;05;1307,66473145912
1870474;1;3;1;70;1;4;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;05;05;1203,20912920115
1870475;1;3;1;70;1;27;52;1; ;2;27;8; ;4;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;81;62;01;1;2;0121;05;05;1060,4833839474
1870484;1;2;1;70;1;15;48;4; ;2;15;4; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;39;75;1;2;7530;05;05;972,080786446319
1870489;1;2;1;70;1;3;48;1; ;2;98;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;97;36;1;1;3699;05;05;1215,09159728975
1870522;1;1;1;70;1;48;15;1; ;2;16;1; ;9;6; ; ; ; ; ; ; ; ; ;1; ;2; ;2;93;45;52;1;2;5239;05;05;1208,49367041342
1870528;1;4;1;70;1;48;20;1; ;2;4;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;20000;2;45;38;64;1;2;6422;05;05;1103,68102429885
1870532;1;1;1;70;1;6;48;1; ;2;5;4; ;4;1; ; ; ; ; ; ; ; ; ;1; ;1;270000;2;45;44;72;1;1;7290;05;05;1151,68518552902
1870536;1;5;1;70;1;24;50;1; ;2;24;1; ;9;1; ; ;1; ; ; ; ; ; ; ; ;2; ;2;32;33;63;1;2;6340;05;05;1236,03751705689
1870545;1;2;1;70;1;2;10;4; ;2;2;4; ;1;1; ; ;1; ; ; ; ; ; ; ; ;1;200000;2;05;05;74;1;1;7414;05;05;930,718432521635
1870550;1;2;1;70;1;50;50;1; ;2;52;1; ;9;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;33;33;92;1;2;9242;05;05;1065,79529462191
1870554;1;3;1;70;1;14;48;4; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;54; ; ;1;2; ;05;05;755,705442597002
1870556;1;3;1;70;1;36;48;1; ;2;37;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5233;05;05;729,255367073438
1870559;1;3;1;70;1;9;24;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;44; ; ;1;1; ;05;05;1208,49367041342
1870561;1;2;1;70;1;3;24;3; ;2;104;9;TRABAJADORA DE UNA MADRE COMUNITARIA;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;85;1;1;8532;05;05;901,474027704769
1870563;1;1;1;70;1;4;48;1; ;2;4;1; ;5;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;1;4521;05;05;1062,39918971596
1870563;1;2;1;70;1;30;48;4; ;2;30;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;45;52;1;2;5234;05;05;1062,39918971596
1870568;1;1;1;70;1;16;48;1; ;2;16;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;98;98;60;1;2;6031;05;05;1203,20912920115
1870573;1;2;1;70;1;18;48;1; ;2;18;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;55;1;2;5511;05;05;1002,38888286118
1870576;1;2;1;70;1;4;48;1; ;2;4;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;93;93;50;1;1;5020;05;05;1156,11369789155
1870578;1;1;1;70;1;26;48;1; ;2;18;1; ;8;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;84;35;1;2;3591;05;05;749,173246332992
1870578;1;2;1;70;1;30;50;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;2; ;05;05;749,173246332992
1870578;1;4;1;70;1;30;50;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;84; ; ;1;2; ;05;05;749,173246332992
1870578;1;5;1;70;1;84;50;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;2; ;05;05;749,173246332992
1870584;1;2;1;70;1;52;48;1; ;2;72;1; ;7;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;79;79;18;1;2;1810;05;05;1025,50858409111
1870585;2;2;2;70;1;50;50;1; ;2;26;1; ;6;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;97;45;1;2;4522;05;05;1216,95470198747
1870589;1;1;1;70;1;50;50;1; ;2;17;1; ;6;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;98;98;50;1;2;5020;05;05;1232,2586065906
1870594;1;1;1;70;1;4;40;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;13; ; ;1;1; ;08;08;563,091054112656
1870612;1;1;1;70;1;4;48;1; ;2;12;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;77;15;1;1;1521;08;08;553,254590895686
1870612;1;2;1;70;1;2;72;4; ;2;2;4; ;1;3; ; ; ; ; ; ; ; ; ;1; ;1;450000;2;98;98;60;1;1;6031;08;08;553,254590895686
1870621;1;2;1;70;1;50;48;1; ;2;50;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;59;59;85;1;2;8531;08;08;419,205759789978
1870631;1;4;1;70;1;8;50;1; ;2;90;1; ;6;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;19;1;1;1921;08;08;379,395002596715
1870636;1;2;1;70;1;48;50;1; ;2;48;2; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;13;80;1;2;8045;08;08;482,094688687251
1870640;1;2;1;70;1;4;48;3; ;2;96;3; ;3;3; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;08;08;459,212450497316
1870642;1;3;1;70;1;4;28;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;34; ; ;1;1; ;08;08;414,028807732488
1870645;1;2;1;70;1;4;77;4; ;2;192;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;1;500000;2;57;33;55;1;1;5521;08;08;525,295915600002
1870655;1;1;1;70;1;12;48;2; ;2;10;1; ;7;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;13;80;1;1;8043;08;08;421,972538374143
1870658;1;1;1;70;1;25;48;1; ;2;25;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;02;39;25;1;2;2529;08;08;526,744302116704
1870660;1;4;1;70;1;52;48;2; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;12; ; ;1;2; ;08;08;675,877528444707
1870661;1;3;1;70;1;30;48;1; ;2;52;1; ;3;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;13;80;1;2;8011;08;08;574,492686349409
1870666;1;5;1;70;1;2;48;3; ;2;104;3; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;08;08;323,773607560534
1870666;1;8;1;70;1;1;50;3; ;2;306;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;41;52;1;1;5233;08;08;323,773607560534
1870672;1;2;1;70;1;4;48;1; ;2;58;5; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;21;63;1;1;6340;08;08;678,935712028064
1870676;1;4;1;70;1;14;48;1; ;2;14;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;99;90;1;2;9000;08;08;518,441440683202
1870677;1;3;1;70;1;8;50;1; ;2;52;1; ;3;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;53;55;1;1;5521;08;08;590,312305365192
1870683;1;3;1;70;1;24;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;2; ;08;08;322,247087929635
1870684;1;2;1;70;1;14;48;1; ;2;12;1; ;2;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;38;64;1;2;6421;08;08;674,704714522117
1870693;1;3;1;70;1;8;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;53; ; ;1;1; ;11;11;1669,37751256492
1870693;1;4;1;70;1;16;48;1; ;2;99;1; ;4;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;45;18;1;2;1810;11;11;1669,37751256492
1870709;1;2;1;70;1;4;48;1; ;2;32;1; ;9;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;39;51;1;1;5163;11;11;2348,19561893531
1870722;1;2;1;70;1;16;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;97; ; ;1;2; ;11;11;2157,88370537105
1870724;1;3;1;70;1;8;40;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;38; ; ;1;1; ;11;11;2065,99646010177
