DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030S1;P6030S3;P6040;P6050;P6080;P6080S1;P6070;P6081;P6081S1;P6083;P6083S1;P6071;P6071S1;P3147S1;P3147S2;P3147S3;P3147S4;P3147S5;P3147S6;P3147S7;P3147S8;P3147S9;P3147S10;P3147S11;P3147S10A1;P3246;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;P6269;CLASE;ESC;MES;DPTO;fex_c_2011
5345410;1;1;1;10;3;2; ; ;70;1;6; ;3;3; ;3; ;1;2; ;1; ; ; ; ; ; ; ;1; ;SACAR CITAS MEDICAS;1;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;01;41;946,35040591153
5345410;1;2;1;10;3;1; ; ;75;2;6; ;3;3; ;3; ;1;1; ;1; ; ; ; ; ; ; ;1; ;SACAR CITAS MEDICAS; ;1; ; ;3; ; ;2;1;2; ;3;3; ; ;2;3;01;41;946,35040591153
5345410;1;3;1;10;3;1;1;1962;59;3;6; ;4;1;2;1;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;1;2; ;3;1; ; ;2;1;01;41;946,35040591153
5345412;1;1;1;10;1;1;11;1978;42;1;6; ;3;1;5;1;6;1;2; ; ; ; ; ; ; ; ; ; ;1; ;2;1; ; ;2;1;152000;2;1;2; ;6;9;5; ;2;20;01;41;916,854968648343
5345412;1;2;1;10;1;2;2;1981;39;2;6; ;3;2; ;2; ;1;1; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ;2;5; ;2;1;2; ;3;5; ; ;2;5;01;41;916,854968648343
5345412;1;3;1;10;1;2;4;2002;18;3;6; ;6;1;1;1;2; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ;2;5; ;2;1;1;2;6;1;2;2;2;12;01;41;916,854968648343
5345412;1;4;1;10;1;1;1;2005;16;3;6; ;6;1;1;1;2; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ;2;5; ;2;1;1;1;5;10;1; ;2;10;01;41;916,854968648343
5345412;1;5;1;10;1;1; ; ;70;5;6; ;3;3; ;2; ;1;6; ;1; ; ; ; ; ; ; ;1; ;PARA IR AL MEDICO; ;1; ; ;2;5; ;2;1;2; ;3;5; ; ;2;5;01;41;916,854968648343
5345412;1;6;1;10;1;2;6;1952;68;5;6; ;3;3; ;3; ;1;5; ;1; ; ; ; ; ; ; ;1; ;SACAR CITAS MEDICAS; ;1; ; ;2;2;98;2;1;2; ;6;6;5; ;2;17;01;41;916,854968648343
5345413;1;1;1;10;2;1;9;1947;73;1;6; ;3;3; ;3; ;1;2; ;1; ; ; ; ; ; ; ; ; ; ;2;1; ; ;1;2;98;2;1;2; ;3;2; ; ;2;2;01;41;922,58412909534
