DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S2;P5210S20;P5210S21;P5210S22;P5210S24;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5220;P5220S1;P6006;P6007;P6007S1;P6008;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;AREA;MES;DPTO;ORDEN;fex_c_2011
2259812;1;3;2;1;1;1;1;3;3;1; ; ;35000000;150000; ;1;2;1;1;2;1;2;2;2;1;2;2;2;2;1;2;1;1;1;2;1;1;1;2;2; ;2;1;2;1;4;1;1;1;1;1;1;2;1;01;05;04;05;1;924,459615228538
2259813;1;4;3;1;1;1;1;1;3;1; ; ;55000000;250000; ;1;2;1;1;2;2;2;2;2;1;2;2;2;2;2;2;1;2;2;2;2;1;3;2;2; ;5;1;2;1;2;1;1;1;1;1;1;2;1;01;05;04;05;1;1232,90506886561
2259814;1;2;1;1;1;1;1;3;1;3; ; ; ; ;110000;1;2;1;2;1;2;2;2;2;1;2;2;2;2;2;1;2;2;1;2;2;2; ;2;2; ;5;1;1;1;2;1;2;1;1;1;1;2;1;01;05;04;05;1;1093,28048723894
2259815;1;1;1;1;1;1;1;2;1;3; ; ; ; ;150000;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;1;2;2;2; ;2;2; ;3;1;2;1;2;1;2;1;1;1;1;2;1;01;05;04;05;1;968,283627063238
2259817;1;3;2;1;1;1;1;1;4;3; ; ; ; ;150000;1;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;1;2;2; ;4;1;2;1;2;1;2;1;1;1;1;2;1;01;05;04;05;1;946,947700287313
2259818;1;3;2;1;1;1;1;1;4;3; ; ; ; ;130000;1;2;1;1;1;1;2;2;2;1;1;1;2;2;1;1;1;1;1;2;1;1;1;2;2; ;4;1;2;1;2;1;2;1;1;1;1;2;1;01;05;04;05;1;1204,3786897568
2259819;1;2;1;1;1;1;1;3;4;3; ; ; ; ;120000;1;1;1;1;2;2;2;2;1;1;2;2;2;2;2;2;1;1;1;1;1;2; ;2;2; ;3;1;2;1;2;1;2;1;1;1;1;2;1;01;05;04;05;1;1223,60377318968
2259820;1;3;2;1;1;1;1;1;4;1; ; ;13000000;110000; ;1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;1;1;1;1;2;2;1;1;2;2; ;4;1;2;1;2;1;2;1;1;1;1;2;1;01;05;04;05;1;1088,68312525702
2259821;1;2;2;1;1;1;1;1;4;3; ; ; ; ;130000;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2; ;2;2; ;4;1;2;1;2;1;2;1;1;1;1;2;1;01;05;04;05;1;938,677834573111
2259822;1;3;2;1;1;1;1;1;4;1; ; ;13000000;150000; ;1;2;1;2;1;2;2;2;2;1;2;2;2;2;2;1;1;1;2;2;2;1;1;2;2; ;4;1;2;1;2;1;2;1;1;1;1;2;1;01;05;04;05;1;944,141619961711
