DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P6290;P6290S1;P6230;P6240;P6240S1;P6250;P6260;P6270;P6280;P6300;P6310;P6310S1;P6320;P6330;P6340;P6350;P6351;FT;DPTO;fex_c_2011
1796299;1;2;1;50;05; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1141,01035018665
1796299;1;3;1;50;05; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1141,01035018665
1796299;1;5;1;50;05; ; ;5;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1141,01035018665
1796299;1;6;1;50;05; ; ;6;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1141,01035018665
1796301;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;899,705829786039
1796301;1;2;1;50;05; ; ;2;4; ;1; ; ; ; ; ; ; ; ; ; ; ;1;05;899,705829786039
1796301;1;3;1;50;05; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;899,705829786039
1796303;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1079,45834937143
1796303;1;2;1;50;05; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1079,45834937143
1796304;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;899,705829786039
1796304;1;2;1;50;05; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;899,705829786039
1796304;1;3;1;50;05;2; ;3;4; ;2;2;2;1; ; ; ; ; ; ; ;1;1;05;899,705829786039
1796305;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1079,45834937143
1796305;1;2;1;50;05; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1079,45834937143
1796307;1;1;1;50;05; ; ;1;6;VTV;2;2;2;2;2; ; ; ; ; ; ; ;1;05;968,751609256178
1796307;1;2;1;50;05; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;968,751609256178
1796308;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1026,71482714543
1796308;1;2;1;50;05; ; ;2;4; ;1; ; ; ; ; ; ; ; ; ; ; ;1;05;1026,71482714543
1796309;1;1;1;50;05;1; ;1;6;VTV;2;2;2;1; ; ; ; ; ; ; ;1;1;05;692,53742004757
1796309;1;2;1;50;05; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;692,53742004757
1796309;1;3;1;50;05; ; ;2;6;DORMIR Y COMER;2;2;2;2;2; ; ; ; ; ; ; ;1;05;692,53742004757
1796309;1;4;1;50;05; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;692,53742004757
1796314;1;1;1;50;05; ; ;1;4; ;2;2;2;2;1;13;FALTA DE TIEMPO; ; ; ; ; ;1;05;851,943909143132
1796314;1;2;1;50;05; ; ;1;3; ;2;2;2;2;1;12; ; ; ; ; ; ;1;05;851,943909143132
1796315;1;1;1;50;05; ; ;1;6;PASEAR;2;2;2;2;2; ; ; ; ; ; ; ;1;05;956,756712012695
1796316;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;892,396472858733
1796316;1;2;1;50;05; ; ;2;4; ;1; ; ; ; ; ; ; ; ; ; ; ;1;05;892,396472858733
1796316;1;4;1;50;05; ; ;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;892,396472858733
1796317;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;966,035578902706
1796317;1;2;1;50;05; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;966,035578902706
1796320;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;968,751609256178
1796320;1;2;1;50;05; ; ;2;4; ;2;2;2;2;1;7; ;2; ;2; ; ;1;05;968,751609256178
1796321;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1047,06430074477
1796321;1;2;1;50;05; ; ;2;4; ;2;2;2;2;1;10; ; ; ; ; ; ;1;05;1047,06430074477
1796321;1;3;1;50;05;1; ;2;6;JUGAR FUTBOL;2;2;2;1; ; ; ; ; ; ; ;1;1;05;1047,06430074477
1796321;1;5;1;50;05; ; ;5;4; ;2;2;2;2;1;11; ; ; ; ; ; ;1;05;1047,06430074477
1796322;1;1;1;50;05; ; ;1;6;CUIDADO DE LA MADRE;1; ; ; ; ; ; ; ; ; ; ; ;1;05;822,892259959351
1796322;1;2;1;50;05; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;822,892259959351
1796322;1;3;1;50;05;3; ;3;4; ;2;2;2;1; ; ; ; ; ; ; ;1;1;05;822,892259959351
1796322;1;5;1;50;05; ; ;5;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;822,892259959351
1796323;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1046,19154817228
1796324;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;933,638087166535
1796324;1;2;1;50;05; ; ;2;4; ;2;2;1; ; ; ; ; ; ; ; ; ;1;05;933,638087166535
1796324;1;3;1;50;05; ; ;3;3; ;2;2;1; ; ; ; ; ; ; ; ; ;1;05;933,638087166535
1796325;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;851,943909143132
1796325;1;2;1;50;05; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;851,943909143132
1796326;1;1;1;50;05;3; ;1;3; ;2;2;2;1; ; ; ; ; ; ; ;1;1;05;805,75978034416
1796326;1;2;1;50;05;1; ;2;3; ;2;2;2;1; ; ; ; ; ; ; ;1;1;05;805,75978034416
1796327;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;940,200923703074
1796327;1;2;1;50;05; ; ;2;2; ;2;1; ; ; ; ; ; ; ; ; ; ;1;05;940,200923703074
1796327;1;3;1;50;05; ; ;3;3; ;2;2;2;2;1;12; ; ; ; ; ; ;1;05;940,200923703074
1796327;1;4;1;50;05; ; ;4;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;940,200923703074
1796328;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;966,035578902706
1796328;1;2;1;50;05; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;966,035578902706
1796329;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1065,5895990171
1796329;1;2;1;50;05; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1065,5895990171
1796330;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;938,580601657704
1796330;1;2;1;50;05; ; ;2;4; ;2;2;2;2;1;7; ;2; ;2; ; ;1;05;938,580601657704
1796330;1;3;1;50;05; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;938,580601657704
1796331;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;885,8370794317
1796331;1;2;1;50;05;2; ;2;2; ;2;2;2;1; ; ; ; ; ; ; ;1;1;05;885,8370794317
1796331;1;3;1;50;05; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;885,8370794317
1796332;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1079,45834937143
1796332;1;2;1;50;05; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1079,45834937143
1796333;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1053,6236941718
1796333;1;2;1;50;05; ; ;2;4; ;1; ; ; ; ; ; ; ; ; ; ; ;1;05;1053,6236941718
1796333;1;3;1;50;05;2; ;3;3; ;2;2;2;1; ; ; ; ; ; ; ;1;1;05;1053,6236941718
1796333;1;4;1;50;05; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;1053,6236941718
1796334;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;697,197411075063
1796334;1;2;1;50;05; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;697,197411075063
1796334;1;4;1;50;05; ; ;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;697,197411075063
1796335;1;1;1;50;05;1; ;1;4; ;2;2;2;1; ; ; ; ; ; ; ;1;1;05;617,950334358579
1796335;1;2;1;50;05; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;617,950334358579
1796335;1;3;1;50;05; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;617,950334358579
1796335;1;7;1;50;05; ; ;7;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;617,950334358579
1796335;1;8;1;50;05; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;617,950334358579
1796336;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;912,745946458072
1796336;1;2;1;50;05; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;912,745946458072
1796336;1;3;1;50;05;2; ;3;3; ;2;2;2;1; ; ; ; ; ; ; ;1;1;05;912,745946458072
1796336;1;4;1;50;05; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;912,745946458072
1796336;1;5;1;50;05; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;912,745946458072
1796337;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1046,19154817228
1796338;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;912,340633922179
1796339;1;1;1;50;05; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;927,078693739502
1796339;1;2;1;50;05; ; ;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;927,078693739502
1796339;1;3;1;50;05; ; ;3;4; ;2;1; ; ; ; ; ; ; ; ; ; ;1;05;927,078693739502
1796340;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;846,962307560034
1796340;1;2;1;50;05; ; ;2;4; ;2;2;2;2;1;7; ;2; ;2; ; ;1;05;846,962307560034
1796340;1;3;1;50;05; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;846,962307560034
1796341;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1066,54102177162
1796341;1;2;1;50;05; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1066,54102177162
1796341;1;3;1;50;05; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;1066,54102177162
1796342;1;1;1;50;05; ; ;1;2; ;1; ; ; ; ; ; ; ; ; ; ; ;1;05;1051,72084866276
1796342;1;2;1;50;05; ; ;2;4; ;2;2;2;2;1;10; ; ; ; ; ; ;1;05;1051,72084866276
1796343;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;965,084156148183
1796345;1;1;1;50;05; ; ;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;736,005518493069
1796345;1;2;1;50;05; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;736,005518493069
1796345;1;3;1;50;05; ; ;3;3; ;2;2;1; ; ; ; ; ; ; ; ; ;1;05;736,005518493069
1796345;1;4;1;50;05; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;736,005518493069
1796346;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;957,626021475679
1796346;1;2;1;50;05; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;957,626021475679
1796346;1;3;1;50;05;1; ;3;2; ;2;2;2;1; ; ; ; ; ; ; ;1;1;05;957,626021475679
1796347;1;1;1;50;05; ; ;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;935,484808057023
1796348;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;926,209384276518
1796349;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;905,313800458549
1796349;1;2;1;50;05; ; ;2;3; ;1; ; ; ; ; ; ; ; ; ; ; ;1;05;905,313800458549
1796350;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;913,292056676702
1796350;1;2;1;50;05; ; ;2;4; ;1; ; ; ; ; ; ; ; ; ; ; ;1;05;913,292056676702
1796351;1;1;1;50;05; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;1068,33276159094
1796351;1;2;1;50;05; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1068,33276159094
1796351;1;3;1;50;05; ; ;3;4; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;1068,33276159094
1796352;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;838,075158788793
1796352;1;2;1;50;05; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;838,075158788793
1796353;1;1;1;50;05; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;1090,52895608076
1796353;1;2;1;50;05; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1090,52895608076
1796353;1;3;1;50;05; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1090,52895608076
1796354;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;839,026581543316
1796354;1;2;1;50;05; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;839,026581543316
1796354;1;3;1;50;05; ; ;3;3; ;1; ; ; ; ; ; ; ; ; ; ; ;1;05;839,026581543316
1796355;1;1;1;50;05; ; ;1;4; ;2;2;2;2;1;5; ;2; ;2; ; ;1;05;935,484808057023
1796356;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1066,54102177162
1796356;1;2;1;50;05; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1066,54102177162
1796356;1;3;1;50;05; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;1066,54102177162
1796357;1;1;1;50;05; ; ;1;6;CAMINAR   Y   VER  TV;2;2;2;2;2; ; ; ; ; ; ; ;1;05;946,555414766351
1796357;1;2;1;50;05; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;946,555414766351
1796358;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1052,67227141728
1796358;1;2;1;50;05; ; ;2;4; ;1; ; ; ; ; ; ; ; ; ; ; ;1;05;1052,67227141728
1796358;1;3;1;50;05;1; ;3;6;GIMNACIO;2;2;2;1; ; ; ; ; ; ; ;1;1;05;1052,67227141728
1796359;1;1;1;50;05; ; ;1;6;ENFERMA;2;1; ; ; ; ; ; ; ; ; ; ;1;05;945,607435121334
1796359;1;3;1;50;05; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;945,607435121334
1796361;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;910,776436495367
1796361;1;2;1;50;05; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;910,776436495367
1796361;1;3;1;50;05; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;910,776436495367
1796361;1;4;1;50;05; ; ;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;910,776436495367
1796362;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;691,668110584586
1796362;1;2;1;50;05; ; ;2;3; ;1; ; ; ; ; ; ; ; ; ; ; ;1;05;691,668110584586
1796363;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;825,157831188976
1796363;1;2;1;50;05; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;825,157831188976
1796363;1;3;1;50;05; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;825,157831188976
1796364;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;866,439028586884
1796364;1;2;1;50;05; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;866,439028586884
1796365;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;813,695506360879
1796365;1;2;1;50;05;3; ;2;4; ;2;2;2;1; ; ; ; ; ; ; ;1;1;05;813,695506360879
1796366;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1065,5895990171
1796366;1;2;1;50;05; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1065,5895990171
1796367;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1079,45834937143
1796367;1;2;1;50;05; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1079,45834937143
1796368;1;1;1;50;05; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;938,580601657704
1796368;1;2;1;50;05;3; ;2;4; ;2;2;2;1; ; ; ; ; ; ; ;1;1;05;938,580601657704
1796368;1;3;1;50;05; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;938,580601657704
1796369;1;1;1;50;05; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;891,095862186874
1796369;1;2;1;50;05; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;891,095862186874
1796370;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1066,54102177162
1796370;1;2;1;50;05;3; ;2;4; ;2;2;2;1; ; ; ; ; ; ; ;1;1;05;1066,54102177162
1796370;1;3;1;50;05;3; ;3;3; ;2;2;2;1; ; ; ; ; ; ; ;1;1;05;1066,54102177162
1796371;1;1;1;50;05; ; ;1;4; ;1; ; ; ; ; ; ; ; ; ; ; ;1;05;1037,78543385476
1796371;1;2;1;50;05;2; ;2;2; ;2;2;2;1; ; ; ; ; ; ; ;1;1;05;1037,78543385476
1796371;1;3;1;50;05; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1037,78543385476
1796372;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;952,166828548367
1796372;1;2;1;50;05; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;952,166828548367
1796373;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;825,157831188976
1796373;1;2;1;50;05; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;825,157831188976
1796373;1;3;1;50;05; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;825,157831188976
1796374;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1066,54102177162
1796374;1;2;1;50;05; ; ;2;3; ;2;2;2;2;1;12; ; ; ; ; ; ;1;05;1066,54102177162
1796374;1;3;1;50;05;3; ;3;2; ;2;2;2;1; ; ; ; ; ; ; ;1;1;05;1066,54102177162
1796376;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;960,102554565086
1796376;1;2;1;50;05; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;960,102554565086
1796377;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;879,946585295513
1796377;1;2;1;50;05; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;879,946585295513
1796377;1;3;1;50;05; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;879,946585295513
1796378;1;1;1;50;05; ; ;1;6;VER TELEVISION;2;2;2;2;2; ; ; ; ; ; ; ;1;05;935,484808057023
1796379;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1046,19154817228
1796380;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;884,6031332135
