DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;MES;RAMA4D_D;DPTO;fex_c_2011;AREA
4879004;1;1;1;70;1;52;48;1; ;2;52;1; ;3;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;55;55;93;1;2;04;9302;05;1168,46609452917;05
4879008;1;2;1;70;1;8;48;1; ;2;16;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;39;97;18;1;1;04;1810;05;1243,28545035841;05
4879009;1;5;1;70;1;1;24;2; ;2;16;2; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;03;39;80;1;1;04;8050;05;559,253899866314;05
4879018;1;1;1;70;1;99;48;4; ;2;104;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;2; ;41;98;60;1;2;04;6031;05;966,96804625624;05
4879019;1;1;1;70;1;16;48;1; ;2;16;1; ;7;2;1; ; ;1; ; ; ; ; ; ; ; ;2; ;4500000;1;2;02;02;45;1;2;04;4521;05;1182,10873683282;05
4879024;1;3;1;70;1;36;48;1; ;2;36;1; ;9;2;3; ; ; ; ; ; ; ; ; ; ;1;1;2000000;3500000;2; ;08;08;67;1;2;04;6713;05;1088,53490587972;05
4879029;1;1;1;70;1;24;48;1; ;2;24;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;53;53;55;1;2;04;5521;05;1334,83079462406;05
4879034;1;1;1;70;1;4;48;1; ;2;9;4; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;32;32;75;1;1;04;7512;05;720,081891826421;05
4879055;1;1;1;70;1;52;40;1; ;2;18;1; ;2;2;7; ; ; ; ; ; ; ; ; ; ;1;1;100000;400000;2; ;03;45;52;1;2;04;5234;05;1215,90274467779;05
4879065;1;5;1;70;1;24;48;1; ;2;24;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;55;55;80;1;2;04;8043;05;1035,8509137529;05
4879065;1;6;1;70;1;16;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;828116; ; ;38; ; ;1;2;04; ;05;1035,8509137529;05
4879065;1;7;1;70;1;8;48;1; ;2;8;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;38;38;74;1;1;04;7499;05;1035,8509137529;05
4879067;1;4;1;70;1;16;48;1; ;2;16;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828000;2; ;98;98;15;1;2;04;1594;05;1227,49535242771;05
4879072;1;1;1;70;1;103;48;3; ;2;103;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;54;54;95;1;2;04;9500;05;1119,03272563133;05
4879087;1;1;1;70;1;104;48;1; ;2;104;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;45;33;60;1;2;04;6022;05;1119,03272563133;05
4879092;1;2;1;70;1;12;48;1; ;2;12;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;95;95;45;1;1;04;4521;05;1515,97804221074;05
4879092;1;7;1;70;1;4;48;1; ;2;4;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;1;1500000;828116;2; ;58;50;55;1;1;04;5521;05;1515,97804221074;05
