DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011;AREA
4228951;1;1;1;70;1;4;48;1; ;2;4;1; ;4;2;1; ; ;1; ; ; ; ; ; ; ; ;2; ;39;39;51;1;1;5125;01;05;1055,00102581435;05
4228952;1;2;1;70;1;8;48;1; ;2;8;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;39;39;74;1;1;7499;01;05;1101,27015614449;05
4228960;1;3;1;70;1;30;48;1; ;2;52;4; ;9;2;5; ; ; ; ; ; ; ; ; ; ;1;2; ;21;13;75;1;2;7512;01;05;1470,16952133143;05
4228961;1;4;1;70;1;4;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;39; ; ;1;1; ;01;05;942,740380862997;05
4228963;1;3;1;70;1;20;48;1; ;2;20;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;33;33;50;1;2;5011;01;05;952,409448823637;05
4228965;1;2;1;70;1;3;48;1; ;2;8;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;39;39;74;1;1;7499;01;05;1116,27452037702;05
4228968;1;3;1;70;1;208;48;1; ;2;208;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;39;32;70;1;2;7020;01;05;1089,32810163626;05
4228968;1;4;1;70;1;6;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;39; ; ;1;1; ;01;05;1089,32810163626;05
4228972;1;3;1;70;1;8;48;1; ;2;16;1; ;7;2;1; ; ; ; ;1; ; ; ; ; ; ;2; ;02;02;74;1;1;7421;01;05;1257,6138394847;05
4228974;1;2;1;70;1;18;72;1; ;2;3;1; ;2;2;4; ; ; ; ; ; ; ; ; ; ;1;1;300000;13;45;52;1;2;5262;01;05;942,740380862997;05
4228977;1;2;1;70;1;4;24;1; ;2;132;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;32;32;85;1;1;8512;01;05;1272,30221041802;05
4228990;1;1;1;70;1;4;40;1; ;2;24;1; ;9;2;1; ; ; ; ;1; ; ; ; ; ; ;2; ;02;02;45;1;1;4530;01;05;1308,6877930154;05
4228993;1;1;1;70;1;10;48;1; ;2;99;1; ;9;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;55;32;52;1;1;5233;01;05;830,267901437483;05
4228996;1;1;1;70;1;48;48;1; ;2;12;1; ;2;2;3; ; ; ; ;1; ; ; ;1;PENSIONADO; ;2; ;58;58;52;1;2;5239;01;05;1079,44271401664;05
4229000;1;1;1;70;1;16;48;1; ;2;24;4; ;1;2;1; ; ;1; ; ; ; ; ; ; ; ;2; ;45;41;52;1;2;5211;01;05;827,865489837211;05
4229003;1;2;1;70;1;12;48;4; ;2;12;5; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;95;95;45;1;1;4521;01;05;1260,01625108498;05
4229007;1;2;1;70;1;12;24;1; ;2;24;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;45;45;52;1;1;5211;01;05;1276,86900029869;05
4229013;1;3;1;70;1;104;48;1; ;2;52;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;45;52;1;2;5244;01;05;1565,24226394264;05
4229021;1;5;1;70;1;30;48;1; ;2;30;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;87;87;34;1;2;3410;01;05;1230,65929152809;05
4229022;1;1;1;70;1;24;48;1; ;2;24;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;98;98;60;1;2;6031;01;05;1101,48647580348;05
4229023;1;4;1;70;1;1;48;1; ;2;1;1; ;9;2;9;COBERTURA; ; ; ; ; ; ; ; ; ;1;1;800000;45;45;52;1;1;5233;01;05;1108,75313216385;05
4229024;1;2;1;70;1;20;48;1; ;2;6;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;97;52;1;2;5211;01;05;1384,32482204949;05
4229025;1;2;1;70;1;14;72;5; ;2;14;1; ;9;2;8; ; ; ; ;1; ; ; ; ; ; ;2; ;95;95;45;1;2;4530;01;05;1431,0483053585;05
4229028;1;1;1;70;1;4;48;1; ;2;4;1; ;7;2;4; ; ; ; ; ; ; ; ; ; ;1;1;700000;95;95;45;1;1;4521;01;05;1101,27015614449;05
4229029;1;1;1;70;1;1;48;3; ;2;3;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;300000;54;71;13;1;1;1320;01;05;1091,94499300866;05
4229029;1;3;1;70;1;3;48;1; ;2;14;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;84;93;45;1;1;4552;01;05;1091,94499300866;05
4229035;1;1;1;70;1;10;48;1; ;2;10;1; ;4;2;6; ; ; ; ; ; ; ; ; ; ;1;2; ;59;59;74;1;1;7430;01;05;1335,87844294074;05
4229036;1;3;1;70;1;6;48;1; ;2;6;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;97;97;51;1;1;5135;01;05;1020,72234094062;05
4229040;1;3;1;70;1;6;48;1; ;2;6;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;1;1300000;33;32;65;1;1;6512;01;05;1421,05430947168;05
4229043;1;2;1;70;1;4;48;1; ;2;6;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;53;53;55;1;1;5521;01;05;1060,01768348906;05
4229045;1;1;1;70;1;3;48;1; ;2;4;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;1;700000;98;98;60;1;1;6041;01;05;1550,31850498742;05
