Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011;Area
3486663;1;1;1;70;1;24;24;3; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;54; ; ;1;2; ;06;18;36,9305869528185;18
3486665;1;1;1;70;1;20;40;1; ;2;20;2; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;13;80;1;2;8012;06;18;69,9138233588986;18
3486669;1;1;1;70;1;64;40;2; ;2;64;1; ;9;4; ; ; ; ; ;1; ;1; ; ; ;2; ;2;45;45;52;1;2;5211;06;18;55,6967152550011;18
3486678;1;2;1;70;1;14;54;1; ;2;14;1; ;9;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;97;63;1;2;6310;06;18;44,0895451387086;18
3486683;1;1;1;70;1;3;48;1; ;2;4;5; ;2;8; ; ; ; ; ; ; ; ; ;1; ;1;500000;2;95;95;45;1;1;4521;06;17;259,593060153229;17
3486687;1;4;1;70;1;24;48;1; ;2;4;1; ;6;1; ; ; ; ; ; ; ; ; ;1; ;1;300000;2;53;59;55;1;2;5521;06;17;203,956683915134;17
3486698;1;2;1;70;1;8;48;1; ;2;8;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;21;44;67;1;1;6714;06;17;462,824244564959;17
3486704;1;1;1;70;1;8;48;1; ;2;8;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;33;33;15;1;1;1530;06;17;358,726652501034;17
3486707;1;2;1;70;1;56;40;1; ;2;60;2; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;02;39;75;1;2;7512;06;20;172,72558318818;20
3486714;1;2;1;70;1;56;40;1; ;2;144;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;32;51;1;2;5169;06;20;172,983262753182;20
3486717;1;1;1;70;1;208;48;1; ;2;250;1; ;6;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;42;21;74;1;2;7491;06;47;130,812820500425;47
3486717;1;2;1;70;1;8;48;1; ;2;6;4; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;13;85;1;1;8532;06;47;130,812820500425;47
3486733;1;1;1;70;1;8;48;4; ;2;8;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;1;5521;06;47;239,093423544861;47
3486742;1;2;1;70;1;4;48;3; ;2;104;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;06;47;197,943026809881;47
3486749;1;2;1;70;1;4;48;1; ;2;52;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;59;59;51;1;1;5135;06;05;738,236294442179;05
3486767;1;1;1;70;1;4;48;1; ;2;4;1; ;8;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;34;21;93;1;1;9309;06;76;975,451145299081;76
3486767;1;4;1;70;1;52;40;1; ;2;24;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;45;52;1;2;5233;06;76;975,451145299081;76
3486795;1;4;1;70;1;17;48;1; ;2;17;1; ;6;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;32;51;1;2;5131;06;52;132,326015807274;52
3486795;1;5;1;70;1;2;44;1; ;2;4;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;1;120000;2;95;95;45;1;1;4521;06;52;132,326015807274;52
3486796;1;3;1;70;1;1;40;1; ;2;4;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;200000;2;54;54;95;1;1;9500;06;52;166,766284796666;52
3486810;1;1;1;70;1;26;40;4; ;2;26;5; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;2;4521;06;52;132,126588730171;52
3486811;1;6;1;70;1;8;40;1; ;2;8;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;1;5521;06;52;179,746351511904;52
3486847;1;2;1;70;1;24;48;2; ;2;24;4; ;9;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;32;75;1;2;7512;06;50;226,882899859235;50
3486848;1;2;1;70;1;15;48;1; ;2;4;1; ;2;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;95;45;1;2;4521;06;50;209,411017549994;50
3486877;1;1;1;70;1;2;48;1; ;2;6;1; ;9;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;38;38;64;1;1;6421;06;17;228,951212776578;17
3486877;1;2;1;70;1;6;48;1; ;2;6;1; ;9;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;38;38;64;1;1;6421;06;17;228,951212776578;17
3486879;1;3;1;70;1;208;10;1; ;2;20;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;81;81;36;1;2;3611;06;17;211,609380759582;17
3486880;1;2;1;70;1;24;48;4; ;2;24;5; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;93;93;45;1;2;4552;06;17;191,037640624839;17
3486913;1;2;1;70;1;3;20;1; ;2;52;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5233;06;41;190,36218781543;41
3486913;1;5;1;70;1;12;25;1; ;2;20;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;1;4522;06;41;190,36218781543;41
3486922;1;1;1;70;1;8;20;1; ;2;8;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;54;95;1;1;9500;06;15;90,6828734328919;15
3486923;1;2;1;70;1;4;40;1; ;2;6;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;59;59;85;1;1;8512;06;15;85,0623136223197;15
3486927;1;1;1;70;1;4;60;1; ;2;5;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;1;616000;2;98;98;60;1;1;6021;06;15;109,859789883252;15
3486930;1;1;1;70;1;6;40;1; ;2;6;2; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;40;32;75;1;1;7512;06;15;94,9989923243536;15
3486937;1;2;1;70;1;56;48;1; ;2;56;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;05;05;75;1;2;7512;06;15;94,9989923243536;15
3486941;1;3;1;70;1;6;40;1; ;2;20;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;21;16;22;1;1;2220;06;15;100,826259198129;15
3486943;1;2;1;70;1;5;40;4; ;2;5;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;100000;2;41;56;93;1;1;9301;06;73;304,524019164037;73
3486943;1;3;1;70;1;20;48;1; ;2;72;1; ;4;3; ; ; ; ;1; ; ; ; ; ; ;2; ;2;97;39;15;1;2;1530;06;73;304,524019164037;73
3486944;1;3;1;70;1;12;18;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;33; ; ;1;1; ;06;73;189,099246373794;73
3486958;1;2;1;70;1;24;48;1; ;2;24;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;81;20;1;2;2090;06;18;44,1384810251232;18
3486961;1;2;1;70;1;32;48;1; ;2;48;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;38;64;1;2;6422;06;18;45,7707872214434;18
3486963;1;5;1;70;1;2;54;1; ;2;2;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;240000;2;95;95;45;1;1;4521;06;18;240,295268435755;18
3486969;1;2;1;70;1;4;48;1; ;2;96;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;51;1;1;5139;06;63;149,16569863587;63
3486983;1;2;1;70;1;3;24;1; ;2;26;1; ;4;6; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5234;06;63;160,707537123445;63
3486985;1;3;1;70;1;48;48;1; ;2;48;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;45;52;1;2;5233;06;63;79,3230328641149;63
3486998;1;2;1;70;1;26;40;1; ;2;6;5; ;3;2; ; ; ; ;1; ; ; ; ; ; ;2; ;2;32;21;74;1;2;7493;06;52;212,337375261805;52
3487003;1;5;1;70;1;8;48;1; ;2;8;1; ;4;8; ; ; ; ; ; ; ; ; ;1; ;1;300000;2;45;37;52;1;1;5244;06;52;205,687829305591;52
3487009;1;3;1;70;1;104;20;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;59; ; ;1;2; ;06;52;148,638249219087;52
3487024;1;5;1;70;1;24;48;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;53; ; ;1;2; ;06;19;91,4860246821242;19
3487037;1;2;1;70;1;4;48;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;55; ; ;1;1; ;06;44;56,3334581079794;44
3487050;1;3;1;70;1;12;60;4; ;2;12;4; ;3;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;57;57;93;1;1;9302;06;20;136,438572893635;20
3487055;1;1;1;70;1;48;3;4; ;2;3;4; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;600000;2;95;95;45;1;2;4521;06;20;151,101017258463;20
3487057;1;1;1;70;1;48;48;8; ;2;20;4; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;62;95;45;1;2;4521;06;20;140,534185874727;20
3487057;1;3;1;70;1;6;48;1; ;2;6;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;58;74;1;1;7492;06;20;140,534185874727;20
3487067;1;8;1;70;1;4;48;4; ;2;4;4; ;1;8; ; ; ; ; ; ; ; ; ;1; ;1;520000;2;95;95;45;1;1;4521;06;63;76,2809045951414;63
3487074;1;3;1;70;1;8;40;1; ;2;8;1; ;9;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;1;4521;06;63;123,911146815335;63
3487074;1;5;1;70;1;3;40;1; ;2;48;1; ;8;3; ; ; ; ; ; ; ; ; ;1; ;2; ;2;97;95;36;1;1;3611;06;63;123,911146815335;63
3487075;1;2;1;70;1;12;40;1; ;2;96;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;52;16;92;1;1;9214;06;63;118,695833009983;63
3487076;1;1;1;70;1;132;40;1; ;2;12;1; ;5;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;30;52;55;1;2;5511;06;63;97,7882884361242;63
3487082;1;8;1;70;1;12;40;1; ;2;12;1; ;6;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;1;4521;06;63;179,982935697538;63
3487084;1;2;1;70;1;20;40;1; ;2;96;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;77;55;95;1;2;9500;06;63;168,61897511948;63
3487086;1;2;1;70;1;16;40;1; ;2;96;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;34;39;74;1;2;7492;06;63;136,348634820333;63
3487092;1;2;1;70;1;52;50;4; ;2;208;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;55;74;1;2;7493;06;63;110,885925036313;63
3487092;1;3;1;70;1;8;40;4; ;2;12;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;1;5521;06;63;110,885925036313;63
3487092;1;4;1;70;1;4;50;4; ;2;8;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;1;5521;06;63;110,885925036313;63
3487100;1;2;1;70;1;16;25;4; ;2;24;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;55;74;1;2;7493;06;63;133,553620720393;63
3487104;1;4;1;70;1;30;30;4; ;2;28;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;93;45;1;2;4552;06;63;143,127484770162;63
3487113;1;1;1;70;1;5;40;1; ;2;84;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;55;95;1;1;9500;06;63;70,1654847413155;63
3487117;1;1;1;70;1;4;48;1; ;2;2;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;200000;2;45;41;52;1;1;5233;06;63;160,707537123445;63
3487117;1;2;1;70;1;32;48;1; ;2;24;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;41;52;1;2;5233;06;63;160,707537123445;63
3487123;1;1;1;70;1;1;48;1; ;2;416;2; ;9;1; ; ; ; ; ; ; ; ;1; ;CON LA PENSION;2; ;2;39;39;85;1;1;8511;06;63;92,0880488485143;63
3487127;1;3;1;70;1;52;40;1; ;2;40;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;45;52;1;2;5239;06;63;108,845201141441;63
3487128;1;2;1;70;1;52;48;1; ;2;36;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5233;06;63;154,86593822348;63
3487131;1;4;1;70;1;16;48;1; ;2;12;1; ;5;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;13;80;1;2;8060;06;76;902,882974438893;76
3487133;1;1;1;70;1;3;48;1; ;2;18;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;80;80;19;1;1;1921;06;76;1626,05893289439;76
3487134;1;3;1;70;1;160;48;1; ;2;160;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5239;06;76;740,493040310326;76
3487146;1;8;1;70;1;52;48;4; ;2;52;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;98;98;60;1;2;6042;06;76;1280,08228347986;76
3487148;1;4;1;70;1;4;48;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;06;76;1302,48825640672;76
3487153;1;2;1;70;1;4;54;4; ;2;4;1; ;2;6; ; ; ; ; ; ; ; ; ;1; ;1;200000;2;95;95;45;1;1;4521;06;76;1842,60971828715;76
3487153;1;3;1;70;1;104;40;1; ;2;104;3; ;1;6; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;54;95;1;2;9500;06;76;1842,60971828715;76
3487154;1;1;1;70;1;2;24;4; ;2;6;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;54;95;1;1;9500;06;76;2266,96265222248;76
3487158;1;2;1;70;1;12;48;4; ;2;18;1; ;4;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;53;55;1;1;5529;06;68;426,765550432118;68
3487167;1;3;1;70;1;2;40;1; ;2;24;1; ;3;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;45;52;1;1;5233;06;68;482,577715725377;68
3487179;1;1;1;70;1;20;48;1; ;2;9;4; ;6;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5243;06;68;426,765550432118;68
3487196;1;1;1;70;1;2;25;1; ;2;52;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;15;1;1;1551;06;50;173,753958609547;50
3487207;1;3;1;70;1;120;48;1; ;2;120;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;38;64;1;2;6421;06;17;195,203351477134;17
3487213;1;2;1;70;1;52;48;1; ;2;108;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;55;80;1;2;8050;06;17;164,333924505585;17
3487214;1;1;1;70;1;4;60;1; ;2;8;1; ;9;5; ; ; ; ; ; ; ; ; ;1; ;2; ;2;87;87;11;1;1;1120;06;17;175,485733932517;17
3487223;1;3;1;70;1;150;48;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;2; ;06;17;159,435907331691;17
3487223;2;1;2;70;1;8;48;1; ;2;8;1; ;4;5; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;1;4521;06;17;159,435907331691;17
3487234;1;4;1;70;1;8;48;1; ;2;8;1; ;9;9;ES BENEFIIARIA DEL  NOVIO; ; ; ; ; ; ; ; ;1; ;2; ;2;38;38;64;1;1;6421;06;17;165,835686484721;17
3487241;1;5;1;70;1;16;40;1; ;2;16;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;55;55;1;2;5511;06;15;114,386752502855;15
3487243;1;1;1;70;1;4;40;1; ;2;4;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;1;616000;2;98;98;60;1;1;6022;06;15;125,684392025625;15
3487249;1;3;1;70;1;24;40;1; ;2;48;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;83;45;52;1;2;5225;06;15;61,7425538720276;15
3487249;1;4;1;70;1;4;40;1; ;2;5;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;1;200000;2;53;53;55;1;1;5530;06;15;61,7425538720276;15
3487256;1;2;1;70;1;120;40;2; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;39; ; ;1;2; ;06;15;75,850473300084;15
3487267;1;3;1;70;1;1;40;1; ;2;21;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;54;85;1;1;8532;06;15;90,6828734328919;15
3487305;1;1;1;70;1;8;60;1; ;2;28;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;38;64;1;1;6421;06;20;167,990618009894;20
3487328;1;1;1;70;1;3;44;1; ;2;4;4; ;1;4; ; ; ; ; ; ; ;1; ; ; ;1;850000;2;58;58;93;1;1;9309;06;54;463,967745439789;54
3487338;1;4;1;70;1;3;48;1; ;2;40;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5262;06;63;100,089218125619;63
3487339;1;3;1;70;1;6;24;1; ;2;160;2; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;39;41;1;1;4100;06;63;110,885925036313;63
3487348;1;2;1;70;1;156;48;1; ;2;156;4; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;44;64;1;2;6421;06;44;69,7086175782941;44
3487350;1;1;1;70;1;192;48;1; ;2;192;1; ;6;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;05;05;52;1;2;5239;06;19;74,7541372651792;19
3487357;1;2;1;70;1;12;40;1; ;2;16;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;53;55;1;1;5521;06;52;162,916274606831;52
3487361;1;2;1;70;1;17;50;1; ;2;26;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;73;02;1;2;0201;06;52;166,227871025339;52
3487364;1;4;1;70;1;8;48;1; ;2;6;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;1;200000;2;02;02;74;1;1;7414;06;52;153,06951280878;52
3487374;1;2;1;70;1;12;60;1; ;2;16;1; ;7;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;58;74;1;1;7492;06;52;200,392645573887;52
3487375;1;2;1;70;1;4;20;3; ;2;156;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;45;52;1;1;5261;06;52;193,714003436082;52
3487380;1;2;1;70;1;52;48;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;08; ; ;1;2; ;06;52;166,766284796666;52
3487381;1;3;1;70;1;26;30;1; ;2;52;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5233;06;52;179,122891240146;52
3487385;1;1;1;70;1;52;48;1; ;2;52;1; ;4;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;57;93;1;2;9302;06;66;337,853157180353;66
3487392;1;4;1;70;1;32;40;1; ;2;32;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;34;03;85;1;2;8511;06;66;261,392122594455;66
3487395;1;1;1;70;1;52;48;4; ;2;52;1; ;3;1; ; ; ; ; ;1; ; ; ; ; ;2; ;2;95;95;45;1;2;4521;06;66;474,372001689123;66
3487404;1;3;1;70;1;12;48;1; ;2;50;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;45;52;1;1;5234;06;66;399,903923617525;66
3487404;1;4;1;70;1;3;48;1; ;2;24;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;45;52;1;1;5211;06;66;399,903923617525;66
3487417;1;3;1;70;1;20;45;5; ;2;30;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;21;21;74;1;2;7414;06;63;321,461983567226;63
3487418;1;3;1;70;1;20;40;4; ;2;4;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;1;20000;2;75;57;93;1;2;9302;06;63;65,6970251716265;63
3487418;1;6;1;70;1;3;40;4; ;2;3;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;1;150000;2;59;59;93;1;1;9309;06;63;65,6970251716265;63
3487424;1;2;1;70;1;52;48;4; ;2;260;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;98;44;70;1;2;7020;06;66;218,568981326662;66
3487424;1;3;1;70;1;2;48;1; ;2;2;1; ;9;7; ; ; ; ; ; ; ; ; ;1; ;1;900000;2;70;59;52;1;1;5222;06;66;218,568981326662;66
3487425;1;1;1;70;1;120;48;1; ;2;120;2; ;9;1; ; ; ; ; ; ; ; ;1; ;YA ES PENSIONADO;2; ;2;39;58;75;1;2;7524;06;66;237,186000844561;66
3487425;1;2;1;70;1;104;48;1; ;2;104;1; ;8;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;32;52;1;2;5241;06;66;237,186000844561;66
3487430;1;1;1;70;1;20;48;1; ;2;20;2; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;75;1;2;7512;06;66;316,968340927203;66
3487433;1;1;1;70;1;52;48;4; ;2;52;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;85;85;52;1;2;5272;06;66;938,796063414045;66
3487433;1;2;1;70;1;52;48;4; ;2;52;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;54;95;1;2;9500;06;66;938,796063414045;66
3487433;1;6;1;70;1;16;48;1; ;2;16;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;32;18;1;2;1810;06;66;938,796063414045;66
3487438;1;3;1;70;1;4;48;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;16; ; ;1;1; ;06;66;252,103290789715;66
3487439;1;3;1;70;1;52;48;1; ;2;52;1; ;3;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;07;53;55;1;2;5530;06;66;324,439996982897;66
3487460;1;1;1;70;1;6;48;1; ;2;10;2; ;9;1; ; ; ; ; ; ; ; ;1; ;PENSIONADO;2; ;2;58;58;75;1;1;7522;06;66;281,354453850317;66
3487487;1;2;1;70;1;20;48;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;19; ; ;1;2; ;06;63;65,6970251716265;63
3487490;1;1;1;70;1;1;48;1; ;2;2;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;1;600000;2;45;45;51;1;1;5125;06;63;171,764449828761;63
3487500;1;1;1;70;1;8;40;4; ;2;8;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;55;74;1;1;7493;06;63;190,280809898407;63
3487512;1;4;1;70;1;5;48;1; ;2;8;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;59;59;85;1;1;8532;06;76;858,131168982188;76
3487527;1;3;1;70;1;16;48;1; ;2;16;2; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;58;75;1;2;7522;06;76;2161,4248464746;76
3487527;1;4;1;70;1;1;48;2; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;58; ; ;1;1; ;06;76;2161,4248464746;76
3487529;1;2;1;70;1;12;24;4; ;2;32;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;53;55;1;1;5521;06;76;1413,06447490343;76
3487530;1;4;1;70;1;104;48;1; ;2;52;1; ;4;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;93;28;1;2;2811;06;76;1125,37681879888;76
3487538;2;2;2;70;1;8;48;1; ;2;48;3; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;54;95;1;1;9500;06;73;161,644159602007;73
3487540;1;2;1;70;1;4;30;1; ;2;4;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;40000;2;79;79;17;1;1;1720;06;73;222,77376887635;73
3487543;1;2;1;70;1;44;30;4; ;2;432;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;56;18;1;2;1810;06;73;378,876754401783;73
3487543;1;5;1;70;1;144;48;1; ;2;144;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;33;63;1;2;6331;06;73;378,876754401783;73
3487544;1;2;1;70;1;40;36;4; ;2;432;2; ;9;1; ; ; ; ; ; ; ; ;1; ;DE LA PENSION;2; ;2;41;13;80;1;2;8043;06;73;230,977722974208;73
3487548;1;4;1;70;1;56;48;1; ;2;62;1; ;2;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5239;06;73;134,521829521835;73
3487549;1;2;1;70;1;4;48;1; ;2;8;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;1;5521;06;73;410,577675699678;73
3487552;1;3;1;70;1;4;24;4; ;2;52;1; ;3;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;90;45;52;1;1;5233;06;68;907,71819889468;68
3487562;1;5;1;70;1;12;48;1; ;2;12;1; ;9;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;81;99;90;1;1;9000;06;73;488,798769051263;73
3487563;1;2;1;70;1;21;48;1; ;2;2;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;1;80000;2;85;85;72;1;2;7250;06;73;283,187566018324;73
3487564;1;2;1;70;1;4;48;1; ;2;2;4; ;1;1; ; ; ; ;1; ; ; ; ; ; ;1;300000;2;58;55;74;1;1;7493;06;73;203,690399789271;73
3487564;1;3;1;70;1;12;48;2; ;2;12;2; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;58;75;1;1;7524;06;73;203,690399789271;73
3487567;1;3;1;70;1;21;40;1; ;2;21;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;97;53;55;1;2;5521;06;73;317,577900653249;73
3487567;1;4;1;70;1;1;40;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;97; ; ;1;1; ;06;73;317,577900653249;73
3487580;1;3;1;70;1;12;24;1; ;2;48;1; ;6;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;33;55;1;1;5521;06;68;457,013960933261;68
3487589;1;4;1;70;1;2;48;1; ;2;2;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;1;3000000;2;42;30;15;1;1;1530;06;68;564,876091648879;68
3487591;1;1;1;70;1;24;48;4; ;2;24;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;59;59;95;1;2;9500;06;68;413,139848645557;68
3487614;1;3;1;70;1;24;48;4; ;2;24;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;2;4521;06;47;189,658086424734;47
