Directorio;Secuencia_p;Orden;Area;Regis;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7490;P7490s1;Ini;Dpto;Fex_c_2011
373301;1;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;617,729479492948
373301;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;617,729479492948
373302;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;694,447406943687
373303;1;1;05;80;1;4;4; ;2; ; ; ; ; ;1;05;724,367860082176
373303;1;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;724,367860082176
373304;1;1;05;80;1;4;6; ;3; ; ; ; ; ;1;05;687,929657566097
373304;1;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;687,929657566097
373304;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;687,929657566097
373305;1;2;05;80;1;3;6; ;2; ; ; ; ; ;1;05;696,79440105456
373306;1;2;05;80;1;4;6; ;2; ; ; ; ; ;1;05;919,967135893419
373308;1;5;05;80;1;2;8;PROBLEMAS PERSONALES;2; ; ; ; ; ;1;05;781,152835246596
373309;1;2;05;80;1;3;2; ;2; ; ; ; ; ;1;05;626,594222981411
373311;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;794,735433199437
373311;1;4;05;80;2; ; ; ; ; ; ; ; ; ;1;05;794,735433199437
373311;1;7;05;80;2; ; ; ; ; ; ; ; ; ;1;05;794,735433199437
373312;1;1;05;80;1;4;2; ;2; ; ; ; ; ;1;05;715,522181579509
373313;1;1;05;80;1;4;4; ;3; ; ; ; ; ;1;05;698,029926161409
373314;1;2;05;80;1;4;2; ;1;2;2; ;2; ;1;05;689,527352145
373315;1;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;699,079163257591
373318;1;3;05;80;1;1;1; ;2; ; ; ; ; ;1;05;612,890996275499
373318;1;6;05;80;1;4;3; ;2; ; ; ; ; ;1;05;612,890996275499
373318;1;7;05;80;1;4;2; ;2; ; ; ; ; ;1;05;612,890996275499
373319;1;4;05;80;1;3;8;CAMBIO  DE  DOMICILIO;2; ; ; ; ; ;1;05;859,256537025019
373320;1;1;05;80;1;4;5; ;2; ; ; ; ; ;1;05;567,056917312017
373321;1;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;894,346446691109
373321;1;5;05;80;2; ; ; ; ; ; ; ; ; ;1;05;894,346446691109
373321;1;6;05;80;2; ; ; ; ; ; ; ; ; ;1;05;894,346446691109
373322;1;2;05;80;1;1;3; ;2; ; ; ; ; ;1;05;847,431659781942
373323;1;1;05;80;1;4;4; ;3; ; ; ; ; ;1;05;724,367860082176
373323;1;2;05;80;1;4;4; ;3; ; ; ; ; ;1;05;724,367860082176
373325;1;2;05;80;1;4;2; ;2; ; ; ; ; ;1;05;859,256537025019
373325;1;4;05;80;1;3;7; ;2; ; ; ; ; ;1;05;859,256537025019
373326;1;1;05;80;2; ; ; ; ; ; ; ; ; ;1;05;724,367860082176
373326;1;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;724,367860082176
373327;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;768,479505963471
373329;1;4;05;80;1;1;6; ;2; ; ; ; ; ;1;05;558,616575203451
373330;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;625,794387614142
373331;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;926,434349435711
373334;1;4;05;80;2; ; ; ; ; ; ; ; ; ;1;05;845,146897578911
373336;1;2;05;80;1;4;2; ;2; ; ; ; ; ;1;05;904,44671528642
373337;1;2;05;80;1;1;2; ;2; ; ; ; ; ;1;05;766,994579127709
373339;1;1;05;80;1;2;3; ;2; ; ; ; ; ;1;05;671,911315311676
373339;1;4;05;80;2; ; ; ; ; ; ; ; ; ;1;05;671,911315311676
373339;1;5;05;80;1;1;5; ;2; ; ; ; ; ;1;05;671,911315311676
373339;1;6;05;80;1;1;7; ;2; ; ; ; ; ;1;05;671,911315311676
373340;1;2;05;80;1;4;0; ;2; ; ; ; ; ;1;05;617,729479492948
373342;1;1;05;80;1;4;4; ;3; ; ; ; ; ;1;05;660,572663643476
373342;1;2;05;80;1;4;2; ;2; ; ; ; ; ;1;05;660,572663643476
373342;1;4;05;80;2; ; ; ; ; ; ; ; ; ;1;05;660,572663643476
373343;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;838,679684036619
