DIRECTORIO;SECUENCIA_P;ORDEN;AREA;REGIS;P7495;P7500;P7500S1;P7500S2;P7500S3A1;P7500S2A1;P7500S1A1;P7500S3;P7505;P7510S3;P7510S4;P7510S6;P7510S2A1;P7510S4A1;P7510S6A1;P7510S5A1;P7510S3A1;P7510S1A1;P7510S5;P7510S1;P7510S2;DPTO;fex_c_2011
549810;1;1;05;95;2; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ; ;1000000;2;1;2;05;745,97542247423
549812;1;1;05;95;2; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ; ;24000000;2;1;2;05;872,345588382235
549812;1;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;872,345588382235
549813;1;1;05;95;1; ;2;1; ;433700; ;2;1;2;2;1; ; ;8000000; ; ; ;2;2;2;05;844,914919813133
549813;1;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;844,914919813133
549813;1;3;05;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;50000; ; ; ;2;2;2;05;844,914919813133
549813;1;4;05;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;50000; ; ; ;2;2;2;05;844,914919813133
549813;1;5;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;844,914919813133
549814;1;1;05;95;2; ; ; ; ; ; ; ;1;2;2;2; ; ; ;20000000; ; ;1;2;2;05;846,678935647664
549814;1;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;846,678935647664
549815;1;1;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;944,938311264068
549815;1;2;05;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;100000; ; ; ;2;2;2;05;944,938311264068
549815;1;3;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;944,938311264068
549815;1;4;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;944,938311264068
549816;1;1;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1875,54468516115
549816;1;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1875,54468516115
549817;1;1;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1476,85720433459
549817;1;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1476,85720433459
549817;1;3;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1476,85720433459
549817;1;4;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1476,85720433459
549818;1;1;05;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;150000; ; ; ;2;2;2;05;822,956842545735
549818;1;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;822,956842545735
549818;1;3;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;822,956842545735
549818;1;4;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;822,956842545735
549819;1;1;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1215,92260583087
549819;1;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1215,92260583087
549820;1;1;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1638,59740387718
549821;1;1;05;95;1; ;1;1; ;433700;250000;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;680,55402579727
549821;1;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;680,55402579727
549821;1;3;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;680,55402579727
549821;1;4;05;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;157000; ; ; ;2;2;2;05;680,55402579727
549822;1;1;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;676,451731205624
549822;1;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;676,451731205624
549822;1;3;05;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;30000; ; ; ;2;2;2;05;676,451731205624
549822;1;4;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;676,451731205624
549823;1;1;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1086,67819788838
549823;1;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1086,67819788838
549824;1;1;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;972,30685183804
549825;1;1;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;884,287637766151
549825;1;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;884,287637766151
549825;1;3;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;884,287637766151
549825;1;4;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;884,287637766151
549825;1;5;05;95;2; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ; ;2400000;2;1;2;05;884,287637766151
549826;1;1;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;922,32363948624
549826;1;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;922,32363948624
549827;1;1;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;979,927493275208
549827;1;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;979,927493275208
549828;1;1;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;990,814067776427
549828;1;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;990,814067776427
549828;1;3;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;990,814067776427
549828;1;4;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;990,814067776427
549829;1;1;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;902,783160569435
549829;1;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;902,783160569435
549829;1;3;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;902,783160569435
549829;1;4;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;902,783160569435
549830;1;1;05;95;2; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ; ;7200000;2;1;2;05;745,97542247423
549831;1;1;05;95;1; ;1;1; ;866000;200000;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;745,97542247423
549833;1;1;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;941,874637172221
549833;1;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;941,874637172221
549834;1;1;05;95;1; ;1;2; ; ;560000;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;649,672299625571
549834;1;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;649,672299625571
549834;1;3;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;649,672299625571
549834;1;4;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;649,672299625571
549834;1;5;05;95;1; ;2;1; ;433700; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;649,672299625571
549835;1;1;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1132,07396816115
549836;1;1;05;95;2; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ; ;12000000;2;1;2;05;752,17063214989
549836;1;3;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;752,17063214989
549839;1;1;05;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;4000000; ; ; ;2;2;2;05;1132,07396816115
549840;1;1;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;906,885455161081
549840;1;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;906,885455161081
549840;1;3;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;906,885455161081
549840;1;4;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;906,885455161081
549841;1;1;05;95;2; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ; ;1500000;2;1;2;05;807,306217694646
549841;1;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;807,306217694646
549842;1;1;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1016,87960088327
549842;1;2;05;95;2; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ; ;2400000;2;1;2;05;1016,87960088327
549842;1;3;05;95;1; ;1;2; ; ;800000;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1016,87960088327
549842;1;4;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1016,87960088327
