DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7430;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;INI;MES;p7440;DPTO;fex_c_2011
5418283;1;1;1;80;05;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;04;4;05;1353,09137447504
5418286;1;1;1;80;05;1;4; ;2; ; ;4; ;1;2;2; ;2; ;908536;1;1;04;2;05;1119,22444025377
5418286;1;2;1;80;05;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;04;4;05;1119,22444025377
5418286;1;5;1;80;05;1;4; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;04;4;05;1119,22444025377
5418289;1;2;1;80;05;1;8; ;2; ; ;2; ;2; ;2; ; ; ; ;2;1;04;2;05;1195,4017975575
5418291;1;1;1;80;05;1;9;CIERRE DE EMPRESA POR PANDEMIA;2; ; ;4; ;2; ;2; ;2; ;908526;2;1;04;2;05;823,425193752377
5418294;1;3;1;80;05;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;04; ;05;588,408645385925
5418294;1;5;1;80;05;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;04;4;05;588,408645385925
5418295;1;4;1;80;05;1;4; ;2; ; ;4; ;2; ;2; ;2; ;908526;2;1;04;4;05;795,368910791851
5418296;1;1;1;80;05;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;04;4;05;624,894486322483
5418297;1;2;1;80;05;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;04;4;05;688,946948799967
5418297;1;3;1;80;05;1;6; ;2; ; ;4; ;2; ;2; ;1;48;908526;2;1;04;3;05;688,946948799967
5418297;1;4;1;80;05;1;8; ;2; ; ;2; ;2; ;2; ; ; ; ;2;1;04;1,3;05;688,946948799967
5418299;1;1;1;80;05;1;5; ;2; ; ;12;POR LA PANDEMIA;3; ;2; ;1;48;2000000;3;1;04;2;05;1261,60359966799
