DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7250;P7260;P1806;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P1519;P1883;P7420;P7420S7A1;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7422;P7422S1;RAMA2D_D_R4;OFICIO1;OFICIO2;DSI;DSCY;RAMA4D_D_R4;MES;DPTO;fex_c_2011
6037242;1;1;1;70;05;3;48;908526;1;;2;3;1;;4;2;1;;2;;;;;;;;;;;1;1;908526;87;59;59;1;1;8730;12;05;1410.9181416
6037244;1;2;1;70;05;12;48;908526;1;;2;24;1;;2;2;4;;2;;;;;;;;;;;1;2;;23;45;89;1;1;2395;12;05;1750.4222404
6037246;1;1;1;70;05;84;48;908526;4;;2;84;1;;8;2;2;;2;;;;;;;;;;;1;2;;10;98;97;1;2;1090;12;05;1571.8626497
6037248;1;2;1;70;05;49;48;908526;1;;2;78;1;;2;2;1;;2;;;;;;;;;;;1;2;;56;55;53;1;2;5630;12;05;1652.4051566
6037249;1;2;1;70;05;52;48;908526;1;;2;52;1;;3;2;2;;2;;;;;;;;;;;1;2;;53;13;32;1;2;5320;12;05;1476.1702864
6037254;1;3;1;70;05;4;48;908526;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;53;;1;1;;12;05;1211.9829563
6037255;1;4;1;70;05;8;48;908526;1;;2;8;1;;3;2;2;;2;;;;;;;;;;;1;2;;47;33;33;1;1;4711;12;05;1691.5167608
6037256;1;3;1;70;05;49;58;908526;4;;2;49;4;;1;2;1;;2;;;;;;;;;;;1;2;;41;93;93;1;2;4111;12;05;1238.1586259
6037257;1;1;1;70;05;4;48;1200000;4;;2;4;5;;2;2;1;;2;;;;;;;;;;;1;2;;47;97;45;1;1;4711;12;05;1225.7209745
6037264;1;1;1;70;05;12;48;1500000;1;;2;5;1;;4;2;1;;1;1;;;;;;;;;;1;2;;16;21;21;1;1;1640;12;05;1142.6137173
6037264;1;4;1;70;05;12;48;2000000;1;;2;104;1;;9;2;2;;2;;;;;;;;;;;1;2;;63;03;03;1;1;6311;12;05;1142.6137173
6037266;1;2;1;70;05;16;48;908526;1;;2;104;1;;9;2;2;;2;;;;;;;;;;;1;2;;25;45;83;1;2;2599;12;05;1352.7304552
6037267;1;1;1;70;05;16;48;908526;1;;2;60;1;;9;2;1;;2;;;ARRIENDOS;;;;;;;1;;2;;47;33;45;1;2;4771;12;05;1253.5627375
6037270;1;1;1;70;05;20;48;1014000;1;;2;24;1;;4;2;1;;2;;;;;;;;;;;1;2;;86;59;59;1;2;8621;12;05;1253.5627375
6037278;1;2;1;70;05;62;48;908526;1;;2;62;1;;3;2;2;;2;;;;;;;;;;;1;2;;56;53;53;1;2;5629;12;05;1113.822416
6037278;1;3;1;70;05;7;48;908526;1;;2;7;1;;9;2;1;;2;;;;;;;;;;;1;2;;47;98;97;1;1;4711;12;05;1113.822416
6037289;1;2;1;70;05;2;48;908526;1;;2;6;1;;8;2;1;;2;;;;;;1;;;;;;2;;86;59;59;1;1;8622;12;05;1274.7444141
6037303;1;1;1;70;05;208;48;1000000;1;;2;208;1;;9;2;2;;2;;;;;;;;;;;1;2;;47;45;21;1;2;4792;12;05;1391.7844204
6037316;1;5;1;70;05;24;48;1200000;1;;2;24;1;;5;2;1;;2;;;;;;;;;;;1;2;;14;79;79;1;2;1410;12;05;1088.706229
6037318;1;1;1;70;05;60;48;908526;1;;2;200;1;;8;2;1;;2;;;;;;;;;;;1;2;;45;32;32;1;2;4520;12;05;1452.4979229
6037323;1;1;1;70;05;4;48;908526;3;;2;4;3;;1;2;1;;2;;;;;;;;;;;1;2;;97;54;54;1;1;9700;12;05;1530.5722527
6037355;1;4;1;70;05;24;48;1000000;1;;2;16;8;;4;2;1;;2;;;;;;;;;;;1;2;;01;45;62;1;2;0113;12;05;868.53020111
6037361;1;2;1;70;05;24;48;908526;4;;2;28;4;;1;2;1;;2;;;;;;;;;;;1;1;120000;41;93;93;1;2;4111;12;05;1858.552255
6037361;1;3;1;70;05;48;48;908526;4;;2;50;1;;9;2;1;;2;;;;;;;;;;;1;2;;41;93;93;1;2;4111;12;05;1858.552255
6037361;1;4;1;70;05;70;48;908526;1;;2;70;4;;9;2;1;;2;;;;;;;;;;;1;2;;84;30;34;1;2;8412;12;05;1858.552255
6037364;1;5;1;70;05;32;48;908526;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;03;;1;2;;12;05;1282.4999666
6037366;1;4;1;70;05;24;48;908526;1;;2;108;1;;9;2;1;;2;;;;;;;;;;;1;2;;47;38;44;1;2;4741;12;05;1306.2089861
6037373;1;3;1;70;05;12;48;1000000;1;;2;156;1;;6;2;2;;2;;;;;;;;;;;1;2;;47;59;97;1;1;4721;12;05;1170.403175
6037376;1;3;1;70;05;8;48;908526;1;;2;156;1;;5;2;1;;2;;;;;;;;;;;1;2;;68;58;58;1;1;6820;12;05;1410.6638864
6037384;1;4;1;70;05;6;48;600000;1;;2;6;1;;3;2;1;;2;;;;;;;;;;;1;1;150000;41;95;95;1;1;4111;12;05;1140.1455403
6037386;1;2;1;70;05;10;48;908526;4;;2;18;4;;1;2;2;;2;;;;;;;;;;;1;2;;96;57;57;1;1;9602;12;05;1320.2588986
6037386;1;5;1;70;05;12;24;650000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;45;;1;1;;12;05;1320.2588986
6037399;1;2;1;70;05;24;48;908526;1;;2;24;4;;1;2;4;;2;;;;;;;;;;;1;2;;45;84;99;1;2;4542;12;05;1323.8815148
6037415;1;2;1;70;05;20;48;908526;1;;2;2;1;;9;2;1;;2;;;;;;;;;;;1;2;;65;13;39;1;2;6523;12;05;1279.8858618
6037423;1;2;1;70;05;24;48;908526;4;;2;24;4;;1;2;1;;2;;;;;;;;;;;1;2;;53;98;37;1;2;5320;12;05;1587.9590936
6037423;1;3;1;70;05;20;48;908526;1;;2;20;1;;5;2;1;;2;;;;;;;;;;;1;2;;47;43;45;1;2;4711;12;05;1587.9590936
6037424;1;2;1;70;05;24;48;2000000;1;;2;24;4;;9;2;1;;1;1;;;1;;;;;;;;2;;84;19;19;1;2;8413;12;05;1018.1300527
6037429;1;2;1;70;05;52;48;908526;1;;2;52;1;;5;2;2;;2;;;;;;;;;;;1;2;;47;97;97;1;2;4771;12;05;996.78240965
6037432;1;1;1;70;05;12;48;908526;1;;2;12;1;;7;2;6;;2;;;;;;;;;;;1;1;700000;41;58;95;1;1;4111;12;05;1253.5627375
6037434;1;1;1;70;05;104;48;908526;1;;2;104;1;;3;2;1;;2;;;;;;;;;;;1;1;20000;56;53;53;1;2;5611;12;05;996.78240965
6037437;1;2;1;70;05;40;48;908526;1;;2;40;1;;2;2;8;;2;;;;;;;;;;;1;2;;56;45;53;1;2;5611;12;05;1267.3007558
6037438;1;3;1;70;05;52;48;908526;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;45;;1;2;;12;05;1219.4266146
6037439;1;1;1;70;05;52;48;908526;4;;2;52;4;;1;2;1;;2;;;;;;;;;;;1;2;;80;58;58;1;2;8010;12;05;1197.9315168
6037449;1;3;1;70;05;52;48;1000000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;58;;1;2;;12;05;1039.6251505
6037451;1;4;1;70;05;104;48;908526;1;;2;104;1;;9;2;4;;2;;;;;;;;;;;1;2;;55;39;50;1;2;5511;12;05;1380.6605069
6037452;1;3;1;70;05;8;48;908526;1;;2;8;1;;9;2;1;;2;;;;;;;;;;;1;2;;46;45;45;1;1;4631;12;05;1459.9640912
6037456;1;2;1;70;05;2;48;908526;1;;2;2;1;;4;2;1;;3;;;YA ESTA PENSIONADO;;;;;;;1;;1;800000;14;79;79;1;1;1410;12;05;1155.4021972
6037462;1;1;1;70;05;24;48;908526;3;;2;312;4;;1;2;1;;2;;;;;;;;;;;1;2;;47;54;41;1;2;4711;12;05;1372.9049543
6037464;1;3;1;70;05;52;48;1000000;1;;2;58;1;;9;2;1;;2;;;;;;;;;;;1;2;;46;39;97;1;2;4663;12;05;1121.2660743
6037472;1;6;1;70;05;16;48;908526;1;;2;16;1;;7;2;1;;2;;;;;;;;;;;1;1;150000;85;55;53;1;2;8530;12;05;1611.0827743
6037473;1;3;1;70;05;52;48;908526;1;;2;52;4;;1;2;2;;2;;;;;;;;;;;1;2;;88;54;54;1;2;8891;12;05;1322.7270757
6037488;1;1;1;70;05;24;48;908526;1;;2;28;1;;3;2;2;;2;;;;;;;;;;;1;2;;14;54;79;1;2;1410;12;05;1193.1034902
6037494;1;1;1;70;05;5;48;908526;3;;2;5;3;;1;2;1;;2;;;;;;;;;;;1;1;908526;97;54;54;1;1;9700;12;05;1298.7653278
6037494;1;4;1;70;05;8;48;908526;1;;2;10;1;;8;2;1;;2;;;;;;;;;;;1;2;;22;90;90;1;1;2229;12;05;1298.7653278
6037508;1;2;1;70;05;4;48;908526;1;;2;4;1;;9;2;1;;2;;;;;;;;;;;1;1;1500000;51;58;58;1;1;5111;12;05;1789.6773011
6037509;1;3;1;70;05;78;48;908526;1;;2;78;1;;9;2;4;;2;;;;;;;;;;;1;2;;93;18;17;1;2;9319;12;05;1030.7151588
6037512;1;2;1;70;05;32;48;908526;3;;2;2;4;;1;2;8;;2;;;;;;;;;;;1;1;150000;13;54;79;1;2;1313;12;05;2303.3809337
6037514;1;1;1;70;05;48;48;908526;4;;2;4;4;;1;2;2;;2;;;;;;;;;;;1;1;120000;81;54;54;1;2;8121;12;05;1391.7844204
6037519;1;2;1;70;05;40;48;1500000;1;;2;52;1;;5;2;2;;2;;;;;;;;;;;1;2;;46;32;32;1;2;4665;12;05;1230.8624223
6037527;1;3;1;70;05;4;48;908526;1;;2;4;1;;4;2;3;;2;;;;;;;;;;;1;1;908526;32;98;98;1;1;3290;12;05;1211.9829563
6037528;1;1;1;70;05;6;48;1500000;1;;2;6;1;;9;1;2;;2;;;;;;;;;;;1;2;;46;30;30;1;1;4631;12;05;1193.1034902
6037531;1;1;1;70;05;40;48;500000;1;;2;40;1;;8;2;8;;2;;;;;;;;;;;1;2;;86;55;55;1;2;8610;12;05;1211.9829563
6037531;1;2;1;70;05;52;48;500000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;97;;1;2;;12;05;1211.9829563
6037539;1;1;1;70;05;1;48;908526;3;;2;4;3;;1;2;2;;2;;;;;;;;;;;1;1;70000;97;54;54;1;1;9700;12;05;1650.2263638
6037549;1;1;1;70;05;52;48;908526;3;;2;52;3;;1;2;1;;2;;;;;;;;;;;1;2;;97;54;54;1;2;9700;12;05;1399.2280787
6037551;1;1;1;70;05;30;48;1000000;1;;2;40;1;;2;2;1;;2;;;;;;;;;;;1;2;;56;53;53;1;2;5611;12;05;1162.8458555
6037553;1;2;1;70;05;2;48;1000000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;45;;1;1;;12;05;1413.2428622
6037567;1;3;1;70;05;4;48;908526;1;;2;4;1;;9;2;1;;2;;;;;;;;;;;1;2;;43;38;38;1;1;4321;12;05;1540.2523428
6037574;1;2;1;70;05;52;48;908526;1;;2;12;4;;1;2;2;;2;;;;;;;;;;;1;2;;14;79;79;1;2;1410;12;05;1078.5893
6037574;1;3;1;70;05;12;48;908526;1;;2;12;1;;8;2;1;;2;;;;;;;;;;;1;2;;43;98;98;1;1;4390;12;05;1078.5893
6037581;1;2;1;70;05;4;48;908526;4;;2;2;4;;1;2;1;;1;1;;;1;;;;;;;;1;1000000;49;98;98;1;1;4921;12;05;1391.7844204
6037584;1;1;1;70;05;8;48;908526;1;;2;8;1;;2;2;3;;2;;;;;;;;;;;1;2;;49;98;98;1;1;4921;12;05;1018.1300527
6037584;1;3;1;70;05;1;48;2300000;4;;2;1;2;;9;2;2;;2;;;;;;;;;;;1;1;2500000;85;03;13;1;1;8544;12;05;1018.1300527
6037589;1;2;1;70;05;104;48;908526;1;;2;260;1;;5;2;2;;2;;;;;;;;;;;1;2;;14;32;32;1;2;1410;12;05;1429.7976077
6037607;1;1;1;70;05;30;48;908526;1;;2;30;4;;2;2;1;;2;;;PENSION POR SUSTITUCION;;;;;;;1;;2;;15;79;80;1;2;1522;12;05;1372.9049543
6037617;1;3;1;70;05;20;48;908526;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;45;;1;2;;12;05;1113.822416
6037618;1;3;1;70;05;2;48;908526;1;;2;72;1;;9;2;2;;2;;;;;;;;;;;1;2;;64;38;38;1;1;6412;12;05;983.0443914
6037635;1;3;1;70;05;8;48;908526;1;;2;8;1;;9;2;1;;2;;;;;;;;;;;1;1;600000;74;02;03;1;1;7490;12;05;1279.8858618
6037642;1;1;1;70;05;90;48;1014000;1;;2;90;1;;7;2;2;;2;;;;;;;;;;;1;2;;20;97;37;1;2;2029;12;05;1471.3773889
6037643;1;2;1;70;05;16;48;1300000;1;;2;16;1;;4;2;3;;2;;;;;;;;;;;1;2;;56;55;45;1;2;5613;12;05;1366.9224886
6037643;1;3;1;70;05;4;48;1800000;2;;2;4;1;;9;2;3;;2;;;;;;1;;;;;;1;1600000;86;59;59;1;1;8610;12;05;1366.9224886
6037645;1;3;1;70;05;12;24;908526;1;;2;12;1;;2;2;2;;2;;;;;;;;;;;1;2;;56;45;53;1;1;5619;12;05;1252.0440988
6037650;1;1;1;70;05;52;48;1300000;1;;2;104;4;;1;2;1;;2;;;;;;;;;;;1;2;;56;55;77;1;2;5619;12;05;1118.9638637
6037650;1;5;1;70;05;8;48;1000000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;97;;1;1;;12;05;1118.9638637
6037652;1;1;1;70;05;76;48;908526;1;;2;76;1;;4;2;1;;2;;;;;;;;;;;1;2;;56;55;53;1;2;5611;12;05;1373.2168486
6037653;1;1;1;70;05;8;48;908526;1;;2;8;1;;2;2;4;;2;;;;;;;;;;;1;1;908526;47;45;45;1;1;4729;12;05;1234.6832715
6037654;1;1;1;70;05;52;48;908526;4;;2;52;4;;1;2;1;;2;;;;;;;;;;;1;2;;14;79;79;1;2;1410;12;05;1136.5227312
6037658;1;2;1;70;05;52;48;908526;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;45;;1;2;;12;05;1094.94295
6037659;1;1;1;70;05;8;48;908526;1;;2;104;1;;3;2;1;;2;;;;;;;;;;;1;2;;14;97;79;1;1;1410;12;05;1253.5627375
6037670;1;4;1;70;05;1;40;908526;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;53;;1;1;;12;05;1473.7021094
6037680;1;1;1;70;05;3;48;908526;1;;2;20;1;;2;2;1;;2;;;;;;;;;;;1;2;;56;55;45;1;1;5630;12;05;1511.4034025
6037680;1;2;1;70;05;8;48;908526;1;;2;12;1;;5;2;1;;2;;;;;;;;;;;1;2;;01;39;39;1;1;0123;12;05;1511.4034025
6037682;1;2;1;70;05;24;48;1000000;1;;2;26;1;;9;2;1;;2;;;;;;;;;;;1;2;;46;39;39;1;2;4690;12;05;1350.2046391
6037685;1;1;1;70;05;12;48;1000000;3;;2;14;3;;1;2;1;;2;;;;;;;;;;;1;2;;97;54;54;1;1;9700;12;05;1234.6832715
6037687;1;2;1;70;05;8;48;1000000;1;;2;12;1;;3;2;2;;2;;;;;;;;;;;1;2;;56;53;45;1;1;5613;12;05;1263.4222676
6037688;1;2;1;70;05;68;48;1500000;1;;2;68;1;;9;2;1;;2;;;;;;;;;;;1;2;;82;02;30;1;2;8299;12;05;1149.1078372
6037699;1;2;1;70;05;72;48;1014000;1;;2;70;1;;3;2;1;;2;;;;;;;;;;;1;2;;94;55;55;1;2;9491;12;05;1155.4021972
6037707;1;1;1;70;05;52;48;908526;1;;2;52;1;;4;2;1;;2;;;;;;;;;;;1;2;;47;45;45;1;2;4719;12;05;1253.5627375
6037723;1;2;1;70;08;48;48;900000;4;;2;48;3;;1;2;1;;2;;;;;;;;;;;1;2;;97;55;54;1;2;9700;12;08;657.13608946
6037726;1;3;1;70;08;12;48;900000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;95;;1;1;;12;08;706.37732065
6037728;1;4;1;70;08;4;52;908000;1;;2;48;1;;3;2;1;;2;;;;;;;;;;;1;2;;68;45;55;1;1;6820;12;08;559.85059576
6037735;1;4;1;70;08;52;48;2000000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;19;;1;2;;12;08;569.66636182
6037736;1;1;1;70;08;108;40;900000;1;;2;112;4;;1;2;2;;2;;;;;;;;;;;1;2;;96;79;57;1;2;9602;12;08;710.63075567
6037736;1;3;1;70;08;108;40;900000;1;;2;108;1;;9;2;2;;2;;;;;;;;;;;1;2;;49;39;39;1;2;4923;12;08;710.63075567
6037746;1;4;1;70;08;52;48;908000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;39;;1;2;;12;08;552.1317164
6037763;1;7;1;70;08;4;40;1200000;1;;2;4;1;;4;2;1;;2;;;;;;;;;;;1;1;1200000;49;35;98;1;1;4923;12;08;700.75513397
6037809;1;2;1;70;08;48;48;900000;1;;2;48;1;;7;2;8;;2;;;;;;;;;;;1;2;;43;32;32;1;2;4321;12;08;528.83967491
6037814;1;7;1;70;08;8;48;908000;3;;2;8;3;;2;2;1;;2;;;;;;;;;;;1;2;;97;54;59;1;1;9700;12;08;595.80427358
6037821;1;2;1;70;08;6;48;900000;1;;2;48;1;;2;2;1;;2;;;;;;;;;;;1;2;;56;45;45;1;1;5611;12;08;665.48398847
6037823;1;2;1;70;08;12;48;906000;1;;2;12;1;;3;2;1;;2;;;;;;;;;;;1;2;;41;55;95;1;1;4111;12;08;635.94093468
6037829;1;2;1;70;08;12;48;900000;1;;2;12;1;;5;2;1;;2;;;;;;;;;;;1;2;;85;13;13;1;1;8512;12;08;659.80092518
6037837;1;1;1;70;08;4;48;906000;3;;2;4;4;;1;2;7;;2;;;;;;;;;;;1;1;350000;96;54;97;1;1;9609;12;08;721.75541775
6037849;1;3;1;70;08;52;48;908526;1;;2;88;1;;6;2;1;;2;;;;;;;;;;;1;2;;15;55;80;1;2;1521;12;08;663.26636952
6037862;1;1;1;70;08;24;48;908526;3;;2;84;3;;1;2;1;;2;;;;;;;;;;;1;2;;97;54;54;1;2;9700;12;08;647.35208968
6037867;1;2;1;70;08;20;48;900000;1;;2;30;3;;1;2;1;;2;;;;;;;;;;;1;2;;97;45;54;1;2;9700;12;08;648.62489171
6037883;1;2;1;70;08;8;48;908000;1;;2;2;1;;9;2;7;;2;;;;;;;;;;;1;2;;47;33;33;1;1;4723;12;08;721.75541775
6037908;1;2;1;70;08;99;48;906000;1;;2;99;4;;1;2;1;;2;;;;;;;;;;;1;2;;81;45;55;1;2;8121;12;08;698.06118792
6037911;1;2;1;70;08;156;48;1500000;1;;2;156;1;;3;2;8;;2;;;;;;;;;;;1;2;;56;50;50;1;2;5611;12;08;700.81498961
6037912;1;2;1;70;08;40;48;900000;1;;2;42;1;;3;2;4;;2;;;;;;;;;;;1;2;;82;45;39;1;2;8299;12;08;653.39094184
6037925;1;2;1;70;08;52;48;920000;1;;2;30;1;;9;2;2;;2;;;;;;;;;;;1;2;;47;32;40;1;2;4762;12;08;733.72773213
6037925;1;3;1;70;08;32;48;1200000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;33;;1;2;;12;08;733.72773213
6037925;1;4;1;70;08;20;48;900000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;39;;1;2;;12;08;733.72773213
6037927;1;1;1;70;08;52;48;800000;4;;2;52;4;;1;2;8;;2;;;;;;;;;;;1;2;;47;45;45;1;2;4722;12;08;432.5748315
6037934;1;3;1;70;08;3;48;1300000;1;;2;6;1;;5;2;1;;2;;;;;;;;;;;1;1;1300000;85;13;13;1;1;8512;12;08;819.5422152
6037934;1;4;1;70;08;18;48;1400000;1;;2;18;1;;9;2;3;;2;;;;;;;;;;;1;2;;36;03;03;1;2;3600;12;08;819.5422152
6037938;1;2;1;70;08;4;48;2500000;1;;2;4;1;;9;2;1;;2;;;;;;;;;;;1;1;400000;41;02;95;1;1;4111;12;08;585.23183644
6037940;1;3;1;70;08;20;45;1000000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;38;;1;2;;12;08;631.50012214
6037949;1;4;1;70;08;52;48;910000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;03;;1;2;;12;08;661.10982121
6037965;1;2;1;70;08;24;40;900000;1;;2;32;1;;9;2;1;;2;;;;;;;;;;;1;2;;20;90;74;1;2;2023;12;08;721.75541775
6037970;1;3;1;70;08;8;48;908000;1;;2;8;1;;6;2;1;;2;;;;;;;;;;;1;2;;49;58;55;1;1;4923;12;08;605.99549852
6037975;1;2;1;70;08;12;48;500000;1;;2;52;1;;3;2;2;;2;;;;;;;;;;;1;2;;47;45;45;1;1;4771;12;08;578.86688152
6037975;1;3;1;70;08;2;48;908000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;45;;1;1;;12;08;578.86688152
6037975;1;4;1;70;08;52;48;900000;1;;2;54;1;;7;2;1;;2;;;;;;;;;;;1;2;;01;97;85;1;2;0145;12;08;578.86688152
6037980;1;2;1;70;08;12;48;1500000;1;;2;52;1;;7;2;1;;2;;;;;;;;;;;1;2;;41;03;03;1;1;4111;12;08;700.81498961
6037982;1;3;1;70;08;12;48;400000;1;;2;12;4;;1;2;1;;2;;;;;;;;;;;1;2;;56;45;45;1;1;5619;12;08;675.83463112
6037982;4;3;4;70;08;52;48;906000;1;;2;52;1;;7;2;1;;2;;;;;;;;;;;1;2;;82;45;38;1;2;8220;12;08;675.83463112
6037985;1;3;1;70;08;53;48;908000;1;;2;53;1;;2;2;1;;2;;;;;;;;;;;1;2;;49;98;98;1;2;4923;12;08;522.70939486
6037999;1;2;1;70;08;40;48;908000;1;;2;104;1;;9;2;8;;2;;;;;;;;;;;1;2;;47;18;45;1;2;4711;12;08;647.94934305
6038004;1;2;1;70;08;52;40;1300000;1;;2;24;1;;9;2;4;;2;;;;;;;;;;;1;2;;86;07;07;1;2;8610;12;08;530.02783869
6038006;1;3;1;70;08;4;48;800000;1;;2;106;1;;8;2;1;;2;;;;;;;;;;;1;2;;47;45;45;1;1;4771;12;08;563.70359525
6038007;1;2;1;70;08;52;40;600000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;45;;1;2;;12;08;539.84360475
6038011;1;3;1;70;08;16;48;908000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;97;;1;2;;12;08;706.18994313
6038017;1;2;1;70;08;1;48;900000;1;;2;48;3;;1;2;1;;2;;;;;;;;;;;1;2;;97;45;54;1;1;9700;12;08;495.45985159
6038020;1;3;1;70;08;8;48;906000;1;;2;8;4;;1;2;1;;2;;;;;;;;;;;1;2;;93;58;18;1;1;9319;12;08;608.68963859
6038021;1;8;1;70;08;106;48;910000;1;;2;106;1;;6;2;8;;2;;;;;;;;;;;1;2;;56;53;53;1;2;5611;12;08;396.32108047
6038021;1;9;1;70;08;106;48;910000;1;;2;106;1;;8;2;8;;2;;;;;;;;;;;1;2;;35;38;33;1;2;3520;12;08;396.32108047
6038024;1;3;1;70;08;4;48;1500000;1;;2;5;1;;9;2;2;;2;;;;;;;;;;;1;1;906000;36;05;03;1;1;3600;12;08;545.80637132
6038037;1;1;1;70;08;24;48;1000000;1;;2;14;4;;1;2;1;;2;;;;;;;;;;;1;2;;47;58;45;1;2;4729;12;08;563.32302375
6038041;1;1;1;70;08;80;48;600000;3;;2;80;3;;2;2;1;;2;;;;;;;;;;;1;2;;97;54;54;1;2;9700;12;08;534.28127371
6038042;1;6;1;70;08;8;48;800000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;45;;1;1;;12;08;492.67428363
6038054;1;1;1;70;11;32;48;2800000;1;;2;32;1;;9;2;8;;2;;;;;;;;;;;1;2;;84;02;03;1;2;8422;12;11;4219.9630013
6038060;1;1;1;70;11;4;48;908526;1;;2;4;1;;9;2;1;;2;;;;;;;;;;;1;2;;47;33;33;1;1;4755;12;11;3010.2382025
6038064;1;2;1;70;11;24;48;908526;1;;2;24;1;;9;2;2;;2;;;;;;;;;;;1;2;;80;58;58;1;2;8010;12;11;3264.5253494
6038077;1;2;1;70;11;12;12;1200000;1;;2;32;1;;7;2;7;;2;;;;;;;;;;;1;2;;82;45;39;1;1;8291;12;11;3721.8930183
6038092;1;2;1;70;11;8;48;800000;1;;2;8;1;;3;2;8;;2;;;;;;;;;;;1;2;;56;54;53;1;1;5611;12;11;3534.1880263
6038098;1;2;1;70;11;3;56;960000;1;;2;4;1;;3;2;8;;2;;;;;;;;;;;1;2;;56;53;53;1;1;5611;12;11;5959.8099059
6038100;1;1;1;70;11;16;48;908526;4;;2;16;5;;2;2;4;;2;;;;;;;;;;;1;2;;41;95;95;1;2;4111;12;11;4590.0602606
6038104;1;1;1;70;11;32;48;908526;1;;2;32;1;;4;2;1;;2;;;;;;;;;;;1;2;;14;45;39;1;2;1410;12;11;3963.7198472
6038117;1;1;1;70;11;4;48;1200000;1;;2;4;4;;4;2;1;;2;;;;;;;;;;;1;1;99;41;95;95;1;1;4111;12;11;4240.2283435
