DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P6290;P6290S1;P6230;P6240;P6240S1;P6250;P6260;P6270;P6280;P6300;P6310;P6310S1;P6320;P6330;P6340;P6350;P6351;MES;RABAND;FT;DPTO;fex_c_2011
4707234;1;1;1;50; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;68;2702,22914295684
4707235;1;1;1;50; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;68;2073,97356229238
4707236;1;1;1;50; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;68;2823,34383633899
4707236;1;2;1;50; ;1; ; ;2;6;DESCANSANDO DE LA PENSION;2;2;2;2;2; ; ; ; ; ; ; ;09; ;1;68;2823,34383633899
4707237;1;1;1;50; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;68;1955,9729483845
4707237;1;2;1;50; ;1;1; ;2;2; ;2;2;2;1; ; ; ; ; ; ; ;1;09; ;1;68;1955,9729483845
4707238;1;1;1;50; ;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;09; ;1;68;2073,97356229238
4707239;1;1;1;50; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;68;4677,05487692911
4707239;1;2;1;50; ;1;6; ;2;2; ;2;2;2;1; ; ; ; ; ; ; ;1;09; ;1;68;4677,05487692911
4707239;1;3;1;50; ;1; ; ;3;6;PRACTICAS UNIVERSITARIAS NO REMUNERADAS;2;2;2;2;2; ; ; ; ; ; ; ;09; ;1;68;4677,05487692911
4707239;1;4;1;50; ;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;09; ;1;68;4677,05487692911
4707240;1;1;1;50; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;68;3451,59941700345
4707240;1;2;1;50; ;1;3; ;2;2; ;2;2;2;1; ; ; ; ; ; ; ;1;09; ;1;68;3451,59941700345
4707241;1;1;1;50; ;1; ; ;1;4; ;1; ; ; ; ; ; ; ; ; ; ; ;09; ;1;68;3609,25696590314
4707242;1;1;1;50; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;68;3265,59140667997
4707242;1;2;1;50; ;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;68;3265,59140667997
4707242;1;3;1;50; ;1; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;09; ;1;68;3265,59140667997
4707243;1;1;1;50; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;68;1647,0873171143
4707243;1;2;1;50; ;1; ; ;2;4; ;2;2;2;2;1;10; ; ; ; ; ; ;09;2;1;68;1647,0873171143
4707243;1;4;1;50; ;1; ; ;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;68;1647,0873171143
4707244;1;1;1;50; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;68;3658,60275694119
4707244;1;2;1;50; ;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;68;3658,60275694119
4707244;1;3;1;50; ;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;09; ;1;68;3658,60275694119
4707245;1;1;1;50; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;68;3591,94007948666
4707245;1;2;1;50; ;1; ; ;2;4; ;1; ; ; ; ; ; ; ; ; ; ; ;09; ;1;68;3591,94007948666
4707245;1;6;1;50; ;1; ; ;6;4; ;2;2;2;2;2; ; ; ; ; ; ; ;09; ;1;68;3591,94007948666
4707246;1;1;1;50; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;68;2702,22914295684
4707247;1;1;1;50; ;1; ; ;1;4; ;2;2;2;2;1;2; ;2; ;2; ; ;09;1;1;68;2330,21312230988
4707247;1;2;1;50; ;1;2; ;2;2; ;2;2;2;1; ; ; ; ; ; ; ;1;09; ;1;68;2330,21312230988
4707247;1;3;1;50; ;1; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;09; ;1;68;2330,21312230988
4707253;1;1;1;50; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;68;3451,59941700345
4707253;1;2;1;50; ;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;68;3451,59941700345
4707291;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;1191,75147554252
4707291;1;2;1;50;05;1; ; ;2;4; ;1; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;1191,75147554252
4707292;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;1191,75147554252
4707292;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;1191,75147554252
4707293;1;1;1;50;05;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;09; ;1;05;871,714431421694
4707293;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;871,714431421694
4707293;1;3;1;50;05;1;2; ;3;6;VER TELEVISION;2;2;2;1; ; ; ; ; ; ; ;1;09; ;1;05;871,714431421694
4707294;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;1152,56547373485
4707295;1;1;1;50;05;1; ; ;1;6;CAMINAR;2;2;2;2;2; ; ; ; ; ; ; ;09; ;1;05;1081,92444096509
4707296;1;1;1;50;05;1; ; ;1;4; ;1; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;863,71221866138
4707296;1;2;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;863,71221866138
4707296;1;3;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;863,71221866138
4707297;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;1152,56547373485
4707298;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;1049,81495434659
4707298;1;2;1;50;05;1;2; ;2;6;LEER;2;2;2;1; ; ; ; ; ; ; ;1;09; ;1;05;1049,81495434659
4707298;1;3;1;50;05;1; ; ;1;6;VER TELEVISION;2;2;2;2;1;11; ; ; ; ; ; ;09;2;1;05;1049,81495434659
4707299;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;895,144893476999
4707299;1;2;1;50;05;1; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;09; ;1;05;895,144893476999
4707300;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;1081,92444096509
4707301;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;798,042101465616
4707301;1;2;1;50;05;1; ; ;2;6;DORMIR;2;2;2;2;2; ; ; ; ; ; ; ;09; ;1;05;798,042101465616
4707301;1;3;1;50;05;1; ; ;1;6;DORMIR;2;2;2;2;2; ; ; ; ; ; ; ;09; ;1;05;798,042101465616
4707302;1;1;1;50;05;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;09; ;1;05;1112,95026853497
4707302;1;2;1;50;05;1; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;09; ;1;05;1112,95026853497
4707303;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;955,361202721724
4707303;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;955,361202721724
4707304;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;1191,75147554252
4707304;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;1191,75147554252
4707305;1;1;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;986,567347915544
4707305;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;986,567347915544
4707305;1;3;1;50;05;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;09; ;1;05;986,567347915544
4707306;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;934,353251431135
4707306;1;2;1;50;05;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;09; ;1;05;934,353251431135
4707306;1;3;1;50;05;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;934,353251431135
4707307;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;1246,83890773578
4707307;1;2;1;50;05;1; ; ;2;4; ;1; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;1246,83890773578
4707308;1;1;1;50;05;1; ; ;1;6;EN REPOSO POR CIRUJIA;2;2;2;2;2; ; ; ; ; ; ; ;09; ;1;05;910,245977572951
4707308;1;2;1;50;05;1; ; ;2;3; ;2;2;2;2;1;12; ; ; ; ; ; ;09;2;1;05;910,245977572951
4707308;1;3;1;50;05;1; ; ;3;6;VER TELEVISION;2;2;2;2;2; ; ; ; ; ; ; ;09; ;1;05;910,245977572951
4707308;1;4;1;50;05;1; ; ;4;4; ;2;2;2;2;2; ; ; ; ; ; ; ;09; ;1;05;910,245977572951
4707308;1;5;1;50;05;1; ; ;5;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;910,245977572951
4707309;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;1008,25211100901
4707310;1;1;1;50;05;1; ; ;1;6;HACIENDO DILIGENCIAS;2;2;2;2;2; ; ; ; ; ; ; ;09; ;1;05;956,038014524602
4707311;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;834,928584232275
4707311;1;2;1;50;05;1; ; ;2;3; ;1; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;834,928584232275
4707312;1;1;1;50;05;1; ; ;1;6;VER TELEVISION Y CAMINAR;1; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;1068,24189063194
4707312;1;2;1;50;05;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;09; ;1;05;1068,24189063194
4707312;1;3;1;50;05;1;3; ;3;2; ;2;2;2;1; ; ; ; ; ; ; ;1;09; ;1;05;1068,24189063194
4707313;1;1;1;50;05;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;09; ;1;05;956,038014524602
4707314;1;1;1;50;05;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;09; ;1;05;956,038014524602
4707315;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;873,460130383532
4707315;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;873,460130383532
4707315;1;3;1;50;05;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;09; ;1;05;873,460130383532
4707315;1;4;1;50;05;1; ; ;4;3; ;2;2;2;2;1;12; ; ; ; ; ; ;09;2;1;05;873,460130383532
4707316;1;1;1;50;05;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;09; ;1;05;956,038014524602
4707317;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;915,926315145789
4707317;1;2;1;50;05;1; ; ;2;4; ;2;2;2;2;1;10; ; ; ; ; ; ;09;2;1;05;915,926315145789
4707317;1;3;1;50;05;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;09; ;1;05;915,926315145789
4707318;1;1;1;50;05;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;09; ;1;05;956,038014524602
4707319;1;1;1;50;05;1; ; ;1;6;VER TV;2;2;2;2;2; ; ; ; ; ; ; ;09; ;1;05;1152,56547373485
4707320;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;1464,64428279375
4707320;1;2;1;50;05;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;09; ;1;05;1464,64428279375
4707321;1;1;1;50;05;1; ; ;1;6;RECUPERANDOSE DE CIRUGIA;2;2;2;2;2; ; ; ; ; ; ; ;09; ;1;05;1152,56547373485
4707322;1;1;1;50;05;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;09; ;1;05;976,819436193392
4707322;1;2;1;50;05;1;2; ;2;6;VIAJANDO;2;2;2;1; ; ; ; ; ; ; ;1;09; ;1;05;976,819436193392
4707323;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;1029,0335326778
4707323;1;2;1;50;05;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;09; ;1;05;1029,0335326778
4707324;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;1029,0335326778
4707324;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;1029,0335326778
4707325;1;1;1;50;05;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;09; ;1;05;956,038014524602
4707326;1;1;1;50;05;1;1; ;1;4; ;2;2;2;1; ; ; ; ; ; ; ;1;09; ;1;05;850,256197950026
4707326;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;850,256197950026
4707326;1;3;1;50;05;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;850,256197950026
4707327;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;956,038014524602
4707328;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;1409,55685060049
4707328;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;1409,55685060049
4707329;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;1029,0335326778
4707329;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;1029,0335326778
4707330;1;1;1;50;05;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;09; ;1;05;1039,34803775718
4707330;1;2;1;50;05;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;09; ;1;05;1039,34803775718
4707330;1;3;1;50;05;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;1039,34803775718
4707330;1;4;1;50;05;1; ; ;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;1039,34803775718
4707332;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;1191,75147554252
4707332;1;2;1;50;05;1; ; ;2;4; ;1; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;1191,75147554252
4707333;1;1;1;50;05;1; ; ;1;6;HACER DEPORTE;2;2;2;2;2; ; ; ; ; ; ; ;09; ;1;05;956,038014524602
4707334;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;1029,0335326778
4707334;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;1029,0335326778
4707335;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;1191,75147554252
4707335;1;2;1;50;05;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;09; ;1;05;1191,75147554252
4707336;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;1029,0335326778
4707336;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;1029,0335326778
4707337;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;1029,0335326778
4707337;1;2;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;1029,0335326778
4707338;1;1;1;50;05;1; ; ;1;6;CAMINAR;2;2;2;2;2; ; ; ; ; ; ; ;09; ;1;05;1047,46046896315
4707338;1;2;1;50;05;1; ; ;2;4; ;1; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;1047,46046896315
4707339;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;1081,92444096509
4707340;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;955,361202721724
4707340;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;955,361202721724
4707341;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;1102,70586263388
4707341;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;1102,70586263388
4707342;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;923,928527906104
4707342;1;2;1;50;05;1;1; ;2;2; ;2;2;2;1; ; ; ; ; ; ; ;1;09; ;1;05;923,928527906104
4707342;1;3;1;50;05;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;923,928527906104
4707343;1;1;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;1000,13967980304
4707343;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;1000,13967980304
4707343;1;3;1;50;05;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;09; ;1;05;1000,13967980304
4707344;1;1;1;50;05;1;2; ;1;2; ;2;2;2;1; ; ; ; ; ; ; ;1;09; ;1;05;1081,92444096509
4707345;1;1;1;50;05;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;09; ;1;05;956,038014524602
4707346;1;1;1;50;05;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;09; ;1;05;1047,46046896315
4707346;1;2;1;50;05;1; ; ;2;6;DORMIR;2;2;2;2;2; ; ; ; ; ; ; ;09; ;1;05;1047,46046896315
4707347;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;957,673495040784
4707347;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;957,673495040784
4707347;1;3;1;50;05;1; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;09; ;1;05;957,673495040784
4707347;1;4;1;50;05;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;09; ;1;05;957,673495040784
4707348;1;1;1;50;05;1; ; ;1;6;DESCANSAR POR ENFERMEDAD;2;1; ; ; ; ; ; ; ; ; ; ;09; ;1;05;1047,46046896315
4707348;1;2;1;50;05;1; ; ;2;6;DESCANSANDO;2;2;2;2;2; ; ; ; ; ; ; ;09; ;1;05;1047,46046896315
4707349;1;1;1;50;05;1; ; ;1;6;CAMINAR;2;2;2;2;2; ; ; ; ; ; ; ;09; ;1;05;1081,92444096509
4707350;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;979,358258134252
4707350;1;2;1;50;05;1; ; ;2;4; ;1; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;979,358258134252
4707351;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;1081,92444096509
4707352;1;1;1;50;05;1; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;09; ;1;05;948,035801764287
4707353;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;1120,45598711635
4707353;1;2;1;50;05;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;09; ;1;05;1120,45598711635
4707353;1;3;1;50;05;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;1120,45598711635
4707354;1;1;1;50;05;1; ; ;1;6;TOMAR LICOR;2;2;2;2;2; ; ; ; ; ; ; ;09; ;1;05;1152,56547373485
4707355;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;973,539253238805
4707355;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;973,539253238805
4707355;1;3;1;50;05;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;973,539253238805
4707355;1;5;1;50;05;1; ; ;5;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;973,539253238805
4707356;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;1081,92444096509
4707357;1;1;1;50;05;1;6; ;1;4; ;2;2;2;1; ; ; ; ; ; ; ;1;09; ;1;05;1007,84526376328
4707357;1;2;1;50;05;1;2; ;2;4; ;2;2;2;1; ; ; ; ; ; ; ;1;09; ;1;05;1007,84526376328
4707357;1;3;1;50;05;1; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;09; ;1;05;1007,84526376328
4707358;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;887,032462271029
4707358;1;2;1;50;05;1; ; ;2;4; ;1; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;887,032462271029
4707358;1;3;1;50;05;1; ; ;3;6;INCAPACITADA;2;1; ; ; ; ; ; ; ; ; ; ;09; ;1;05;887,032462271029
4707358;1;4;1;50;05;1; ; ;4;6;VER TELEVISION;2;2;2;2;1;11; ; ; ; ; ; ;09;2;1;05;887,032462271029
4707359;1;1;1;50;05;1; ; ;1;6;VER TELEVISION Y CAMINAR;2;2;2;2;2; ; ; ; ; ; ; ;09; ;1;05;1152,56547373485
4707360;1;1;1;50;05;1;2; ;1;6;VER TELEVISION;2;2;2;1; ; ; ; ; ; ; ;1;09; ;1;05;1246,83890773578
4707360;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;1246,83890773578
4707361;1;1;1;50;05;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;09; ;1;05;1065,86504910203
4707361;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;1065,86504910203
4707362;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;1047,46046896315
4707362;1;2;1;50;05;1; ; ;2;4; ;2;2;2;2;1;9; ; ; ; ; ; ;09;2;1;05;1047,46046896315
4707363;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;1133,73169020376
4707363;1;2;1;50;05;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;09; ;1;05;1133,73169020376
4707363;1;3;1;50;05;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;09; ;1;05;1133,73169020376
4707364;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;955,361202721724
4707364;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;955,361202721724
4707365;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;1152,56547373485
4707366;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;1136,9473239475
4707366;1;2;1;50;05;1; ; ;2;4; ;2;2;2;2;1;10; ; ; ; ; ; ;09;2;1;05;1136,9473239475
4707367;1;1;1;50;05;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;09; ;1;05;697,714092842079
4707367;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;697,714092842079
4707367;1;3;1;50;05;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;697,714092842079
4707367;1;4;1;50;05;1; ; ;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;697,714092842079
4707367;1;5;1;50;05;1; ; ;5;3; ;2;2;2;2;2; ; ; ; ; ; ; ;09; ;1;05;697,714092842079
4707368;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;1146,585017224
4707368;1;2;1;50;05;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;09; ;1;05;1146,585017224
4707368;1;3;1;50;05;1;2; ;3;3; ;2;2;2;1; ; ; ; ; ; ; ;1;09; ;1;05;1146,585017224
4707368;1;4;1;50;05;1; ; ;4;3; ;2;2;2;2;2; ; ; ; ; ; ; ;09; ;1;05;1146,585017224
4707368;1;5;1;50;05;1; ; ;5;3; ;2;2;2;2;2; ; ; ; ; ; ; ;09; ;1;05;1146,585017224
4707369;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;1246,83890773578
4707369;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;1246,83890773578
4707370;1;1;1;50;05;1; ; ;1;6;TRATAMIENTOS MEDICOS;2;2;2;2;1;11; ; ; ; ; ; ;09;2;1;05;903,147106237314
4707370;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;903,147106237314
4707371;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;956,038014524602
4707372;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;956,038014524602
4707373;1;1;1;50;05;1; ; ;1;6;VER TELEVISION;2;2;2;2;2; ; ; ; ; ; ; ;09; ;1;05;1047,46046896315
4707373;1;2;1;50;05;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;09; ;1;05;1047,46046896315
4707374;1;1;1;50;05;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;09; ;1;05;874,253253362554
4707374;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;874,253253362554
4707374;1;3;1;50;05;1;2; ;3;3; ;2;2;2;1; ; ; ; ; ; ; ;1;09; ;1;05;874,253253362554
4707375;1;1;1;50;05;1; ; ;1;4; ;2;2;2;2;1;8; ;2; ;1;8;1;09;1;1;05;850,256197950026
4707375;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;09; ;1;05;850,256197950026
