DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P7430,P7440,P7450,P7450S1,P7460,P7470,P7472,P7472S1,P7454,P7456,P7458S1,P7458,P7452,INI,DPTO,AREA,fex_c_2011
926344,1,1,1,80,1,1,4,2,,2,,2,,,,,9,2,1,5,5,72.034.030.903.603
926347,1,1,1,80,1,1,4,0,,2,,2,,,3,,8,1,1,5,5,180.312.616.784.067
926347,1,2,1,80,1,1,4,0,,2,,2,,,,,8,2,1,5,5,180.312.616.784.067
926348,1,2,1,80,1,2,,,,2,,2,,2,,.,,,1,5,5,124.592.297.530.327
926348,1,3,1,80,1,2,,,,2,,2,,2,,.,,,1,5,5,124.592.297.530.327
926348,1,4,1,80,1,1,1,8,SE ABURRIO,2,,2,,,,,2,2,1,5,5,124.592.297.530.327
926349,1,1,1,80,1,1,4,4,,3,,2,,,,QUIERE DESCANSAR,12,2,1,5,5,632.631.109.197.662
926349,1,3,1,80,1,2,,,,2,,2,,2,,.,,,1,5,5,632.631.109.197.662
926350,1,2,1,80,1,2,,,,2,,2,,2,,.,,,1,5,5,660.481.895.170.524
926352,1,3,1,80,1,2,,,,2,,2,,2,,.,,,1,5,5,632.163.817.837.834
926352,1,4,1,80,1,2,,,,2,,2,,2,,.,,,1,5,5,632.163.817.837.834
926352,1,8,1,80,1,2,,,,2,,2,,2,,.,,,1,5,5,632.163.817.837.834
926353,1,2,1,80,1,1,4,8,SE CASO,2,,2,,,,,9,2,1,5,5,805.217.814.797.926
926353,1,3,1,80,1,2,,,,2,,2,,2,,.,,,1,5,5,805.217.814.797.926
926353,1,4,1,80,1,2,,,,2,,2,,2,,.,,,1,5,5,805.217.814.797.926
926354,1,1,1,80,1,1,4,4,,3,,2,,,,,10,2,1,5,5,821.330.616.363.338
926354,1,3,1,80,1,1,3,0,,2,,2,,,,,9,2,1,5,5,821.330.616.363.338
926354,1,4,1,80,1,2,,,,2,,2,,2,,.,,,1,5,5,821.330.616.363.338
926355,1,3,1,80,1,2,,,,2,,2,,2,,.,,,1,5,5,699.498.963.984.711
926355,1,4,1,80,1,1,3,4,,3,,2,,,,,10,2,1,5,5,699.498.963.984.711
926356,1,1,1,80,1,1,2,0,,2,,2,,,,,9,2,1,5,5,876.831.119.711.741
926357,1,3,1,80,1,2,,,,2,,2,,2,,.,,,1,5,5,720.702.916.689.734
926357,1,4,1,80,1,2,,,,2,,2,,2,,.,,,1,5,5,720.702.916.689.734
926358,1,2,1,80,1,2,,,,2,,2,,1,2,POR EMBARAZO,12,,1,5,5,683.878.737.140.204
926359,1,1,1,80,1,1,4,4,,3,,2,,,,,10,2,1,5,5,106.249.066.951.918
926359,1,2,1,80,1,2,,,,2,,2,,2,,.,,,1,5,5,106.249.066.951.918
926359,1,5,1,80,1,2,,,,2,,2,,2,,.,,,1,5,5,106.249.066.951.918
926359,1,9,1,80,1,2,,,,2,,2,,2,,.,,,1,5,5,106.249.066.951.918
926361,1,1,1,80,1,1,4,4,,3,,2,,,,,10,2,1,5,5,769.223.534.261.929
926361,1,2,1,80,1,2,,,,2,,2,,2,,.,,,1,5,5,769.223.534.261.929
926362,1,2,1,80,1,2,,,,2,,2,,2,,.,,,1,5,5,684.708.636.153.737
926363,1,2,1,80,1,2,,,,2,,2,,2,,.,,,1,5,5,836.091.389.048.978
926364,1,3,1,80,1,2,,,,2,,2,,2,,.,,,1,5,5,653.835.061.902.686
926365,1,1,1,80,1,2,,,,2,,2,,2,,.,,,1,5,5,699.498.963.984.711
926365,1,4,1,80,1,1,4,8,QUEDO INVALIDO,2,,2,,,,,4,2,1,5,5,699.498.963.984.711
926367,1,2,1,80,1,1,4,4,,3,,2,,,,,10,2,1,5,5,808.079.064.019.732
926369,1,1,1,80,1,1,3,6,,2,,2,,,,,8,2,1,5,5,909.039.816.201.706
926374,1,3,1,80,1,2,,,,2,,2,,2,,.,,,1,5,5,614.154.166.862.986
926375,1,1,1,80,1,1,4,4,,3,,2,,,,,10,2,1,5,5,808.079.064.019.732
926375,1,2,1,80,1,1,4,8,SE CASO,2,,2,,,,,9,2,1,5,5,808.079.064.019.732
926376,1,3,1,80,1,1,1,1,,2,,2,,,,,2,2,1,5,5,386.208.917.996.052
926378,1,2,1,80,1,2,,,,2,,2,,2,,.,,,1,5,5,958.489.302.329.764
926378,1,3,1,80,1,1,3,4,,3,,2,,,,,11,2,1,5,5,958.489.302.329.764
926383,1,1,1,80,1,1,4,4,,3,,2,,,,,11,2,1,5,5,72.034.030.903.603
926384,1,2,1,80,1,1,1,7,,2,,2,,,1,,2,1,1,5,5,517.242.636.838.419
926384,1,3,1,80,1,2,,,,2,,2,,2,,.,,,1,5,5,517.242.636.838.419
926384,1,4,1,80,1,2,,,,2,,2,,2,,.,,,1,5,5,517.242.636.838.419
926385,1,3,1,80,1,1,2,1,,2,,2,,,,,2,2,1,5,5,751.576.490.940.786
926389,1,2,1,80,1,2,,,,2,,2,,2,,.,,,1,5,5,684.708.636.153.737
926392,1,1,1,80,1,1,4,3,,2,,2,,,,,4,2,1,5,5,967.676.164.847.783
926393,1,2,1,80,1,1,3,5,,2,,2,,,,,8,2,1,5,5,853.001.239.734.702
926393,1,3,1,80,1,2,,,,2,,2,,2,,.,,,1,5,5,853.001.239.734.702
926395,1,1,1,80,1,1,4,4,,3,,2,,,,,10,2,1,5,5,990.697.998.819.728
926395,1,2,1,80,1,1,4,2,,2,,2,,,,,9,2,1,5,5,990.697.998.819.728
926397,1,1,1,80,1,1,3,4,,3,,2,,,,,11,2,1,5,5,735.130.636.867.004
