DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;RAMA2D_D_R4;OFICIO1;OFICIO2;DSI;DSCY;MES;RAMA4D_D_R4;DPTO;fex_c_2011
5130007;1;1;1;70; ;1;21;48;1; ;2;21;2; ;7;2;1; ; ;1; ; ; ; ; ; ; ; ;2; ;1200000;1;1;74;19;19;1;2;02;7490;68;2838,14507072313
5130033;1;2;1;70; ;1;16;48;1; ;2;104;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;2; ;47;03;33;1;2;02;4711;68;4041,5413173422
5130033;1;3;1;70; ;1;2;48;1; ;2;5;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;56;53;53;1;1;02;5611;68;4041,5413173422
5130035;1;3;1;70; ;1;2;48;1; ;2;4;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;900000;877803;2; ;41;95;95;1;1;02;4111;68;4564,23576782409
5130040;1;3;1;70; ;1;18;48;1; ;2;24;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;980000;2; ;86;39;39;1;2;02;8621;68;3850,81965780671
5130050;1;2;1;70; ;1;5;48;1; ;2;5;4; ;1;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;2500000;2; ;47;02;41;1;1;02;4771;68;2132,31749066021
5130127;1;1;1;70;05;1;28;48;4; ;2;28;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;88;55;59;1;2;02;8890;05;1086,49563989243
5130138;1;2;1;70;05;1;99;48;4; ;2;99;4; ;9;2;1; ; ; ; ; ; ; ; ;1;ESTA HACIENDO TRAMITES PARA LA PENSION; ;2; ;4000000;2; ;94;21;21;1;2;02;9499;05;748,616543714039
5130138;1;3;1;70;05;1;2;48;1; ;2;4;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;1;480000;1500000;2; ;18;02;21;1;1;02;1811;05;748,616543714039
5130141;1;2;1;70;05;1;2;48;1; ;2;58;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;2000000;2; ;47;08;08;1;1;02;4759;05;1143,23762773203
5130157;2;1;2;70;05;1;2;16;1; ;2;3;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;1;800000;400000;2; ;56;53;53;1;1;02;5611;05;1000,56168141519
5130160;3;1;3;70;05;1;4;45;1; ;2;52;1; ;7;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;2000000;2; ;62;11;11;1;1;02;6201;05;2421,56236497102
5130161;1;1;1;70;05;1;3;60;1; ;2;3;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;1;877803;877803;2; ;47;39;39;1;1;02;4759;05;1417,92468083032
5130162;1;1;1;70;05;1;2;48;1; ;2;4;1; ;9;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;79;38;38;1;1;02;7911;05;1195,61988862437
5130167;1;4;1;70;05;1;8;48;1; ;2;8;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;56;59;45;1;1;02;5619;05;739,616879086827
5130176;1;1;1;70;05;1;8;48;4; ;2;8;1; ;2;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;56;98;39;1;1;02;5611;05;2266,63550709102
5130178;1;3;1;70;05;1;12;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;870000; ; ; ;03; ;1;1;02;.;05;1081,76397247032
5130207;2;1;2;70;05;1;52;48;1; ;2;52;4; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;2; ;85;02;02;1;2;02;8544;05;712,204673662527
5130211;1;2;1;70;05;1;24;24;1; ;2;300;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;88;59;54;1;2;02;8890;05;1464,23704223089
5130219;1;4;1;70;05;1;104;48;1; ;2;30;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;56;45;53;1;2;02;5630;05;887,534245078288
5130220;1;1;1;70;05;1;2;48;1; ;2;6;4; ;9;2;1; ; ;1; ; ; ; ; ; ; ; ;2; ;1500000;1;1;85;13;13;1;1;02;8551;05;1133,31775354551
5130226;1;1;1;70;05;1;2;48;4; ;2;2;1; ;3;2;2; ; ; ; ; ; ; ; ; ; ;1;1;800000;2000000;2; ;85;33;18;1;1;02;8552;05;989,668384759151
5130228;1;1;1;70;05;1;3;48;1; ;2;3;1; ;9;2;1; ; ;1; ; ; ; ; ; ; ; ;1;877803;877803;1;2;13;97;97;1;1;02;1312;05;1133,31775354551
5130230;1;1;1;70;05;1;2;48;4; ;2;2;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;1300000;1300000;2; ;49;98;98;1;1;02;4921;05;1336,72238977519
5130237;1;2;1;70;05;1;12;48;1; ;2;12;1; ;8;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;87;33;33;1;1;02;8730;05;939,088026153479
5130244;1;2;1;70;05;1;4;48;1; ;2;99;1; ;7;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;47;45;45;1;1;02;4772;05;841,221883677717
5130246;1;4;1;70;05;1;4;48;1; ;2;5;1; ;4;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;55;39;39;1;1;02;5511;05;980,158967879429
5130249;1;2;1;70;05;1;4;24;1; ;2;4;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;870000;2; ;47;45;45;1;1;02;4773;05;551,083343003041
5130249;1;4;1;70;05;1;104;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;870000; ; ; ;57; ;1;2;02;.;05;551,083343003041
5130255;1;3;1;70;05;1;16;24;1; ;2;20;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1100000;2; ;45;03;03;1;2;02;4541;05;1071,33434603129
5130259;1;1;1;70;05;1;2;48;1; ;2;2;1; ;6;2;3; ; ; ; ; ; ; ; ; ; ;1;1;950000;1300000;2; ;41;95;95;1;1;02;4111;05;1559,07430550647
5130259;1;2;1;70;05;1;24;48;1; ;2;102;1; ;4;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;56;45;53;1;2;02;5613;05;1559,07430550647
