DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S2;P5210S20;P5210S21;P5210S22;P5210S24;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5220;P5220S1;P6006;P6007;P6007S1;P6008;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;clase;MES;DPTO;ORDEN;AREA;fex_c_2011
2531350;1;3;1;1;1;1;1;1;3;1; ; ;200000000;300000; ;1;2;1;2;2;2;2;2;1;1;2;2;1;2;2;2;1;1;1;2;2;2; ;2;2; ;1;1;2;1;4;1;1;1;1;1;4;7;2;01;1;10;73;1;73;186,571619171641
2531351;1;4;3;1;1;1;1;1;3;1; ; ;120000000;700000; ;1;1;1;1;1;1;1;2;2;1;2;2;1;2;1;1;1;1;1;1;1;1;4;2;2; ;4;1;2;1;5;1;1;1;1;1;3;3;1;01;1;10;73;1;73;496,638043851202
2531353;1;3;2;1;1;1;1;1;3;3; ; ; ; ;600000;1;1;1;1;2;1;2;2;2;1;2;2;1;2;1;1;1;1;1;2;2;1;2;2;2; ;4;1;2;1;4;1;1;1;1;1;3;3;1;01;1;10;73;1;73;357,148598273643
2531354;1;4;2;1;1;1;1;1;4;2; ;800000;140000000;800000; ;1;1;1;2;1;1;2;2;2;1;2;2;1;2;1;1;1;1;1;1;2;1;3;2;2; ;3;1;2;1;5;1;2;1;1;1;4;7;1;01;1;10;73;1;73;198,684779559524
2531355;1;2;1;1;2;1;1;5;4;3; ; ; ; ;180000;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;1;1;2;2; ;3;1;4;1;4;1;2;1;1;1;3;7;2;01;1;10;73;1;73;311,613848552205
2531356;1;1;1;1;2;1;1;6; ;3; ; ; ; ;200000;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2; ;2;1;4;1;4;1;2;1;1;1;3;7;2;01;1;10;73;1;73;192,616133253054
2531358;1;1;1;1;2;1;1;6; ;3; ; ; ; ;180000;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2; ;2;2; ;1;1;3;1;4;1;2;1;1;1;3;7;2;01;1;10;73;1;73;186,234830759273
2531359;1;3;1;1;1;1;1;1;3;2; ;535000;90000000;600000; ;1;1;1;1;1;1;2;2;2;1;2;2;1;2;1;1;1;1;1;1;2;1;2;2;2; ;2;1;2;1;4;1;1;1;1;1;3;3;1;01;1;10;73;1;73;385,232266506108
2531361;1;2;1;1;1;1;1;1;3;3; ; ; ; ;650000;2;1;1;1;1;1;1;2;1;1;2;2;1;2;2;1;1;1;1;1;1;1;2;2;2; ;2;1;2;1;4;1;1;1;1;1;3;3;1;01;1;10;73;1;73;385,232266506108
2531362;1;3;1;1;1;1;1;1;3;3; ; ; ; ;320000;1;2;1;1;1;1;2;2;2;2;2;2;2;2;2;1;1;1;1;2;2;1;1;2;2; ;1;1;2;1;2;1;1;1;1;1;4;7;1;01;1;10;73;1;73;186,234830759273
2531363;1;4;3;1;1;1;1;1;4;1; ; ;130000000;600000; ;1;2;1;1;1;1;2;2;2;1;2;2;2;2;2;1;1;1;1;1;1;1;1;2;2; ;1;1;2;1;4;1;1;1;1;1;4;7;1;01;1;10;73;1;73;186,234830759273
2531364;1;1;1;1;1;1;1;1;4;3; ; ; ; ;150000;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2; ;2;2; ;3;1;4;1;2;1;2;1;1;1;2;6;1;01;1;10;73;1;73;289,85328124407
2531367;1;3;2;1;1;1;1;1;3;1; ; ;85000000;600000; ;1;1;1;1;1;1;1;2;2;1;2;2;2;2;1;1;1;1;1;1;1;1;3;2;2; ;4;1;2;1;4;1;1;1;1;1;3;3;1;01;1;10;73;1;73;290,863133622164
2531368;1;4;2;1;1;1;1;1;3;1; ; ;100000000;600000; ;1;1;1;1;1;1;1;2;2;1;1;2;2;2;1;1;1;1;1;1;1;1;2;2;2; ;3;1;2;1;4;1;1;1;1;1;3;3;1;01;1;10;73;1;73;485,174328063
2531369;1;3;1;1;1;1;1;1;3;1; ; ;70000000;450000; ;2;2;1;1;1;1;2;2;2;2;2;2;1;2;2;2;1;1;1;2;2;1;1;2;2; ;1;1;2;1;2;1;1;1;1;1;4;3;2;01;1;10;73;1;73;264,566995607555
