DIRECTORIO;SECUENCIA_P;ORDEN;REGIS;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P9460;CLASE;DSI;OFICIO1;OFICIO2;RAMA4D_D;RAMA2D_D;DPTO;AREA;fex_c_2011
636297;1;3;70;3;48;1;;2;144;1;;3;1;;;1;;;;;;;;;2;;2;1;1;33;32;7250;72;5;5;146.676.123.430.847
636300;1;4;70;4;48;1;;2;4;1;;9;4;;;;;;;;;;1;;2;;2;1;1;87;97;5211;52;5;5;729.184.250.540.375
636308;1;3;70;48;48;1;;2;48;1;;5;1;;;;;;;;;;1;;2;;2;1;1;85;75;1750;17;5;5;758.442.115.631.082
636313;1;1;70;12;48;1;;2;12;1;;4;4;;;;;;;;;;1;;2;;2;1;1;55;55;5223;52;5;5;687.623.996.834.989
636322;1;2;70;12;48;1;;2;12;3;;1;1;;;;;;;;;;1;;2;;2;1;1;55;54;9500;95;5;5;757.245.600.107.805
636338;1;3;70;2;48;1;;2;4;1;;9;4;;;;;;;;;;1;;2;;2;1;1;39;39;9111;91;5;5;766.145.342.875.076
636346;1;4;70;96;48;1;;2;96;1;;4;2;;;;;;;;;;1;;2;;2;1;1;45;45;5233;52;5;5;147.461.890.717.554
636353;1;4;70;20;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;1;1;37;;;;5;5;72.174.844.503.426
636362;1;1;70;240;48;1;;2;240;1;;5;1;;;;;;;;;;1;;2;;2;1;1;84;84;5020;50;5;5;859.457.908.752.507
636370;1;2;70;52;48;1;;2;100;1;;5;3;;;;;;;;;;1;;2;;2;1;1;37;79;1810;18;5;5;643.227.098.994.174
636379;1;1;70;4;48;1;;2;4;1;;6;1;;;;;;;;;;1;;1;700000;2;1;1;21;40;5211;52;5;5;914.340.290.158.731
636390;1;2;70;12;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;1;1;97;;;;5;5;135.263.952.124.069
636401;1;1;70;16;48;1;;2;40;2;;9;1;;;;;;;;;1;;ESTA EN ESPERA DE NOTIFICACION PARA PENSION;2;;2;1;1;13;13;8012;80;5;5;745.181.706.479.232
636401;1;4;70;8;48;1;;2;8;1;;2;1;;;;;;;;;;1;;2;;2;1;1;59;45;5233;52;5;5;745.181.706.479.232
636404;1;5;70;68;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;1;1;45;;;;5;5;677.831.031.034.007
636410;1;9;70;5;48;1;;2;144;1;;3;4;;;;;;;;;;1;;2;;2;1;1;95;58;7492;74;5;5;699.132.207.777.223
636413;1;2;70;18;48;1;;2;18;1;;3;1;;;;;;;;;;1;;2;;2;1;1;45;53;5521;55;5;5;762.189.677.780.443
636414;1;6;70;12;48;1;;2;12;1;;7;1;;;;;;;;;;1;;2;;2;1;1;45;45;1551;15;5;5;780.378.157.283.764
636419;1;1;70;12;48;1;;2;240;2;;9;1;;;;;1;;;;;;;2;;2;1;1;37;3;6421;64;5;5;738.989.821.813.366
636419;1;2;70;40;48;1;;2;96;4;;1;2;;;;;;;;;;1;;2;;2;1;1;53;54;9500;95;5;5;738.989.821.813.366
636422;1;1;70;192;48;4;;2;12;4;;1;2;;;;1;;;;;;;;2;;2;1;1;45;45;5239;52;5;5;80.890.156.117.883
636429;1;2;70;34;24;1;;2;12;4;;2;1;;;;;;;;;;1;;2;;2;1;1;79;79;5271;52;5;5;720.408.329.565.306
636429;1;3;70;16;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;1;1;79;;;;5;5;720.408.329.565.306
636439;1;7;70;10;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;1;1;37;;;;5;5;894.136.170.975.908
636445;1;3;70;12;48;1;;2;16;1;;9;1;;;;;;;;;;1;;2;;2;1;1;39;45;1810;18;5;5;788.873.337.491.639
636449;1;2;70;44;48;1;;2;90;1;;4;1;;;;;;;;;;1;;2;;2;1;1;39;39;5235;52;5;5;689.063.996.035.941
636452;1;1;70;8;48;1;;2;8;4;;7;8;;;;;;;;;;1;;2;;2;1;1;98;98;6021;60;5;5;792.764.505.020.008
636454;1;4;70;48;48;1;;2;96;1;;7;1;;;;;;;;;;1;;2;;2;1;1;93;95;4521;45;5;5;964.195.843.944.388
636469;1;1;70;2;24;3;;2;156;3;;1;1;;;;;;;;;;1;;2;;2;1;1;54;54;9500;95;5;5;660.162.991.918.506
636474;1;1;70;6;48;1;;2;6;1;;9;8;;;;;;;;;;1;;1;30000;2;1;1;98;45;5141;51;5;5;730.836.851.401.569
636474;1;2;70;24;48;1;;2;24;1;;9;8;;;;;;;;;;1;;2;;2;1;1;97;97;1810;18;5;5;730.836.851.401.569
636477;1;1;70;8;48;1;;2;4;1;;5;1;;;;;;;;;;1;;2;;2;1;1;45;45;2424;24;5;5;62.478.762.134.152
636477;1;4;70;4;48;1;;2;4;1;;5;8;;;;;;;;;;1;;2;;2;1;1;45;45;2424;24;5;5;62.478.762.134.152
636486;1;1;70;2;48;1;;2;2;4;;2;1;;;;;;;;;;1;;1;400000;2;1;1;95;95;4521;45;5;5;847.138.630.846.378
636486;1;3;70;2;60;4;;2;2;4;;1;1;;;;;;;;;;1;;2;;2;1;1;95;95;4521;45;5;5;847.138.630.846.378
636489;1;1;70;3;60;4;;2;3;4;;1;1;;;;;;;;;;1;;1;800000;2;1;1;95;95;4521;45;5;5;689.912.153.731.464
636491;2;3;70;4;48;1;;2;8;2;;9;6;;;;;;;;;;1;;1;600000;2;1;1;58;58;7522;75;5;5;668.328.411.813.427
636492;1;1;70;3;50;1;;2;3;4;;1;6;;;;;;;;;;1;;1;250000;2;1;1;81;81;3611;36;5;5;76.663.674.803.977
636496;1;3;70;2;30;1;;2;24;1;;2;2;;;;;;;;;;1;;2;;2;1;1;38;53;5521;55;5;5;70.910.409.335.066
636499;1;3;70;5;54;1;;2;8;4;;2;3;;;;;;;;;;1;;2;;2;1;1;95;97;6041;60;5;5;65.773.213.139.787
636502;1;3;70;12;48;1;;2;16;1;;9;1;;;;;;;;;;1;;2;;2;1;1;33;33;8511;85;5;5;872.341.554.955.951
636508;1;4;70;52;48;4;;2;52;1;;5;1;;;;;;;;;;1;;2;;2;1;1;79;79;1810;18;5;5;682.027.397.647.866
636510;1;3;70;3;48;4;;2;3;3;;1;1;;;;;;;;;;1;;2;;2;1;1;54;54;9500;95;5;5;481.156.484.658.679
636510;1;6;70;52;48;1;;2;52;4;;3;8;;;;;;;;;;1;;2;;2;1;1;79;79;1810;18;5;5;481.156.484.658.679
636513;1;4;70;6;48;1;;2;6;4;;4;1;;;;;;;;;;1;;2;;2;1;1;79;79;1810;18;5;5;816.647.242.606.681
636518;1;1;70;16;48;1;;2;16;1;;9;8;;;;;;;;;;1;;2;;2;1;1;19;19;1572;15;5;5;717.244.458.290.448
636523;1;2;70;12;48;1;;2;20;2;;9;1;;;;;;;;;;1;;2;;2;1;1;58;58;7524;75;5;5;696.796.569.991.812
636533;1;7;70;12;54;1;;2;52;1;;6;1;;;;;;;;;;1;;1;300000;2;1;1;95;97;1561;15;5;5;681.012.980.344.554
636537;1;3;70;3;48;1;;2;7;1;;3;1;;;;;;;;;;1;;2;;2;1;1;79;79;1750;17;5;5;769.167.380.938.471
636540;1;6;70;8;48;1;;2;8;1;;4;2;;;;;;;;;;1;;2;;2;1;1;45;45;5233;52;5;5;645.795.919.701.972
636541;1;2;70;52;48;1;;2;19;1;;4;7;;;;;;;;;;1;;2;;2;1;1;39;37;7492;74;5;5;692.927.717.639.348
636542;1;6;70;2;48;1;;2;4;1;;9;4;;;;;;;;;;1;;2;;2;1;1;33;33;6421;64;5;5;602.759.037.586.894
636552;1;2;70;52;48;1;;2;13;4;;1;1;;;;;;;;;;1;;2;;2;1;1;55;57;9302;93;5;5;493.565.543.261.463
636552;1;5;70;2;48;1;;2;2;1;;9;1;;;;;;;;;;1;;1;140000;2;1;1;83;83;2729;27;5;5;493.565.543.261.463
636556;1;2;70;52;48;1;;2;52;1;;4;6;;;;;;;;;;1;;2;;2;1;1;45;45;5233;52;5;5;743.849.355.838.023
636558;1;2;70;104;48;1;;2;270;1;;3;2;;;;;;;;;;1;;2;;2;1;1;55;39;6599;65;5;5;685.991.002.983.271
636567;1;2;70;52;48;1;;2;52;4;;2;1;;;;;;;;;;1;;2;;2;1;1;77;77;1551;15;5;5;743.849.355.838.023
636585;1;3;70;4;48;1;;2;28;1;;3;1;;;;;;;;;;1;;2;;2;1;1;45;97;2521;25;5;5;663.635.192.089.216
636603;1;2;70;9;24;3;;2;52;3;;1;1;;;;;;;;;;1;;2;;2;1;1;54;54;9500;95;5;5;76.663.674.803.977
636630;1;3;70;13;48;1;;2;13;1;;6;4;;;;;;;;;;1;;2;;2;1;1;58;37;6320;63;8;8;497.854.559.383.166
636635;1;4;70;26;48;1;;2;26;1;;6;8;;;;;;;;;;1;;2;;2;1;1;55;55;7020;70;8;8;579.687.929.229.837
636664;1;9;70;30;48;3;;2;30;3;;1;1;;;;;;;;;;1;;2;;2;1;1;54;54;9500;95;8;8;49.958.993.681.997
636673;1;2;70;52;48;2;;2;52;2;;9;2;;;;;;;;;;1;;2;;2;1;1;59;59;8511;85;8;8;467.795.970.961.557
636684;1;3;70;3;48;1;;2;20;1;;4;1;;;1;;;;;;;;;2;;2;1;1;3;3;5231;52;8;8;458.033.557.632.523
636692;1;3;70;14;48;1;;2;15;1;;4;1;;;;;;;;;;1;;2;;2;1;1;45;45;5233;52;8;8;500.643.760.317.344
636699;1;1;70;36;48;1;;2;36;1;;9;5;;;;;;;;;;1;;2;;2;1;1;96;96;2421;24;8;8;44.865.307.051.976
636716;1;2;70;8;48;1;;2;8;1;;9;1;;;1;;;;;;;;;2;;2;1;1;85;85;6421;64;8;8;527.275.510.205.934
636738;1;1;70;1;48;1;;2;1;1;;9;1;;;1;;;;;;;;;1;800000;2;1;1;70;70;4100;41;8;8;527.171.383.756.923
636738;1;2;70;6;48;1;;2;8;1;;7;1;;;1;;;;;;;;;2;;2;1;1;2;39;8532;85;8;8;527.171.383.756.923
636741;1;3;70;15;60;1;;2;16;1;;3;2;;;;;;;;;;1;;2;;2;1;1;45;40;5239;52;8;8;458.033.557.632.523
636745;1;7;70;12;60;1;;1;;;.;;;.;.;;;;;;;;;.;;;;1;1;59;;;;8;8;551.123.309.666.993
636766;1;2;70;15;48;1;;2;300;2;;9;1;;;1;;;;;;;;;2;;2;1;1;54;32;7512;75;8;8;547.728.183.728.413
636771;1;4;70;15;48;1;;2;16;1;;4;1;;;;;;;;;;1;;2;;2;1;1;97;97;5231;52;8;8;470.145.313.239.211
636776;2;1;70;8;48;3;;2;9;3;;1;1;;;;;;;;;;1;;2;;2;1;1;54;54;9500;95;8;8;565.815.085.438.758
636776;2;2;70;9;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;1;1;45;;;;8;8;565.815.085.438.758
636789;1;1;70;2;30;3;;2;260;3;;1;4;;;;;;;;;;1;;2;;2;1;1;54;54;9500;95;8;8;504.890.398.085.131
636801;1;2;70;4;30;1;;2;52;1;;6;2;;;;;;;;;;1;;2;;2;1;1;33;33;3512;35;8;8;539.022.010.446.137
636820;1;2;70;20;40;1;;1;;;.;;;.;.;;;;;;;;;.;;;;1;1;55;;;;8;8;492.100.732.795.003
636824;1;2;70;52;40;1;;2;52;1;;3;2;;;;;;;;;;1;;2;;2;1;1;54;54;5521;55;8;8;553.830.127.615.142
636824;1;6;70;4;48;4;;1;;;.;;;.;.;;;;;;;;;.;;;;1;1;99;;;;8;8;553.830.127.615.142
636829;1;2;70;4;48;1;;2;160;1;;6;7;;;;;;;;;;1;;2;;2;1;1;16;79;1810;18;8;8;498.911.886.302.596
636847;1;3;70;40;48;1;;2;48;1;;7;8;;;;;;;;;;1;;2;;2;1;1;58;58;7492;74;8;8;383.234.708.743.334
636853;1;3;70;16;48;1;;2;16;4;;4;4;;;;;;;;;;1;;2;;2;1;1;33;17;9214;92;8;8;470.545.280.583.633
636871;1;2;70;20;48;1;;2;52;1;;7;2;;;;;;;;;;1;;2;;2;1;1;45;45;1522;15;8;8;523.423.421.894.967
636874;1;5;70;2;48;1;;2;2;1;;3;2;;;;;;;;;;1;;2;;2;1;1;45;39;5231;52;8;8;57.094.820.800.112
636910;1;1;70;12;40;1;;1;;;.;;;.;.;;;;;;;;;.;;;;1;1;13;;;;8;8;511.897.133.615.147
636917;1;2;70;4;48;1;;2;12;1;;7;1;;;;;;;;;;1;;2;;2;1;1;79;79;1810;18;8;8;409.003.273.851.507
636924;1;5;70;2;48;1;;2;12;3;;1;1;;;;;;;;;;1;;2;;2;1;1;59;54;9500;95;8;8;5.358.775.570.392
636943;1;3;70;16;48;4;;1;;;.;;;.;.;;;;;;;;;.;;;;1;1;45;;;;8;8;54.980.760.547.164
636957;1;2;70;16;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;1;1;37;;;;8;8;478.590.357.604.014
636965;1;1;70;48;50;3;;2;48;3;;1;7;;;;;;;;;;1;;2;;2;1;1;54;54;9500;95;8;8;438.208.193.325.012
636998;1;3;70;4;48;1;;2;4;1;;5;1;;;;;;;;;;1;;2;;2;1;1;98;59;6021;60;8;8;528.174.859.556.363
637004;1;2;70;16;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;1;1;0;;;;8;8;400.072.044.366.851
637011;1;4;70;8;48;1;;2;2;1;;6;7;;;;;;;;;;1;;2;;2;1;1;58;58;5235;52;8;8;535.266.736.106.324
637024;1;3;70;4;48;2;;2;4;2;;9;7;;;;;;;;;;1;;2;;2;1;1;13;13;8043;80;8;8;543.818.615.408.611
637028;1;4;70;16;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;1;1;37;;;;8;8;492.429.894.763.957
637032;1;2;70;20;24;4;;2;16;4;;1;7;;;;;;;;;;1;;2;;2;1;1;98;98;6031;60;8;8;352.241.181.612.323
637038;1;2;70;16;48;1;;2;12;1;;5;2;;;;;;;;;;1;;2;;2;1;1;37;37;5243;52;8;8;433.378.820.377.984
637051;1;3;70;12;24;1;;2;12;1;;7;1;;;;;;;;;;1;;2;;2;1;1;19;19;8512;85;8;8;491.165.573.452.734
637055;1;1;70;20;24;1;;1;;;.;;;.;.;;;;;;;;;.;;;;1;1;45;;;;8;8;466.136.222.459.781
637153;1;2;70;12;48;1;;2;12;1;;3;2;;;;;;;;;;1;;2;;2;1;1;3;34;7499;74;8;8;470.303.857.563.188
637158;1;3;70;52;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;1;1;0;;;;8;8;480.058.958.414.364
637164;1;5;70;28;48;1;;2;28;1;;2;2;;;;;;;;;;1;;2;;2;1;1;21;21;6421;64;8;8;525.083.170.396.743
637266;1;1;70;6;48;3;;2;7;3;;1;1;;;;;;;;;;1;;2;;2;1;1;54;54;9500;95;8;8;479.646.597.650.771
637287;1;2;70;24;48;1;;2;24;4;;1;2;;;;;;;;;;1;;2;;2;1;1;7;7;8515;85;8;8;489.680.585.141.881
637296;1;4;70;24;48;1;;2;50;1;;8;2;;;;;;;;;;1;;2;;2;1;1;13;13;8041;80;8;8;408.063.270.267.241
637302;1;3;70;20;48;1;;2;40;1;;7;1;;;;1;;;;;;;;2;;2;1;1;13;13;8012;80;8;8;4.803.542.325.548
637398;1;6;70;144;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;1;1;5;;;;8;8;572.712.082.951.906
637405;1;2;70;12;48;1;;2;16;1;;4;1;;;;;;;;;;1;;2;;2;1;1;45;45;5225;52;8;8;43.503.856.887.976
637459;1;2;70;2;40;1;;2;4;1;;9;4;;;;;;;;;;1;;2;;2;1;1;3;3;7250;72;11;11;268.909.232.055.122
637468;1;2;70;2;48;4;;2;8;4;;1;1;;;;;;;;;;1;;2;;2;1;1;98;98;6031;60;11;11;146.625.683.177.697
637514;1;2;70;8;20;1;;1;;;.;;;.;.;;;;;;;;;.;;;;1;1;39;;;;11;11;20.354.015.947.767
637535;1;5;70;8;48;1;;2;8;1;;9;7;;;;;;;;;;1;;2;;2;1;1;98;98;6021;60;11;11;251.200.149.255.013
637539;1;2;70;6;48;1;;2;20;1;;4;1;;;;;;;;;;1;;2;;2;1;1;45;45;5231;52;11;11;222.941.062.176.409
637545;1;1;70;5;48;1;;2;5;1;;2;9;EL  PAGA  SALUD  COMO INDEPENDIENTE;;1;;;;;;;;;2;;2;1;1;98;98;6041;60;11;11;186.353.789.149.346
637559;1;1;70;32;48;1;;2;32;4;;1;1;;;;;;;;;;1;;2;;2;1;1;45;45;5239;52;11;11;225.139.081.244.411
637560;1;2;70;4;36;1;;1;;;.;;;.;.;;;;;;;;;.;;;;1;1;39;;;;11;11;162.491.484.044.714
637563;1;1;70;16;48;1;;2;16;1;;5;1;;;;;;;;;1;;CONSORCIO  PROPERAR;2;;2;1;1;79;79;1720;17;11;11;189.083.583.492.849
637613;1;2;70;2;48;1;;2;8;1;;9;4;;;;;;;;;;1;;2;;2;1;1;45;45;7491;74;11;11;16.905.791.476.807
637620;1;3;70;16;48;1;;2;16;2;;6;1;;;1;;;;;;;;;1;300000;2;1;1;2;21;5529;55;11;11;200.682.807.958.618
637668;1;2;70;12;40;1;;2;156;1;;2;1;;;;;;;;;;1;;2;;2;1;1;97;53;5529;55;11;11;62.600.827.933.871
637668;1;4;70;12;40;1;;2;12;4;;1;1;;;;;;;;;;1;;2;;2;1;1;16;94;3699;36;11;11;62.600.827.933.871
637705;1;2;70;4;48;3;;2;4;3;;1;9;CARTA DE DESPLAZADO;;;;;;;;;1;;1;20000;2;1;1;54;54;9500;95;11;11;133.291.218.177.426
637705;1;3;70;4;48;3;;2;4;6;;3;9;CARTA DE DESPLAZADOS;;;;;;;;;1;;2;;2;1;1;54;53;5521;55;11;11;133.291.218.177.426
637705;1;4;70;3;48;1;;2;4;6;;3;9;CARTA DE DESPLAZADOS;;;;;;;;;1;;2;;2;1;1;45;53;5521;55;11;11;133.291.218.177.426
637785;1;1;70;24;48;1;;2;24;1;;2;1;;;;;;;;;;1;;2;;2;1;1;95;95;3611;36;11;11;220.107.426.401.067
637789;1;3;70;12;40;1;;2;12;1;;9;8;;;;;;;;;;1;;2;;2;1;1;33;33;6512;65;11;11;190.560.363.308.659
637789;1;4;70;12;40;1;;2;12;1;;3;1;;;;;;;;;;1;;2;;2;1;1;94;45;5233;52;11;11;190.560.363.308.659
637868;1;5;70;8;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;1;1;33;;;;11;11;534.515.085.102.984
637948;1;2;70;4;48;4;;2;4;4;;9;1;;;1;;;;;;;;;2;;2;1;1;39;39;7512;75;11;11;481.450.496.945.933
637980;1;6;70;8;40;1;;2;8;1;;9;4;;;;;;;;;;1;;1;160000;2;1;1;16;92;2220;22;11;11;293.935.249.516.792
638082;1;1;70;2;72;4;;2;2;1;;2;8;;;;;;;;;;1;;1;516000;2;1;1;59;58;7020;70;11;11;174.924.825.493.029
638139;1;1;70;3;8;1;;2;4;1;;6;1;;;;;;;;;;1;;1;461800;2;1;1;95;95;4521;45;11;11;230.463.359.317.546
638154;1;1;70;8;48;1;;2;8;1;;4;8;;;;;;;;;;1;;2;;2;1;1;95;95;4521;45;11;11;217.552.986.617.634
638154;1;3;70;24;48;1;;2;12;1;;2;8;;;;;;;;;;1;;2;;2;1;1;79;97;1810;18;11;11;217.552.986.617.634
638178;1;3;70;12;40;1;;2;52;1;;2;1;;;;;;;;;;1;;2;;2;1;1;97;97;5211;52;11;11;182.848.681.046.413
638195;1;1;70;2;60;1;;2;2;1;;4;1;;;;;;;;;;1;;1;300000;2;1;1;53;53;5521;55;11;11;243.799.006.173.414
638202;1;2;70;8;40;1;;2;16;3;;1;1;;;;;;;;;;1;;2;;2;1;1;53;53;9500;95;11;11;191.507.341.890.196
638216;1;4;70;3;48;1;;2;3;1;;2;1;;;;;;;;;;1;;1;120000;2;1;1;97;97;5020;50;11;11;199.965.627.905.638
638234;1;3;70;16;40;1;;1;;;.;;;.;.;;;;;;;;;.;;;;1;1;53;;;;11;11;260.961.090.729.455
638245;1;1;70;1;48;1;;2;276;1;;7;1;;;1;;;;;;;;;2;;2;1;1;58;58;7492;74;11;11;213.896.092.394.148
638262;1;6;70;24;48;2;;2;104;1;;4;8;;;;;;;;;;1;;2;;2;1;1;44;13;8011;80;11;11;151.579.325.613.036
638294;1;2;70;4;48;1;;2;4;4;;9;4;;;;;;;;;;1;;1;462000;2;1;1;32;39;7513;75;11;11;161.009.610.478.288
638301;1;2;70;48;48;4;;2;48;5;;3;2;;;;;;;;;;1;;2;;2;1;1;2;2;7421;74;11;11;19.736.651.494.822
638317;1;3;70;48;48;1;;2;48;1;;2;2;;;;;;;;;;1;;2;;2;1;1;13;45;5211;52;11;11;222.902.014.985.884
638329;1;2;70;1;30;1;;2;64;1;;2;2;;;;;;;;;;1;;2;;2;1;1;13;13;8011;80;11;11;224.784.412.413.152
638334;1;3;70;2;48;1;;2;32;1;;2;2;;;;;;;;;;1;;2;;2;1;1;45;55;8513;85;11;11;234.135.503.014.802
638360;1;3;70;14;40;1;;1;;;.;;;.;.;;;;;;;;;.;;;;1;1;37;;;;11;11;231.059.358.805.787
638388;1;3;70;5;48;1;;2;5;1;;2;1;;;;;;;;;;1;;2;;2;1;1;39;33;2899;28;11;11;225.432.168.997.034
638388;2;2;70;24;48;1;;2;28;3;;2;2;;;;;;;;;;1;;2;;2;1;1;62;54;9500;95;11;11;225.432.168.997.034
