DIRECTORIO;SECUENCIA_P;ORDEN;AREA;REGIS;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P9460;DSI;OFICIO1;OFICIO2;RAMA4D_D;RAMA2D_D;DPTO;fex_c_2011
636100;1;4;5;70;3;48;1;;2;3;1;;9;1;;;1;;;;;;;;;1;650000;2;1;79;79;1810;18;5;67.450.784.699.617
636103;1;3;5;70;13;48;1;;2;14;1;;4;7;;;;;;;;;;1;;2;;2;1;33;37;1810;18;5;725.712.050.369.665
636104;1;1;5;70;52;48;2;;2;120;4;;2;2;;;;;;;;;;1;;2;;2;1;12;12;7411;74;5;763.929.513.027.738
636110;1;3;5;70;16;48;1;;2;56;1;;6;1;;;1;;;;;;;;;2;;2;1;45;45;5211;52;5;708.055.350.835.748
636125;1;5;5;70;1;48;1;;2;12;1;;9;1;;;;;;;;;;1;;2;;2;1;56;75;1810;18;5;739.780.041.252.613
636127;1;1;5;70;4;6;4;;2;24;4;;1;1;;;;;;;;;;1;;2;;2;1;77;77;1551;15;5;847.119.843.031.528
636136;1;4;5;70;4;48;1;;2;5;1;;4;1;;;;;;;;;;1;;2;;2;1;45;53;5521;55;5;807.323.566.992.282
636139;1;7;5;70;2;48;8;;2;50;1;;3;4;;;;;;;;;;1;;2;;2;1;32;45;5233;52;5;106.645.862.593.026
636148;1;2;5;70;12;48;1;;2;14;1;;9;2;;;;;;;;;;1;;2;;2;1;59;45;1589;15;5;671.016.039.815.984
636151;1;3;5;70;4;48;1;;2;4;1;;9;3;;;;;;;;;;1;;1;70000;2;1;95;95;4530;45;5;719.532.615.186.923
636153;1;2;5;70;40;48;1;;2;100;1;;2;1;;;;;1;;;;;;;2;;2;1;45;55;7411;74;5;755.153.592.052.669
636153;1;3;5;70;14;48;3;;2;15;3;;1;1;;;;;;;;;;1;;2;;2;1;54;54;9500;95;5;755.153.592.052.669
636169;1;1;5;70;240;50;1;;2;250;1;;6;1;;;;;;;;;1;;YA ES  PENSIONADA;2;;2;1;94;90;2529;25;5;673.313.358.091.433
636175;1;4;5;70;40;50;1;;2;26;4;;9;1;;;;;;;;;;1;;1;120000;2;1;3;41;1593;15;5;901.284.659.027.025
636178;1;2;5;70;36;48;1;;2;36;1;;2;2;;;;;;;;;;1;;2;;2;1;45;45;5233;52;5;868.161.173.464.359
636182;1;2;5;70;54;48;1;;2;58;1;;3;1;;;;;;;;;;1;;2;;2;1;55;55;5233;52;5;763.270.865.372.966
636183;1;1;5;70;4;48;1;;2;4;1;;9;2;;;;;;;;;;1;;1;461500;2;1;33;33;9242;92;5;814.319.002.267.483
636184;1;2;5;70;24;48;1;;2;30;1;;4;2;;;;;;;;;;1;;2;;2;1;45;45;5234;52;5;754.424.193.524.329
636188;1;2;5;70;35;48;1;;2;35;1;;9;4;;;;;;;;;;1;;2;;2;1;32;32;7491;74;5;699.865.222.709.122
636189;1;2;5;70;12;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;1;45;;;;5;821.397.610.952.251
636195;1;2;5;70;24;50;1;;2;252;1;;5;2;;;;;;;;;;1;;2;;2;1;45;45;5234;52;5;801.382.010.527.133
636203;1;2;5;70;40;48;1;;2;40;1;;9;2;;;;;;;;;;1;;2;;2;1;58;58;5211;52;5;700.328.172.375.592
636204;1;3;5;70;24;48;1;;2;24;1;;4;1;;;;;;;;;;1;;2;;2;1;97;97;5233;52;5;68.311.190.426.063
636205;1;3;5;70;35;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;1;32;;;;5;705.140.488.015.256
636207;1;1;5;70;104;48;1;;2;106;8;;8;2;;;;;;;;;;1;;2;;2;1;45;62;121;1;5;655.494.827.149.428
636207;1;6;5;70;16;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;1;36;;;;5;655.494.827.149.428
636209;1;2;5;70;24;50;1;;2;26;1;;2;4;;;;;;;;;;1;;2;;2;1;79;79;1810;18;5;573.434.401.835.152
636209;1;5;5;70;10;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;1;45;;;;5;573.434.401.835.152
636212;1;1;5;70;40;48;2;;2;40;1;;5;2;;;;;;;;;;1;;2;;2;1;57;19;6512;65;5;701.087.689.588.612
636214;1;5;5;70;2;24;1;;2;12;1;;2;1;;;1;;;;;;;;;2;;2;1;45;45;5233;52;5;10.057.743.191.746
636231;1;3;5;70;12;48;1;;2;14;1;;9;1;;;;;;;;;;1;;2;;2;1;75;75;1810;18;5;831.972.375.544.906
636238;1;2;5;70;16;48;1;;2;18;1;;7;8;;;;;;;;;;1;;2;;2;1;3;34;7413;74;5;762.220.489.403.283
636241;1;2;5;70;13;60;1;;2;14;4;;3;1;;;;;;;;;;1;;2;;2;1;79;79;1810;18;5;788.697.441.996.007
636249;1;1;5;70;11;60;1;;2;10;4;;1;1;;;;;;;;;;1;;2;;2;1;58;99;5020;50;5;544.449.496.414.973
636249;1;2;5;70;16;48;3;;2;20;3;;1;1;;;;;;;;;;1;;2;;2;1;55;54;9500;95;5;544.449.496.414.973
636249;1;3;5;70;50;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;1;58;;;;5;544.449.496.414.973
636249;1;6;5;70;16;48;1;;2;20;1;;4;1;;;;;;;;;;1;;2;;2;1;53;53;5521;55;5;544.449.496.414.973
