DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;RAMA2D_D_R4;OFICIO1;OFICIO2;DSI;DSCY;MES;RAMA4D_D_R4;DPTO;fex_c_2011
5468969;1;4;1;70;05;1;52;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;908526; ; ; ;58; ;1;2;06;.;05;1262,56388087177
5468970;1;2;1;70;05;1;28;48;1; ;2;28;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;82;38;38;1;2;06;8220;05;953,174338461753
5468980;1;5;1;70;05;1;65;48;3; ;2;67;3; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;97;54;54;1;2;06;9700;05;1339,38293117031
5468981;1;1;1;70;05;1;104;24;1; ;2;104;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;450000;2; ;47;45;45;1;2;06;4711;05;1607,0136246672
5468982;1;2;1;70;05;1;24;48;1; ;2;24;1; ;9;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;908000;2; ;01;97;97;1;2;06;0125;05;1363,06303445538
5468988;1;2;1;70;05;1;12;24;1; ;2;12;1; ;4;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;450000;2; ;68;53;55;1;1;06;6820;05;967,503620401465
5468989;1;2;1;70;05;1;60;48;1; ;2;7;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;47;45;45;1;2;06;4771;05;1618,48631701154
5468990;1;2;1;70;05;1;12;48;1; ;2;52;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;47;58;45;1;1;06;4792;05;1443,53640168725
5468991;1;5;1;70;05;1;20;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;908526; ; ; ;45; ;1;2;06;.;05;886,26545160041
5468996;1;1;1;70;05;1;8;48;1; ;2;8;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;82;59;59;1;1;06;8230;05;800,262187059961
5468997;1;2;1;70;05;1;28;48;1; ;2;144;1; ;6;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;96;55;59;1;2;06;9609;05;1195,30537084732
5469010;1;2;1;70;05;1;52;48;1; ;2;208;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;77;45;45;1;2;06;7730;05;1126,30469595979
5469013;1;1;1;70;05;1;48;48;1; ;2;48;2; ;9;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;84;55;08;1;2;06;8413;05;1687,48699189907
5469014;1;2;1;70;05;1;8;48;1; ;2;15;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;1;1200000;908000;2; ;47;95;97;1;1;06;4752;05;2103,14112765142
5469050;1;2;1;70;05;1;64;48;1; ;2;64;1; ;8;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;1200000;2; ;73;16;16;1;2;06;7310;05;1038,9205740831
5469050;1;3;1;70;05;1;15;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;2000000; ; ; ;06; ;1;2;06;.;05;1038,9205740831
5469069;1;3;1;70;05;1;20;48;1; ;2;12;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;47;45;45;1;2;06;4791;05;1425,04867609036
5469071;1;1;1;70;05;1;12;48;1; ;2;14;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;56;53;53;1;1;06;5611;05;1191,83272548489
5469079;1;2;1;70;05;1;50;48;3; ;2;50;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;909000;2; ;56;54;45;1;2;06;5619;05;1618,34349781453
5469110;1;2;1;70;05;1;4;48;1; ;2;20;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;47;45;40;1;1;06;4741;05;717,697031801903
5469117;1;3;1;70;05;1;24;48;1; ;2;24;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;84;55;55;1;2;06;8424;05;1183,47137097614
5469117;1;5;1;70;05;1;24;48;1; ;2;24;1; ;3;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;47;45;45;1;2;06;4741;05;1183,47137097614
5469117;1;6;1;70;05;1;4;48;1; ;2;4;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;15;97;34;1;1;06;1512;05;1183,47137097614
5469119;1;1;1;70;05;1;24;48;3; ;2;60;3; ;1;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;97;54;54;1;2;06;9700;05;1105,3562243744
5469124;1;2;1;70;05;1;52;48;3; ;2;52;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908000;2; ;56;54;53;1;2;06;5611;05;1035,73949371981
5469132;1;1;1;70;05;1;78;48;1; ;2;78;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;23;87;87;1;2;06;2395;05;1174,52485085412
