DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7430;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;INI;MES;p7440;DPTO;fex_c_2011
5214050;1;2;1;80;68;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;09; ;68;471,758307390615
5214050;1;3;1;80;68;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;09; ;68;471,758307390615
5214051;1;1;1;80;68;1;4; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;09;1,4;68;450,450848657277
5214051;1;2;1;80;68;1;3; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;09;1,4;68;450,450848657277
5214051;1;3;1;80;68;1;4; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;09;1,4;68;450,450848657277
5214052;1;1;1;80;68;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;09;1,4;68;646,070087202373
5214053;1;1;1;80;68;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;09;1,4;68;501,905751183659
5214053;1;2;1;80;68;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09; ;68;501,905751183659
5214055;1;1;1;80;68;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;09;1,2;68;287,300572117251
5214055;1;2;1;80;68;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;09;1,4;68;287,300572117251
5214056;1;2;1;80;68;1;3; ;2; ; ;9; ;2; ;2; ;1;48;900000;2;1;09;1,4;68;331,512401850531
5214059;1;3;1;80;68;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;09;1,4;68;576,362897912831
5214059;1;4;1;80;68;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;09;1,4;68;576,362897912831
5214063;1;2;1;80;68;1;5; ;2; ; ;8; ;3; ;2; ; ; ; ;3;1;09;1,4;68;501,905751183659
5214067;1;2;1;80;68;1;4; ;2; ; ;4; ;3; ;2; ; ; ; ;3;1;09;1,4;68;323,035043601186
5214069;1;2;1;80;68;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09; ;68;266,807188014024
5214070;1;1;1;80;68;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;09;1,2;68;542,253788460769
5214100;1;3;1;80;76;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09; ;76;1319,87002994022
5214111;1;1;1;80;05;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;09;1,4;05;1296,13621776251
5214112;1;1;1;80;05;1;7; ;2; ; ;11; ;2; ;2; ; ; ; ;2;1;09;1,2;05;1037,07093980136
5214112;1;2;1;80;05;1;9;CAMBIO DE PAIS;2; ; ;11; ;2; ;2; ; ; ; ;2;1;09;1,3;05;1037,07093980136
