DIRECTORIO;SECUENCIA_P;ORDEN;AREA;REGIS;P7430;P7440;P7450;P7450S1;P7460;P7470;P7472;P7472S1;P7454;P7456;P7458S1;P7458;P7452;INI;DPTO;fex_c_2011
611992;1;1;5;80;1;1;0;;2;;2;;;;PRETENDE  MONTAR   UN  NEGOCIO   COMO  INDEPENDIENTE;12;2;1;5;880.321.363.552.371
611995;1;1;5;80;2;;;;3;;2;;2;;.;;;1;5;72.302.120.164.218
611997;1;2;5;80;1;4;2;;2;;2;;;;;9;2;1;5;748.480.898.177.083
611998;1;1;5;80;1;4;2;;2;;2;;;;;9;2;1;5;650.071.271.828.573
611999;1;1;5;80;1;4;4;;3;;2;;;;;10;2;1;5;818.924.389.429.445
612000;1;1;5;80;1;4;8;SE RETIRO PARA SER RENTISTA;2;;2;;;;;8;2;1;5;736.927.942.486.402
612001;1;3;5;80;2;;;;2;;2;;2;;.;;;1;5;715.400.382.362.216
612002;1;1;5;80;1;3;3;;3;;2;;;;;4;2;1;5;818.924.389.429.445
612002;1;2;5;80;1;3;8;CANSADA;3;;2;;;;CANSADA DE TRABAJAR;12;2;1;5;818.924.389.429.445
612004;1;1;13;80;1;4;2;;2;;2;;;;;8;2;1;13;350.369.675.761.602
612005;1;2;13;80;2;;;;2;;2;;2;;.;;;1;13;432.372.198.160.853
612006;1;1;13;80;1;4;7;;2;;2;;;;;8;2;1;13;620.367.035.786.091
612008;1;2;13;80;2;;;;2;;2;;2;;.;;;1;13;277.136.113.523.913
612008;1;3;13;80;2;;;;2;;2;;2;;.;;;1;13;277.136.113.523.913
612009;1;1;13;80;1;4;4;;3;;2;;;;;10;2;1;13;320.094.964.834.771
612009;1;4;13;80;2;;;;2;;2;;2;;.;;;1;13;320.094.964.834.771
612009;1;5;13;80;2;;;;2;;2;;2;;.;;;1;13;320.094.964.834.771
612010;1;1;13;80;1;3;3;;2;;2;;;;;4;2;1;13;285.635.611.417.859
612010;1;4;13;80;2;;;;2;;2;;2;;.;;;1;13;285.635.611.417.859
612010;1;6;13;80;2;;;;2;;2;;2;;.;;;1;13;285.635.611.417.859
612011;1;1;13;80;1;4;4;;3;;2;;;;;10;2;1;13;266.283.261.165.175
612011;1;2;13;80;2;;;;2;;2;;2;;.;;;1;13;266.283.261.165.175
612013;1;1;13;80;1;4;4;;3;;2;;;;;10;2;1;13;302.783.689.604.676
612014;1;1;13;80;1;4;3;;2;;2;;;;;8;2;1;13;212.482.357.467.632
612014;1;3;13;80;2;;;;2;;2;;2;;.;;;1;13;212.482.357.467.632
612015;1;3;13;80;2;;;;2;;2;;2;;.;;;1;13;171.029.215.538.699
612015;1;6;13;80;1;4;2;;2;;2;;;;;9;2;1;13;171.029.215.538.699
612016;1;2;13;80;2;;;;2;;2;;2;;.;;;1;13;254.396.265.107.107
612016;1;3;13;80;2;;;;2;;2;;2;;.;;;1;13;254.396.265.107.107
612016;1;4;13;80;2;;;;2;;2;;2;;.;;;1;13;254.396.265.107.107
612018;1;1;13;80;1;4;3;;3;;2;;;;;4;2;1;13;529.860.174.935.549
612018;1;3;13;80;2;;;;2;;2;;2;;.;;;1;13;529.860.174.935.549
612020;1;1;13;80;1;4;4;;3;;2;;;;;10;2;1;13;637.369.476.122.885
612021;1;5;13;80;2;;;;2;;2;;2;;.;;;1;13;222.999.884.160.394
612021;1;6;13;80;1;4;2;;2;;2;;;;;4;2;1;13;222.999.884.160.394
612022;1;1;13;80;1;2;5;;2;;2;;;;;2;2;1;13;336.099.653.068.008
612022;1;5;13;80;2;;;;2;;2;;2;;.;;;1;13;336.099.653.068.008
612023;1;2;13;80;1;4;2;;2;;2;;;;;9;2;1;13;151.331.019.946.419
612023;1;4;13;80;2;;;;2;;2;;2;;.;;;1;13;151.331.019.946.419
612023;1;5;13;80;2;;;;2;;2;;2;;.;;;1;13;151.331.019.946.419
612024;1;2;13;80;2;;;;2;;2;;2;;.;;;1;13;447.750.916.961.557
612026;1;2;13;80;1;1;7;;2;;2;;;;;9;2;1;13;344.097.146.992.964
612026;1;3;13;80;2;;;;2;;2;;2;;.;;;1;13;344.097.146.992.964
612027;1;2;13;80;2;;;;2;;2;;2;;.;;;1;13;271.038.070.661.042
