Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P6440;P6450;P6460;P6460s1;P6400;P6422;P6424;P6424s2;P6424s3;P6424s1;P6426;P6430s1;P6480;P6480s1;P6500;P6510;P6510s1;P6510s2;P6590;P6590s1;P6600;P6600s1;P6610;P6610s1;P6620;P6620s1;P6585;P6585s2a1;P6585s3a1;P6585s4a1;P6585s3a2;P6585s2a2;P6585s1a2;P6585s2;P6585s3;P6585s1a1;P6585s4;P6585s1;P6580;P6580s1;P6580s2;P6630;P6630s3;P6630s4a1;P6630s3a1;P6630s2a1;P6630s1a1;P6630s4;P6630s2;P6630s1;P6640;P6765;P6765s1;P6772;P6750;P6760;P550;P6780;P6780s1;P6790;P6410;P6640s1;P9440;P6630s6;P6630s6a1;P6410s1;P6545s1;P6545;P6545s2;P6585s4a2;P6773s1;P6775;P6772s1;P388;P6800;P6810;P6810s1;P6850;P6830;P6830s1;P6870;P6880;P6880s1;P6920;P6930;P6940;P6960;P6980;P6980s1;P6980s2;P6980s3;P6980s4;P6980s5;P6980s6;P6980s7;P6980s8;P6980s7a1;P6990;P7020;P7026;P7028;P7028s1;P7040;P7045;P7050;P7050s1;P7070;P760;P9450;P6915s1;P6915;P6773;P7075;P7077;P390;P7090;P7100;P7110;P7120;P7130;P7140;P7140s1;P7140s2;P7140s3;P7140s4;P7140s5;P7140s6;P7140s7;P7140s8;P7140s9;P7140s9a1;P7150;P7160;P7170;P7170s1;P7170s5;P7170s6;P7180;P7240;P7240s1;P514;P515;Oficio;Rama2d;Oci;P6430;Rama4d;Rama4dp8;Rama2dp8;Inglabo;Mes;Dpto;Fex_c_2011
3272607;1;1;1;60;2;1;1; ; ;1;1; ;1;1;1;18; ;1; ;540000;2; ; ;2; ;1;100000;2; ;2; ; ; ; ; ; ; ; ;2;2; ;2;2;2; ; ; ;2; ; ; ; ;2;2;2;2; ;.; ; ; ; ; ;.;12; ; ;2;2; ; ; ;2; ; ; ; ; ;63;50; ;.;50; ; ;2;8; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;7;1; ;1;4;4; ;100000;7;2; ;6; ;2;1;63;2; ; ; ;1;1;2;1;2;2;2;2;2;2;2; ;2;1; ;1;1;1;2;8; ;1;1;61;01;1;1;0117; ; ;740000;08;63;560,290465841498
3272607;1;2;1;60;2;2; ; ; ; ; ; ; ; ; ;18; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;.; ; ; ; ; ;.;12; ; ; ; ; ; ; ; ; ; ; ; ; ;63;15;2; ;15; ; ;2;1; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;12;6; ;2; ; ; ; ;84;2; ;6; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;3; ;1;1;53;01;1;6;0140; ; ; ;08;63;560,290465841498
3272607;1;3;1;60;2;1;1; ; ;1;1; ;1;1;1;18; ;1; ;280000;2; ; ;1;120000;2; ;2; ;2; ; ; ; ; ; ; ; ;2;2; ;2;2;2; ; ; ;2; ; ; ; ;2;2;2;2; ;.; ; ; ; ; ;.;12; ; ;2;2; ; ; ;2; ; ; ; ; ;63;50; ;.;50; ; ;2;8; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;60;8; ;2; ; ; ; ;2;2; ;6; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;3; ;1;1;62;01;1;8;0117; ; ;400000;08;63;560,290465841498
3272609;1;1;1;60;2;1;1; ; ;1;1; ;1;1;1;18; ;1; ;480000;2; ; ;2; ;1;150000;2; ;2; ; ; ; ; ; ; ; ;2;2; ;2;2;2; ; ; ;2; ; ;240000; ;2;1;2;2; ;.; ; ; ; ; ;.;12; ; ;2;2; ; ; ;2; ; ; ; ; ;63;50; ;.;50; ; ;2;8; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;60;4; ;1;3;4; ;50000;3;2; ;4; ;2;1;63;1;5;2;1;1;1;2;1;2;2;2;2;1;1;2; ;2;1; ;1;1;1;2;8; ;1;1;60;01;1;1;0113; ; ;680000;08;63;346,588451972141
3272609;1;2;1;60;2;2; ; ; ; ; ; ; ; ; ;18; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;.; ; ; ; ; ;.;12; ; ; ; ; ; ; ; ; ; ; ; ; ;63;15;2; ;15; ; ;2;1; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;3;3; ;2; ; ; ; ;4;2; ;6; ; ; ; ;2; ; ; ;1;1;2;1;2;2;2;2;2;2;2; ;2;1; ;1;2;1;2;3; ;1;1;53;55;1;6;5529; ; ; ;08;63;346,588451972141
3272610;1;1;1;60;2;1;1; ; ;1;1; ;2;2;2;5; ;1; ;440000;2; ; ;2; ;1;100000;2; ;2; ; ; ; ; ; ; ; ;2;2; ;2;2;2; ; ; ;2; ; ; ; ;2;2;2;2; ;.; ; ; ; ; ;.;12; ; ;2;2; ; ; ;2; ; ; ; ; ;63;50; ;.;50; ; ;2;8; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;4;4; ;1;3;4; ;140000;0;2; ;6; ;2;1;63;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;8; ;1;1;61;01;1;1;0111; ; ;680000;08;63;970,37783040016
3272610;1;3;1;60;2;2; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;.; ; ; ; ; ;.;5; ; ; ; ; ; ; ; ; ; ; ; ; ;63;10;1; ;10; ; ;2;1; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;1;4; ;2; ; ; ; ;7;2; ;6; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;3; ;1;1;53;55;1;6;5529; ; ; ;08;63;970,37783040016
3272611;1;1;1;60;2;1;1; ; ;1;1; ;2;2;2;1; ;1; ;480000;2; ; ;2; ;1;50000;2; ;2; ; ; ; ; ; ; ; ;2;2; ;2;2;2; ; ; ;2; ; ; ; ;2;2;2;2; ;.; ; ; ; ; ;.;12; ; ;2;2; ; ; ;2; ; ; ; ; ;63;50; ;.;50; ; ;5;8; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;6;1; ;2; ; ; ; ;0;2; ;4; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;2; ;1;1;62;01;1;8;0117; ; ;530000;08;63;979,788516124696
3272613;1;1;1;60;2;2; ; ; ; ; ; ; ; ; ;48; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;2;200000;1;2400000;3; ;12; ; ; ; ; ; ; ; ; ; ; ;2; ;63;50; ;.;50; ; ;1;8; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;36;4; ;2; ; ; ; ;0;2; ;2; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;8; ;1;1;61;01;1;4;0111; ; ;200000;08;63;593,804756141806
3272614;1;1;1;60;2;2; ; ; ; ; ; ; ; ; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;.; ; ; ; ; ;.;9; ; ; ; ; ; ; ; ; ; ; ; ; ;63;15;1; ;15; ; ;2;1; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;15;4; ;2; ; ; ; ;0;2; ;2; ; ; ; ;1;25;2;1;1;1;2;1;2;2;2;2;2;2;2; ;2;1; ;2;2;1;2;3; ;1;1;55;74;1;6;7492; ; ; ;08;63;593,804756141806
