DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7430;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;INI;MES;p7440;DPTO;fex_c_2011
5468958;1;4;1;80;05;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06; ;05;1442,39108680116
5468958;1;5;1;80;05;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06; ;05;1442,39108680116
5468959;1;1;1;80;05;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;06;4;05;867,171073921304
5468959;1;3;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06; ;05;867,171073921304
5468959;1;4;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06; ;05;867,171073921304
5468961;1;1;1;80;05;1;1; ;2; ; ;9; ;2; ;2; ;2; ;908526;2;1;06;2;05;1956,05043855734
5468963;1;1;1;80;05;1;9;POR PANDEMIA;1; ;1;4; ;2; ;2; ; ; ;908526;2;1;06;2;05;1028,35550250495
5468965;1;2;1;80;05;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;06;3;05;1443,53640168725
5468966;1;5;1;80;05;1;7; ;2; ; ;9; ;2; ;2; ;1;48;908526;2;1;06;3;05;1283,16272929405
5468967;1;3;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06; ;05;1106,30269751449
5468969;1;2;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06; ;05;1262,56388087177
5468969;1;5;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ;1;48;908526;2;1;06; ;05;1262,56388087177
5468970;1;4;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06; ;05;953,174338461753
5468971;1;3;1;80;05;1;7; ;2; ; ;1; ;2; ;2; ; ; ; ;2;1;06;1,4;05;1283,97052455974
5468973;1;1;1;80;05;1;7; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;06;4;05;1936,19125930905
5468974;1;3;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06; ;05;1028,82873907499
5468977;1;1;1;80;05;1;4; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;06;4;05;1046,44738449498
5468977;1;2;1;80;05;1;4; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;06;4;05;1046,44738449498
5468978;1;1;1;80;05;1;5; ;2; ; ;11; ;3; ;2; ; ; ; ;3;1;06;4;05;1190,52494481797
5468978;1;2;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06; ;05;1190,52494481797
5468979;1;2;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06; ;05;1776,62538218154
5468979;1;5;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06; ;05;1776,62538218154
5468980;1;2;1;80;05;1;6; ;2; ; ;9; ;2; ;2; ;2; ;908526;2;1;06;4;05;1339,38293117031
