DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;P5220;P5220S1;P6008;P6007;P6007S1;HOGAR;P4000;P4010;P4020;P4030S1;P4030S1A1;P4030S2;P4030S3;P4030S4;P4030S4A1;P4030S5;P4040;REGIS;CLASE;MES;DPTO;fex_c_2011
5443858;1;3;1;2;1;4;10;5;5;4; ; ; ;100000; ;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1;1;2; ;1;1;1;2;1;1;2;2;2; ;2; ;01;2;05;23;825,135224841669
5443859;1;4;1;2;1;4;4;5;5;4; ; ; ;200000; ;2;2;2;1;1;2;2;2;2;2;1;2;2;2;2;2;1;2;1;2;2;1;1;5;2; ;1;1;1;2;1;1;2;2;2; ;2; ;01;2;05;23;2144,6547926416
5443860;1;2;1;2;1;4;3;5;4;1; ; ;15000000;100000; ;2;1;2;1;1;1;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;2;2;2; ;1;1;5;1;1;1;2;2;2; ;2; ;01;2;05;23;1084,97843210697
5443861;1;2;1;2;1;4;10;1;4;1; ; ;15000000;150000; ;2;2;2;1;1;2;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1;1;2; ;1;1;1;2;1;1;2;2;2; ;2; ;01;2;05;23;1584,73764793113
5443862;1;3;1;2;1;4;4;5;5;4; ; ; ;120000; ;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;1;1;2;2;2;2; ;1;2; ;1;1;1;2;1;1;2;2;2; ;2; ;01;2;05;23;1335,52920416451
5443863;1;4;1;2;1;4;10;1;5;4; ; ; ;200000; ;2;1;2;1;1;2;1;2;2;2;1;2;1;2;2;2;1;2;2;2;2;1;1;2;2; ;1;1;1;2;1;1;2;2;2; ;2; ;01;2;05;23;1168,55809257053
5443864;1;3;2;2;1;4;10;5;5;4; ; ; ;90000; ;2;2;1;1;1;1;1;2;2;2;1;2;2;2;2;2;1;2;1;2;2;1;5;5;2; ;1;1;1;2;1;1;2;2;2; ;2; ;01;2;05;23;991,670493657409
5443865;1;4;3;2;1;4;4;5;5;4; ; ; ;120000; ;2;2;2;1;1;1;2;2;2;2;1;2;2;2;2;2;1;2;1;2;2;1;2;8;2; ;1;1;5;1;1;1;2;2;2; ;2; ;01;2;05;23;2043,440833642
5443866;1;2;1;6; ;4;4;1;4;1; ; ;5000000;60000; ;2;2;2;2;1;2;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1;2;2; ;1;1;7;1;1;1;2;2;2; ;2; ;01;2;05;23;1084,97843210697
5443867;1;3;2;6; ;4;4;1;4;4; ; ; ;80000; ;2;2;2;2;1;2;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1;6;2; ;1;1;8;1;1;1;2;2;2; ;2; ;01;2;05;23;919,231640390673
5449285;1;3;2;2;1;4;1;1;5;1; ; ;98;98; ;2;1;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;1;2;2;1;2;3;2; ;1;1;1;2;1;2;2;2;2; ;1;2;01;2;05;15;975,308915904142
5449286;1;3;2;2;1;4;1;1;5;1; ; ;98;200000; ;2;1;2;1;1;1;1;1;2;2;1;2;1;2;2;2;2;2;2;1;2;1;1;2;2; ;1;1;1;2;1;2;2;2;2; ;1;2;01;2;05;15;2725,95082888455
5449287;1;3;1;3;1;4;2;1;5;1; ; ;10000000;50000; ;2;1;2;2;2;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;2;2; ;1;1;5;3;1;2;2;2;2; ;2; ;01;2;05;15;975,308915904142
5449288;1;3;1;2;1;4;1;1;4;1; ; ;98;98; ;2;1;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;1;2;1;2;2;2; ;1;1;1;2;1;2;2;2;2; ;1;2;01;2;05;15;975,308915904142
5449289;1;3;2;2;1;4;2;1;5;1; ; ;98;98; ;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2; ;3;2; ;1;1;1;2;1;2;2;2;2; ;2; ;01;2;05;15;2147,61297499467
5449290;1;3;1;3;1;4;2;1;5;1; ; ;98;80000; ;2;1;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2; ;1;1;5;1;1;2;2;2;2; ;2; ;01;2;05;15;1720,25298225681
5449291;1;3;3;2;1;4;2;1;4;1; ; ;98;98; ;2;1;2;2;1;1;1;2;2;2;1;2;1;2;2;2;2;2;1;2;2;1;3;4;2; ;1;1;1;3;1;2;2;2;2; ;2; ;01;2;05;15;1808,10339871522
5449292;1;3;1;2;1;4;2;1;4;1; ; ;98;98; ;2;1;2;2;2;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;2;2; ;1;1;5;2;1;2;2;2;2; ;2; ;01;2;05;15;975,308915904142
5449293;1;3;2;2;1;4;2;1;4;4; ; ; ;150000; ;2;1;2;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;1;2;2;1;2;4;2; ;1;1;1;2;1;2;2;2;2; ;2; ;01;2;05;15;2176,35411222631
5449294;1;5;3;2;1;4;2;1;4;3; ; ; ; ;200000;2;1;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;3;3;2; ;1;1;1;2;1;2;2;2;2; ;2; ;01;2;05;15;1432,84874977972
5449295;1;3;1;2;1;4;1;1;4;1; ; ;4000000;200000; ;2;1;2;2;1;1;1;1;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2; ;1;1;1;2;1;2;2;2;2; ;1;2;01;2;05;15;1720,25298225681
5449296;1;3;1;2;1;4;1;1;4;4; ; ; ;200000; ;2;1;2;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;1;2;2;1;1;3;2; ;1;1;1;2;1;2;2;2;2; ;1;2;01;2;05;15;2484,78825929972
5449297;1;3;2;2;1;4;2;1;4;1; ; ;98;98; ;2;1;1;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;1;2;2;1;3;3;2; ;1;1;5;2;1;2;2;2;2; ;2; ;01;2;05;15;1760,68146649326
5449298;1;1;1;2;1;4;2;1;4;1; ; ;98;98; ;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2; ;1;2; ;1;1;1;2;1;2;2;2;2; ;2; ;01;2;05;15;1720,25298225681
5449785;1;3;1;2;1;4;1;5;5;4; ; ; ;40000; ;2;2;2;2;1;1;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1;2;2; ;1;1;1;2;1;1;2;2;2; ;1;2;01;2;05;70;843,410592579557
5449786;1;3;2;2;1;4;1;5;5;5; ; ; ;100000; ;2;2;2;2;1;1;2;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;1;8;2; ;1;1;1;2;1;1;2;2;2; ;1;2;01;2;05;70;1068,76453640139
5449787;1;2;2;6; ;4;1;5;5;5; ; ; ;50000; ;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;1;1;2;2;2;1;1;3;2; ;1;1;7;1;1;1;2;2;2; ;1;2;01;2;05;70;797,575925823532
5449788;1;1;1;6; ;3;1;6; ;1; ; ;14000000;30000; ;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;1;1;1;2;2;1;1;1;2; ;1;1;7;1;1;1;2;2;2; ;1;2;01;2;05;70;1038,17683758403
5449789;1;2;1;6; ;4;1;5;5;5; ; ; ;50000; ;2;2;2;2;1;1;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;1;1;2;2; ;1;1;4;1;1;1;2;2;2; ;1;2;01;2;05;70;908,381442573578
5449790;1;3;2;6; ;4;1;5;5;5; ; ; ;50000; ;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;1;1;2;2;2;1;1;5;2; ;1;1;7;1;1;1;2;2;2; ;1;2;01;2;05;70;993,026690770304
5449791;1;3;2;2;1;4;1;5;5;4; ; ; ;80000; ;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1;3;2; ;1;1;1;2;1;1;2;2;2; ;1;2;01;2;05;70;1293,57169561627
5449792;1;3;1;2;1;4;1;5;5;4; ; ; ;100000; ;2;2;2;2;1;1;2;2;2;2;1;2;2;2;2;2;1;1;1;2;2;1;1;2;2; ;1;1;1;2;1;1;2;2;2; ;1;2;01;2;05;70;514,954939305723
5449793;1;3;2;2;1;4;1;1;4;5; ; ; ;100000; ;2;1;2;1;1;1;1;2;2;2;1;2;2;2;2;2;1;2;1;2;2;1;2;5;2; ;1;1;1;2;1;1;2;2;2; ;1;2;01;2;05;70;1939,03725862217
5449794;1;4;3;6; ;4;1;5;5;4; ; ; ;150000; ;2;1;1;1;1;1;1;2;2;2;1;2;2;1;2;2;1;1;2;2;2;1;1;7;2; ;1;1;1;2;1;1;2;2;2; ;1;2;01;2;05;70;880,405657298077
5449795;1;2;2;6; ;4;1;1;4;5; ; ; ;50000; ;2;1;2;2;1;2;1;2;2;2;1;2;2;2;2;2;1;2;1;2;2;1;2;5;2; ;1;1;4;1;1;1;2;2;2; ;1;2;01;2;05;70;1191,42651212413
5449796;1;3;1;2;1;4;1;6; ;5; ; ; ;80000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;1;1;1;2; ;1;1;1;1;1;1;2;2;2; ;1;2;01;2;05;70;641,420850726518
5450210;1;3;2;2;1;4;6;1;5;4; ; ; ;100000; ;2;2;2;2;2;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;4;2; ;1;1;3;2;1;2;2;2;2; ;2; ;01;2;05;68;2664,28400857261
5450211;1;5;2;2;1;4;6;1;4;1; ; ;99;500000; ;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;2;1;2;1;1;1;4;1;2;2;2;2; ;2; ;01;2;05;68;666,071002143154
5450212;1;2;1;2;1;4;2;1;5;1; ; ;50000000;100000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2; ;1;1;1;1;1;1;2;2;2; ;2; ;01;2;05;68;1662,95450104954
5450213;1;2;1;2;1;4;2;1;4;4; ; ; ;100000; ;2;1;1;2;1;1;1;1;2;2;1;2;2;2;2;2;2;2;1;2;2;1;2;3;2; ;1;1;1;2;1;1;2;2;2; ;2; ;01;2;05;68;2136,50827457675
5450214;1;2;1;2;1;4;6;1;5;4; ; ; ;99; ;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;3;2; ;1;1;1;2;1;2;2;2;2; ;2; ;01;2;05;68;2634,77147925123
5450215;1;3;2;2;1;4;6;1;5;4; ; ; ;100000; ;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;3;3;2; ;1;1;3;2;1;2;2;2;2; ;2; ;01;2;05;68;978,540221587743
5450216;1;3;1;2;1;4;2;1;5;2; ;416000;60000000;300000; ;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2; ;1;1;1;2;1;1;2;2;2; ;2; ;01;2;05;68;666,071002143154
5450217;1;4;1;6; ;4;2;1;5;1; ; ;40000000;100000; ;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;2;2; ;1;1;1;2;1;1;2;2;2; ;2; ;01;2;05;68;666,071002143154
5450218;1;2;1;2;1;4;6;1;5;4; ; ; ;100000; ;2;1;2;2;2;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2; ;1;1;3;2;1;2;2;2;2; ;2; ;01;2;05;68;1662,95450104954
5450219;1;3;2;2;1;4;2;1;5;1; ; ;40000000;100000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;4;2; ;1;1;1;2;1;1;2;2;2; ;2; ;01;2;05;68;1234,81414259834
5450220;1;2;1;2;1;3;6;1;5;5; ; ; ;100000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;1;2;1;1;1;2;1;2;2;2;2; ;2; ;01;2;05;68;666,071002143154
5450221;1;2;1;2;1;4;2;1;5;3; ; ; ; ;100000;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3;3;2; ;1;1;1;2;1;1;2;2;2; ;2; ;01;2;05;68;947,190908589883
5450222;1;5;4;2;1;4;2;1;5;1; ; ;50000000;200000; ;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;5;2; ;1;1;1;2;1;1;2;2;2; ;2; ;01;2;05;68;1433,50242034458
5450223;1;3;1;2;1;4;6;1;5;1; ; ;98;100000; ;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;2;2; ;1;1;3;2;1;2;2;2;2; ;2; ;01;2;05;68;666,071002143154
5450224;1;2;2;2;1;3;2;1;5;1; ; ;30000000;100000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2; ;1;1;3;1;1;1;2;2;2; ;2; ;01;2;05;68;1135,8640640106
5450225;1;1;1;2;1;4;2;1;5;4; ; ; ;150000; ;2;2;2;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;4;2; ;1;1;1;2;1;1;2;2;2; ;2; ;01;2;05;68;2027,75730983411
5450226;1;2;2;3;1;4;2;1;5;4; ; ; ;100000; ;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;5;2; ;1;1;2;2;1;1;2;2;2; ;2; ;01;2;05;68;1695,11998563948
5450227;1;3;2;2;1;4;6;1;5;1; ; ;98;100000; ;2;2;2;2;2;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;2;2; ;1;1;3;2;1;2;2;2;2; ;2; ;01;2;05;68;1135,8640640106
5450228;1;3;2;2;1;4;6;1;5;1; ; ;280000000;300000; ;2;2;2;2;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;3;2; ;1;1;1;4;1;2;2;2;2; ;2; ;01;2;05;68;978,540221587743
5450229;1;4;1;2;1;4;6;1;5;1; ; ;200000000;99; ;2;2;2;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;1;1;2; ;1;1;4;2;1;2;2;2;2; ;2; ;01;2;05;68;1174,81816186345
5450230;1;2;1;2;1;4;2;1;5;1; ; ;20000000;150000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2; ;1;2; ;1;1;1;2;1;1;2;2;2; ;2; ;01;2;05;68;1530,83028203255
5450231;1;3;2;2;1;4;2;1;5;4; ; ; ;150000; ;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;3;2; ;1;1;4;1;1;1;2;2;2; ;2; ;01;2;05;68;1334,55234175683
5450232;1;2;1;2;1;4;2;1;5;4; ; ; ;200000; ;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2; ;2;2; ;1;1;3;2;1;1;2;2;2; ;2; ;01;2;05;68;666,071002143154
5450233;1;3;1;2;1;4;2;1;5;3; ; ; ; ;100000;2;2;2;2;2;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;2;2; ;1;1;1;2;1;1;2;2;2; ;2; ;01;2;05;68;748,502630843644
5450234;1;3;3;2;1;4;1;5;5;4; ; ; ;70000; ;2;2;2;2;1;1;2;2;2;2;1;2;2;2;2;2;1;2;1;2;2;1;1;5;2; ;1;1;1;1;1;1;2;2;2; ;1;2;01;2;05;70;514,954939305723
5450235;1;3;2;2;1;4;1;5;5;5; ; ; ;100000; ;2;2;2;2;1;1;2;2;2;2;1;2;2;2;2;2;1;2;1;2;2;1;1;2;2; ;1;1;1;2;1;1;2;2;2; ;1;2;01;2;05;70;981,866320847915
5450236;1;3;2;2;1;4;1;5;5;4; ; ; ;70000; ;2;1;2;1;2;1;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1;4;2; ;1;1;5;1;1;1;2;2;2; ;1;2;01;2;05;70;1678,76194865897
5450237;1;5;3;2;1;2;1;5;5;1; ; ;20000000;100000; ;2;2;2;1;1;1;2;2;2;2;1;2;2;2;2;2;1;1;1;2;2;1;1;6;2; ;1;1;1;1;1;1;2;2;2; ;1;2;01;2;05;70;1050,76189284827
5450238;1;3;2;2;1;4;1;5;5;5; ; ; ;100000; ;2;1;2;1;1;1;2;2;2;2;1;2;2;2;2;2;1;2;1;2;2;1;1;3;2; ;1;1;1;1;1;1;2;2;2; ;1;2;01;2;05;70;514,954939305723
5450239;1;2;1;6; ;4;1;5;5;4; ; ; ;50000; ;2;2;2;2;1;1;2;2;2;2;1;2;2;2;2;2;1;2;1;2;2;1;1;6;2; ;1;1;5;1;1;1;2;2;2; ;1;2;01;2;05;70;1809,24186361172
5450240;1;3;2;6; ;4;1;5;5;1; ; ;15000000;120000; ;2;2;2;1;1;1;2;2;2;2;1;2;2;2;2;2;1;2;1;2;2;1;1;6;2; ;1;1;5;1;1;1;2;2;2; ;1;2;01;2;05;70;1195,01643262334
5450241;1;3;2;2;1;4;1;5;5;1; ; ;15000000;60000; ;2;1;2;1;1;1;1;2;2;2;1;2;2;2;2;2;1;1;1;2;2;1;1;5;2; ;1;1;5;1;1;1;2;2;2; ;1;2;01;2;05;70;650,372329641402
5450242;1;2;2;2;1;4;1;5;5;4; ; ; ;50000; ;2;1;2;1;1;1;1;2;2;2;1;2;1;2;2;2;1;2;2;2;2;1;1;4;2; ;1;1;5;1;1;1;2;2;2; ;1;2;01;2;05;70;1227,8606802227
5450243;1;3;2;2;1;4;1;5;5;5; ; ; ;80000; ;2;2;2;2;1;1;2;2;2;2;1;2;2;2;2;2;1;2;1;2;2;1;1;5;2; ;1;1;1;1;1;1;2;2;2; ;1;2;01;2;05;70;993,026690770304
5450244;1;5;2;2;1;4;1;1;4;1; ; ;50000000;200000; ;2;2;1;1;1;1;2;2;2;2;1;2;1;1;2;2;1;2;1;2;2;1;4;4;2; ;1;1;1;4;1;1;2;2;2; ;1;2;01;2;05;70;1118,6381433992
5450245;1;2;1;2;1;4;1;1;4;4; ; ; ;50000; ;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;1;1;1;2;1;1;7;2;1;1;2;2;2; ;1;2;01;2;05;70;1231,89962046448
5450246;1;3;2;2;1;4;1;5;5;1; ; ;25000000;100000; ;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;2; ;4;2; ;1;1;1;2;1;1;2;2;2; ;1;2;01;2;05;70;795,760409101351
5450247;1;3;2;2;1;4;1;1;4;4; ; ; ;50000; ;2;2;2;1;2;1;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1;4;2; ;1;1;7;1;1;1;2;2;2; ;1;2;01;2;05;70;1281,96230595131
5450248;1;3;1;2;1;4;1;5;5;5; ; ; ;60000; ;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;2; ;2;2; ;1;1;1;2;1;1;2;2;2; ;1;2;01;2;05;70;843,410592579557
5450249;1;3;2;2;1;4;1;1;4;5; ; ; ;80000; ;2;2;2;1;1;1;1;2;2;2;1;2;2;2;2;2;1;2;1;2;2;1;1;4;2; ;1;1;1;2;1;1;2;2;2; ;1;2;01;2;05;70;601,644251935571
5450250;1;4;1;2;1;4;1;5;5;5; ; ; ;100000; ;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2; ;1;2; ;1;1;1;2;1;1;2;2;2; ;1;2;01;2;05;70;1231,89962046448
5450251;1;4;2;2;1;4;1;1;4;1; ; ;10000000;70000; ;2;2;2;2;2;1;1;2;2;2;1;2;2;2;2;2;1;2;1;2;2;1;2;5;2; ;1;1;1;2;1;1;2;2;2; ;1;2;01;2;05;70;1201,90236210422
5450252;1;4;3;2;1;3;1;5;5;4; ; ; ;100000; ;2;2;2;2;1;1;2;2;2;2;1;2;2;2;2;2;1;2;1;2;2;1;1;7;2; ;1;1;1;2;1;1;2;2;2; ;1;2;01;2;05;70;925,599880461045
5450253;1;3;1;2;1;4;1;6; ;5; ; ; ;100000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2; ;1;2; ;1;1;1;2;1;1;2;2;2; ;1;2;01;2;05;70;1231,89962046448
5450254;1;3;2;2;1;4;1;5;5;5; ; ; ;100000; ;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;1;2;1;2;2;1;2;3;2; ;1;1;1;2;1;1;2;2;2; ;1;2;01;2;05;70;1194,33191268104
5450255;1;7;2;2;1;4;1;1;5;1; ; ;60000000;200000; ;2;1;1;1;1;1;1;2;2;2;1;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;1;1;1;2;1;1;2;2;2; ;1;2;01;2;05;70;843,410592579557
5450256;1;4;1;2;1;4;1;1;4;1; ; ;20000000;100000; ;2;2;2;1;1;1;1;2;2;2;1;2;1;2;2;2;1;2;1;2;2;1;1;2;2; ;1;1;1;4;1;1;2;2;2; ;1;2;01;2;05;70;843,410592579557
5450257;1;2;1;2;1;4;1;6; ;3; ; ; ; ;70000;2;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;1;2;2; ;1;1;1;2;1;1;2;2;2; ;1;2;01;2;05;70;1160,3897935642
5450258;1;3;2;2;1;4;1;5;5;3; ; ; ; ;150000;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1;3;2; ;1;1;1;2;1;1;2;2;2; ;1;2;01;2;05;70;1239,47006988766
5450259;1;2;1;2;1;4;1;1;5;5; ; ; ;100000; ;2;1;2;1;2;1;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1;2;2; ;1;1;1;2;1;1;2;2;2; ;1;2;01;2;05;70;843,410592579557
5450260;1;3;3;2;1;3;3;1;5;4; ; ; ;150000; ;2;2;2;1;1;1;1;2;2;2;1;2;2;2;2;2;1;2;1;2;2;1;3;5;2; ;1;1;1;2;1;1;2;2;2; ;2; ;01;2;05;70;760,401592325414
5450261;1;3;1;2;1;4;1;5;5;1; ; ;6000000;50000; ;2;2;2;1;1;1;1;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;1;2;2; ;1;1;1;2;1;1;2;2;2; ;1;2;01;2;05;70;843,803966864881
5450262;1;4;2;2;1;4;4;1;5;4; ; ; ;100000; ;2;1;1;1;2;1;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;2;4;2; ;1;1;1;2;1;1;2;2;2; ;2; ;01;2;05;70;1109,67467487721
5450263;1;3;1;6; ;4;1;5;5;5; ; ; ;80000; ;2;2;2;2;1;1;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1;2;2; ;1;1;1;2;1;1;2;2;2; ;1;2;01;2;05;70;843,410592579557
5450264;1;3;1;2;1;4;1;5;4;1; ; ;25000000;100000; ;2;1;2;2;1;1;1;2;2;2;1;2;2;2;2;2;1;2;1;2;2;1;1;2;2; ;1;1;1;2;1;1;2;2;2; ;1;2;01;2;05;70;843,410592579557
5450265;1;3;2;2;1;4;1;1;5;1; ; ;12000000;100000; ;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;2;1;2;1;2;2;1;1;4;2; ;1;1;1;4;1;1;2;2;2; ;1;2;01;2;05;70;806,236259081439
5450266;1;4;3;6; ;4;1;5;5;1; ; ;25000000;100000; ;2;2;2;1;1;1;2;2;2;2;1;2;2;2;2;2;1;2;1;2;2;1;2;7;2; ;1;1;1;1;1;1;2;2;2; ;1;2;01;2;05;70;1219,9950832182
5450267;1;3;2;2;1;4;1;5;5;4; ; ; ;100000; ;2;2;2;1;1;1;1;2;2;2;1;2;1;2;2;2;1;2;1;2;2;1;1;3;2; ;1;1;1;2;1;1;2;2;2; ;1;2;01;2;05;70;852,070925837465
5450268;1;2;1;6; ;4;4;5;5;4; ; ; ;50000; ;2;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;1;2;1;2;2;1;1;6;2; ;1;1;5;1;1;1;2;2;2; ;2; ;01;2;05;70;2052,3428120367
5450269;1;2;1;2;1;4;1;1;5;4; ; ; ;100000; ;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;1;2;2;2;2;1;2;4;2; ;1;1;1;2;1;1;2;2;2; ;1;2;01;2;05;70;1038,86135752633
5450270;1;4;3;2;1;4;1;5;5;4; ; ; ;60000; ;2;2;2;2;1;1;2;2;2;2;1;2;2;2;2;2;1;2;1;2;2;1;1;3;2; ;1;1;1;2;1;1;2;2;2; ;1;2;01;2;05;70;657,954768671684
5450271;1;3;2;2;1;4;1;1;5;4; ; ; ;100000; ;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;2;4;2; ;1;1;6;1;1;1;2;2;2; ;1;2;01;2;05;70;741,658783372743
5450272;1;5;3;2;1;4;1;1;4;1; ; ;40000000;150000; ;2;1;2;1;1;1;1;2;2;2;1;2;2;2;2;2;1;2;1;2;2;1;2;5;2; ;1;1;1;2;1;1;2;2;2; ;1;2;01;2;05;70;676,047489785665
5450273;1;2;1;2;1;4;1;6; ;4; ; ; ;120000; ;2;2;2;1;1;1;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;2; ;1;2; ;1;1;1;2;1;1;2;2;2; ;1;2;01;2;05;70;641,420850726518
5450274;1;4;3;2;1;4;1;1;4;5; ; ; ;120000; ;2;1;1;1;1;1;1;2;2;2;1;2;2;1;2;2;1;2;1;1;2;1;4;6;2; ;1;1;1;4;1;1;2;2;2; ;1;2;01;2;05;70;544,683647360766
5450275;1;3;2;2;1;1;1;1;3;1; ; ;98;98; ;2;1;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;1;2;2;1;2;3;2; ;1;1;1;2;1;2;1;2;1;1;1;1;01;2;05;15;1580,41059232146
5450276;1;3;2;2;1;1;1;1;4;1; ; ;98;250000; ;2;1;1;1;1;1;1;1;2;2;1;2;2;1;2;2;2;2;2;1;2;1;3;3;2; ;1;1;1;4;1;2;2;2;1;1;1;1;01;2;05;15;1176,14218051
5450277;1;3;1;2;1;1;1;1;3;4; ; ; ;200000; ;2;1;2;2;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;1;1;2; ;1;1;1;2;1;2;1;2;1;1;1;1;01;2;05;15;1178,81422366771
5450278;1;3;2;2;1;1;1;1;3;1; ; ;98;98; ;2;1;2;2;2;1;1;2;2;2;1;2;2;2;2;2;2;2;1;2;2;1;2;5;2; ;1;1;1;2;1;2;1;2;1;1;1;1;01;2;05;15;2467,28773363909
5450279;1;3;1;2;1;1;1;1;3;4; ; ; ;200000; ;2;1;2;1;1;1;1;1;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;2;2; ;1;1;1;4;1;2;1;2;1;1;1;1;01;2;05;15;975,308915904142
5450280;1;3;2;2;1;1;1;1;4;3; ; ; ; ;200000;2;1;2;2;2;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;3;5;2; ;1;1;1;1;1;2;2;2;1;1;1;1;01;2;05;15;3557,24807991108
