DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;INI;MES;DPTO;fex_c_2011
4126402;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ;1;08;05;5106,71833654408
4126402;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;05;5106,71833654408
4126402;1;4;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;05;5106,71833654408
4126402;1;5;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;05;5106,71833654408
4126402;1;6;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;05;5106,71833654408
4126403;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;05;4157,14180987061
4126404;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ;1;08;05;7255,65197290689
4126404;2;2;2;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;05;7255,65197290689
4126416;1;1;1;80;2;1;3;3; ;2; ; ;9; ;2; ;2; ;1;08;05;3834,98803474174
4126416;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;05;3834,98803474174
4126417;1;1;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ;1;08;05;4955,015754113
4126418;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;05;5151,72695609416
4126418;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;05;5151,72695609416
4126422;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;05;4080,30449489896
4126422;1;6;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;05;4080,30449489896
4126422;1;7;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;05;4080,30449489896
4126424;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;05;5103,40863258099
4126426;1;2;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;05;3368,36503292322
4126427;1;2;1;80;2;1;4;6; ;2; ; ;9; ;2; ;2; ;1;08;05;3463,66527431334
4126427;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;05;3463,66527431334
4126451;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ;1;08;05;6675,37918435997
4126452;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;05;3448,89466869776
4126453;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;05;3594,46358705251
4126454;1;1;1;80;2;1;3;4; ;2; ; ;4; ;2; ;2; ;1;08;05;5485,86528150953
4126454;1;2;1;80;2;1;2;3; ;2; ; ;9; ;2; ;2; ;1;08;05;5485,86528150953
4126454;1;6;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;05;5485,86528150953
4126455;1;2;1;80;2;1;2;3; ;2; ; ;9; ;2; ;2; ;1;08;05;5406,95858652072
4126455;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;05;5406,95858652072
4126455;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;05;5406,95858652072
4126456;1;1;1;80;2;1;4;5; ;2; ; ;10; ;3; ;2; ;1;08;05;2938,0810503035
4126456;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ;1;08;05;2938,0810503035
4126456;1;3;1;80;2;1;1;6; ;1; ;1;1; ;2; ;2; ;1;08;05;2938,0810503035
4126457;1;1;1;80;2;1;1;4; ;2; ; ;4; ;2; ;1;90000;1;08;05;3257,98000005398
4126457;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;05;3257,98000005398
4126457;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;05;3257,98000005398
4126521;1;2;1;80;2;1;2;3; ;2; ; ;9; ;2; ;2; ;1;08;63;1113,0271604713
4126521;1;3;1;80;2;1;1;8; ;1; ;1;1; ;2; ;2; ;1;08;63;1113,0271604713
4126521;1;4;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;63;1113,0271604713
4126521;1;5;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;63;1113,0271604713
4126522;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;63;1007,57795789777
4126526;1;1;1;80;2;1;3;4; ;2; ; ;4; ;2; ;2; ;1;08;63;846,384244708745
4126527;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;63;1969,38974694921
4126529;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;63;795,893631219946
4126531;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;63;1232,9021919996
4126531;1;4;1;80;2;1;1;8; ;2; ; ;9; ;2; ;2; ;1;08;63;1232,9021919996
4126532;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;63;1109,30578767285
4126532;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;63;1109,30578767285
4126533;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;63;828,879810416059
4126536;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ;1;08;63;1090,40876926148
4126590;1;2;1;80;2;1;1;8; ;2; ; ;9; ;2; ;2; ;1;08;63;592,740735668997
4126590;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;63;592,740735668997
4126590;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;63;592,740735668997
4126591;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;63;614,402277339732
4126595;1;3;1;80;2;1;1;2; ;2; ; ;1; ;2; ;2; ;1;08;63;1090,60549722194
4126595;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;63;1090,60549722194
4126595;1;5;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;63;1090,60549722194
4126602;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ;1;08;63;1228,26317503742
4126605;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;63;749,295431895845
4126606;1;2;1;80;2;1;4;7; ;2; ; ;9; ;2; ;2; ;1;08;63;1186,85488067139
4126606;1;7;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;63;1186,85488067139
4126607;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;63;1065,40093249456
4126607;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;63;1065,40093249456
4126608;1;1;1;80;2;1;4;4; ;2; ; ;4; ;3; ;2; ;1;08;63;846,384244708745
4126609;1;2;1;80;2;1;4;4; ;2; ; ;8; ;2; ;2; ;1;08;63;875,47800974016
4126610;1;4;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;63;1137,49627705541
4126610;1;6;1;80;2;1;4;7; ;2; ; ;8; ;2; ;2; ;1;08;63;1137,49627705541
4126612;1;4;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;63;851,023261670926
4126614;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;63;1013,88550421379
4126616;1;2;1;80;2;1;2;3; ;2; ; ;9; ;2; ;2; ;1;08;63;774,303268662769
4126620;1;2;1;80;2;1;3;3; ;2; ; ;9; ;2; ;2; ;1;08;63;1127,08843396003
4126624;1;1;1;80;2;1;3;5; ;2; ; ;10; ;3; ;2; ;1;08;66;1091,63464828836
4126626;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;66;1117,09518348899
4126628;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;66;1509,99475986238
4126629;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;66;1540,56767142723
4126631;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;66;1065,96601524981
4126631;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;66;1065,96601524981
4126632;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;66;946,934589564547
4126633;1;1;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ;1;08;66;1596,98651230952
4126633;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;66;1596,98651230952
4126635;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;66;1578,1255561472
4126636;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ;1;08;66;1578,1255561472
4126636;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;66;1578,1255561472
4126638;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;66;1410,89695158289
4126639;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ;1;08;66;1175,1097544956
4126639;1;4;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;66;1175,1097544956
4126639;1;5;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;66;1175,1097544956
4126640;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;66;911,357829085695
4126641;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ;1;08;66;1526,9759469072
4126641;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;66;1526,9759469072
4126642;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;66;1090,86825177482
4126643;1;1;1;80;2;1;4;5; ;2; ; ;10; ;3; ;2; ;1;08;66;1358,69512210025
4126644;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;66;1161,93103741978
4126644;1;3;1;80;2;1;4;7; ;2; ; ;9; ;2; ;2; ;1;08;66;1161,93103741978
4126647;1;1;1;80;2;1;3;5; ;2; ; ;10; ;3; ;2; ;1;08;66;1210,54444849033
4126648;1;1;1;80;2;1;4;4; ;2; ; ;8; ;2; ;2; ;1;08;66;1204,08693593613
4126648;1;2;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ;1;08;66;1204,08693593613
4126649;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ;1;08;66;817,786938601063
4126650;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;66;1095,65973989279
4126650;1;3;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ;1;08;66;1095,65973989279
4126651;1;2;1;80;2;1;1;8; ;2; ; ;9; ;2; ;2; ;1;08;66;1081,53886401097
4126651;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;66;1081,53886401097
4126651;1;5;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;66;1081,53886401097
4126653;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;66;1588,15104611268
4126653;1;6;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;66;1588,15104611268
4126654;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;66;700,425510308297
4126654;1;5;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;66;700,425510308297
4126655;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;66;1789,53358559034
4126656;1;2;1;80;2;1;1;3; ;2; ; ;9; ;2; ;2; ;1;08;66;2053,26506999942
4126657;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;66;2095,57921304258
4126657;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;66;2095,57921304258
4126657;1;5;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;66;2095,57921304258
4126657;1;6;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;66;2095,57921304258
4126659;1;2;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;66;1117,09518348899
4126660;1;2;1;80;2;1;2;3; ;2; ; ;9; ;2; ;2; ;1;08;05;1204,08693593613
4126661;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ;1;08;05;952,391213047485
4126661;1;4;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;05;952,391213047485
4126661;1;5;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;05;952,391213047485
4126661;1;6;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;05;952,391213047485
4126663;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;05;1216,70735433632
4126664;1;1;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;05;1245,47643793894
4126664;1;2;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ;1;08;05;1245,47643793894
4126665;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;05;1060,15327372585
4126669;1;1;1;80;2;1;4;5; ;2; ; ;10; ;3; ;2; ;1;08;05;1246,24283445247
4126673;1;2;1;80;2;1;3;3; ;2; ; ;9; ;2; ;2; ;1;08;05;4058,73386218336
4126675;1;2;1;80;2;1;1;3; ;2; ; ;1; ;2; ;2; ;1;08;05;5563,71209417518
4126676;1;2;1;80;2;1;3;3; ;2; ; ;9; ;2; ;2; ;1;08;05;7927,22813916111
4127866;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;05;3633,40321621916
4127866;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;05;3633,40321621916
4127866;1;6;1;80;2;1;1;3; ;2; ; ;9; ;2; ;2; ;1;08;05;3633,40321621916
4127866;2;2;2;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;05;3633,40321621916
4127918;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;18;399,205621688143
4127919;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;18;241,086246001659
4127919;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;18;241,086246001659
4127919;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;18;241,086246001659
4127920;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;18;529,58762617749
4127921;1;4;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;18;341,004945493218
4127921;1;6;1;80;2;1;1;9;MIGRACION DE MUNICIPIO;2; ; ;9; ;2; ;2; ;1;08;18;341,004945493218
4127922;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;18;309,866683138329
4127923;1;2;1;80;2;1;3;3; ;2; ; ;9; ;2; ;2; ;1;08;18;241,086246001659
4127923;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;18;241,086246001659
4127923;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;18;241,086246001659
4127924;1;4;1;80;2;1;2;6; ;2; ; ;9; ;2; ;2; ;1;08;18;379,398679384425
4127928;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ;1;08;18;576,257148383553
4127928;1;5;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;18;576,257148383553
4127929;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;18;394,057699566609
4127929;1;5;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;18;394,057699566609
4127930;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ;1;08;18;250,241774923511
4127930;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;18;250,241774923511
4127931;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;18;334,14924557705
4127933;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;18;344,800658958915
4127935;1;2;1;80;2;1;2;3; ;2; ; ;9; ;2; ;2; ;1;08;18;449,914050498525
4127936;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;18;239,590361541646
4127936;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;18;239,590361541646
4127938;1;2;1;80;2;1;2;3; ;2; ; ;9; ;2; ;2; ;1;08;18;419,326312516347
4127938;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;18;419,326312516347
4127938;1;6;1;80;2;1;4;6; ;2; ; ;11; ;2; ;2; ;1;08;18;419,326312516347
4127940;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;18;304,815666894454
4127940;1;4;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;18;304,815666894454
4127940;1;5;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;18;304,815666894454
4127941;1;2;1;80;2;1;2;3; ;2; ; ;4; ;2; ;2; ;1;08;18;390,05009276629
4127941;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;18;390,05009276629
4127942;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;18;283,477376975824
4127943;1;2;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;18;398,017081868865
4127948;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;18;298,40192118443
4127949;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;18;339,652736837382
4127949;1;4;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;18;339,652736837382
4127949;1;5;1;80;2;1;3;6; ;2; ; ;1; ;2; ;2; ;1;08;18;339,652736837382
4127950;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ;1;08;18;315,664309179424
4127950;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;18;315,664309179424
4127951;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;18;514,933866400462
4127952;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;18;272,825963593959
4127954;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;18;276,631081086017
4127954;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;18;276,631081086017
4127955;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;18;484,608976801694
4127957;1;2;1;80;2;1;4;8; ;1; ;3;1; ;2; ;2; ;1;08;18;335,645130037062
4127957;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;18;335,645130037062
4127957;1;4;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;18;335,645130037062
4127958;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;18;283,477376975824
4127960;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;18;1204,08693593613
4127961;1;2;1;80;2;1;2;3; ;2; ; ;9; ;2; ;2; ;1;08;18;1551,24219538107
4127962;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;18;1204,08693593613
4127967;1;2;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ;1;08;18;1060,15327372585
4127968;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;18;1660,38593462686
4127968;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;18;1660,38593462686
4127968;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;18;1660,38593462686
4127970;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;18;817,786938601063
4127970;1;4;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;18;817,786938601063
4127971;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;18;1172,60556137362
4130682;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;18;272,825963593959
4130683;1;1;1;80;2;1;1;4; ;2; ; ;4; ;2; ;2; ;1;08;18;419,186442545781
4130683;1;2;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;18;419,186442545781
4130685;1;1;1;80;2;1;1;3; ;2; ; ;9; ;2; ;2; ;1;08;18;388,590768515434
4130687;1;1;1;80;2;1;1;3; ;2; ; ;6; ;2; ;2; ;1;08;18;373,937008738406
4130687;1;2;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;18;373,937008738406
4130688;1;2;1;80;2;1;1;9;EMBARAZO;2; ; ;12;EMBARAZO;2; ;2; ;1;08;18;250,241774923511
4130688;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;18;250,241774923511
4130689;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ;1;08;18;368,880732089375
4130689;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;18;368,880732089375
4130690;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ;1;08;18;460,528903671234
4130690;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;18;460,528903671234
4130691;1;1;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ;1;08;18;529,827110805069
4130691;1;5;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;18;529,827110805069
4130692;1;2;1;80;2;1;2;4; ;2; ; ;4; ;2; ;2; ;1;08;18;286,057394439448
4130693;1;1;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;18;349,654446299685
4130695;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;18;338,805804014715
4130697;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ;1;08;18;276,631081086017
4130697;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;18;276,631081086017
4130698;1;2;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;18;377,742126230464
4130698;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;18;377,742126230464
4130699;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;18;413,859381465171
4130701;1;1;1;80;2;1;3;4; ;2; ; ;4; ;2; ;2; ;1;08;18;287,479723370987
4130702;1;2;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;18;373,937008738406
4130703;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;18;307,557450106283
4130704;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;18;427,293301618922
4130707;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ;1;08;18;241,086246001659
4130707;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;18;241,086246001659
4130707;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;18;241,086246001659
4130708;1;1;1;80;2;1;3;4; ;2; ; ;8; ;2; ;2; ;1;08;18;401,785639151767
4130708;1;2;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ;1;08;18;401,785639151767
4130710;1;2;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;18;373,937008738406
4130713;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;18;460,600927035291
4130713;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;18;460,600927035291
4130713;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;18;460,600927035291
4130713;1;5;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;18;460,600927035291
4130713;1;6;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;18;460,600927035291
4130714;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ;1;08;18;250,241774923511
4130714;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;18;250,241774923511
4130715;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;18;307,557450106283
4130716;1;2;1;80;2;1;2;3; ;2; ; ;1; ;2; ;2; ;1;08;18;687,886140823051
4130716;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;18;687,886140823051
4130717;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;18;553,667699307949
4130718;1;2;1;80;2;1;1;4; ;2; ; ;4; ;2; ;2; ;1;08;18;344,800658958915
4130718;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;18;344,800658958915
4130719;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;18;379,435239593581
4130719;1;4;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;18;379,435239593581
4130720;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ;1;08;18;600,337221514013
4130720;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;18;600,337221514013
4130721;1;2;1;80;2;1;1;8; ;2; ; ;9; ;2; ;2; ;1;08;18;287,750507802565
4130721;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;18;287,750507802565
4130722;1;2;1;80;2;1;1;3; ;2; ; ;9; ;2; ;2; ;1;08;18;322,211209883311
4130723;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;18;413,859381465171
4130724;1;2;1;80;2;1;1;4; ;2; ; ;4; ;2; ;2; ;1;08;18;427,293301618922
4130724;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;18;427,293301618922
4130725;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;18;515,607369186017
4130726;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;18;413,859381465171
4130727;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;18;396,968412020153
4130727;1;6;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;18;396,968412020153
4130728;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;18;399,205621688143
4130729;1;2;1;80;2;2; ; ; ; ;1;4;9; ;2; ;2; ;1;08;18;331,637523236743
4130730;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ;1;08;18;508,689049932153
4130731;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;18;270,728623896535
4130731;1;4;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;18;270,728623896535
4130731;1;5;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;18;270,728623896535
4130731;1;6;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;18;270,728623896535
4130731;1;7;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;18;270,728623896535
4130732;1;2;1;80;2;1;3;3; ;2; ; ;9; ;2; ;2; ;1;08;18;344,800658958915
4130732;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;18;344,800658958915
4130733;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;18;371,18996512142
4130733;1;3;1;80;2;1;1;4; ;2; ; ;4; ;2; ;2; ;1;08;18;371,18996512142
