DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P744;P1884;P1807;P7430;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P6921;P7470;P7472;P7472S1;INI;MES;p7440;DPTO;fex_c_2011
6,000,013;1;2;1;80;05;1;;;;1;6;;2;;;9;;2;2;;2;;1;11;1.3;05;1030.3000973
6,000,013;1;4;1;80;05;1;;;;2;;;;2;;;.;;;;2;;1;11;;05;1030.3000973
6,000,014;1;1;1;80;05;1;1;48;908,526;1;4;;2;;;4;;2;2;;2;;1;11;2;05;1130.6677527
6,000,015;1;1;1;80;05;1;;;;2;;;;2;;;.;2;2;;2;;1;11;;05;1064.4435899
6,000,015;1;4;1;80;05;1;;;;2;;;;2;;;.;2;2;;2;;1;11;;05;1064.4435899
6,000,017;1;1;1;80;05;1;;;;1;4;;2;;;4;;2;2;;2;;1;11;4;05;1129.3258068
6,000,017;1;2;1;80;05;1;;;;1;4;;2;;;1;;2;2;;2;;1;11;4;05;1129.3258068
6,000,019;1;1;1;80;17;1;;;;1;1;;2;;;8;;2;2;;2;;1;11;4;17;157.93634345
6,000,019;1;2;1;80;17;1;;;;1;5;;2;;;10;;3;3;;2;;1;11;4;17;157.93634345
6,000,020;1;1;1;80;17;1;;;;2;;;;2;;;.;2;2;;2;;1;11;;17;199.03286623
6,000,022;1;1;1;80;17;1;;;;1;5;;2;;;10;;3;3;;2;;1;11;4;17;133.56471853
6,000,022;1;2;1;80;17;1;;;;2;;;;2;;;.;2;2;;2;;1;11;;17;133.56471853
6,000,022;1;4;1;80;17;1;;;;2;;;;2;;;.;2;2;;2;;1;11;;17;133.56471853
6,000,024;1;1;1;80;17;1;;;;1;3;;2;;;8;;2;2;;2;;1;11;4;17;145.1275896
6,000,024;1;3;1;80;17;1;;;;2;;;;2;;;.;2;2;;2;;1;11;;17;145.1275896
6,000,026;1;1;1;80;17;1;;;;1;5;;2;;;10;;3;3;;2;;1;11;4;17;147.70428805
6,000,026;1;2;1;80;17;1;;;;1;3;;2;;;9;;2;2;;2;;1;11;4;17;147.70428805
6,000,026;1;5;1;80;17;1;;;;2;;;;2;;;.;2;2;;2;;1;11;;17;147.70428805
6,000,027;1;2;1;80;17;1;;;;1;7;;2;;;4;;2;2;;2;;1;11;4;17;200.3636819
6,000,027;1;3;1;80;17;1;;;;2;;;;2;;;.;2;2;;2;;1;11;;17;200.3636819
6,000,029;1;1;1;80;17;1;;;;1;8;;2;;;7;;2;2;;2;;1;11;2;17;236.58205029
6,000,029;1;2;1;80;17;1;;;;1;4;;2;;;4;;2;2;;2;;1;11;4;17;236.58205029
6,000,030;1;1;1;80;17;1;;;;1;3;;2;;;9;;2;2;;2;;1;11;4;17;177.56830368
6,000,030;1;3;1;80;17;1;;;;1;2;;2;;;2;;2;2;;2;;1;11;2;17;177.56830368
6,000,031;1;1;1;80;17;1;;;;1;5;;2;;;10;;3;3;;2;;1;11;4;17;199.03286623
6,000,032;1;1;1;80;17;1;;;;2;;;;2;;;.;2;2;;2;;1;11;;17;157.93634345
6,000,034;1;1;1;80;17;1;;;;1;7;;2;;;9;;2;2;;2;;1;11;2;17;169.76630277
6,000,034;1;4;1;80;17;1;;;;2;;;;2;;;.;2;2;;2;;1;11;;17;169.76630277
6,000,034;1;5;1;80;17;1;;;;2;;;;2;;;.;2;2;;2;;1;11;;17;169.76630277
6,000,036;1;2;1;80;17;1;;;;2;;;;2;;;.;;;;2;;1;11;;17;186.22411238
6,000,037;1;2;1;80;17;1;;;;1;3;;2;;;9;;2;2;;2;;1;11;4;17;256.69890323
6,000,037;1;3;1;80;17;1;;;;2;;;;2;;;.;;;;2;;1;11;;17;256.69890323
6,000,038;1;1;1;80;54;1;;;;1;3;;2;;;9;;2;2;;2;;1;11;3;54;483.94985307
6,000,038;1;3;1;80;54;1;;;;2;;;;2;;;.;;;;2;;1;11;;54;483.94985307
6,000,039;1;1;1;80;54;1;;;;1;4;;2;;;8;;2;2;;2;;1;11;4;54;384.266675
6,000,039;1;2;1;80;54;1;;;;1;4;;2;;;4;;2;2;;2;;1;11;4;54;384.266675
6,000,040;1;2;1;80;54;1;;;;1;3;;2;;;9;;2;2;;2;;1;11;1.4;54;522.06872014
6,000,040;1;3;1;80;54;1;;;;2;;;;2;;;.;2;2;;2;;1;11;;54;522.06872014
6,000,040;1;4;1;80;54;1;;;;2;;;;2;;;.;;;;2;;1;11;;54;522.06872014
6,000,040;1;5;1;80;54;1;;;;2;;;;2;;;.;2;2;;2;;1;11;;54;522.06872014
6,000,041;1;1;1;80;54;1;;;;1;1;;2;;;8;;2;2;;2;;1;11;2;54;219.52449711
6,000,041;1;2;1;80;54;1;;;;1;3;;2;;;9;;2;2;;2;;1;11;4;54;219.52449711
6,000,043;1;7;1;80;54;1;;;;1;3;;2;;;9;;2;2;;2;;1;11;4;54;228.04795128
6,000,044;1;1;1;80;54;1;1;40;800,000;1;4;;2;;;4;;2;2;;2;;1;11;2;54;523.09490992
6,000,044;1;3;1;80;54;1;;;;2;;;;2;;;.;2;2;;2;;1;11;;54;523.09490992
6,000,048;1;2;1;80;68;1;2;;3,000,000;1;9;POR LA PANDEMIA;2;;;12;POR LA PANDEMIA;1;1;1;2;;1;11;3;68;524.64649103
6,000,048;1;3;1;80;68;1;;;;2;;;;2;;;.;;;;2;;1;11;;68;524.64649103
6,000,050;1;1;1;80;68;1;;;;1;8;;2;;;8;;3;3;;2;;1;11;3;68;558.36164289
6,000,050;1;2;1;80;68;1;;;;1;3;;2;;;9;;2;2;;2;;1;11;4;68;558.36164289
6,000,051;1;2;1;80;68;1;;;;2;;;;2;;;.;2;2;;2;;1;11;;68;656.29085127
6,000,051;1;3;1;80;68;1;;;;2;;;;2;;;.;2;2;;2;;1;11;;68;656.29085127
6,000,051;1;4;1;80;68;1;;;;2;;;;2;;;.;;;;2;;1;11;;68;656.29085127
6,000,054;1;2;1;80;68;1;;;;1;5;;2;;;10;;3;3;;2;;1;11;4;68;558.36164289
6,000,572;1;2;1;80;;1;;;;1;3;;2;;;1;;2;2;;2;;1;11;3;15;3863.540604
6,000,572;1;3;1;80;;1;;;;2;;;;2;;;.;2;2;;2;;1;11;;15;3863.540604
6,000,572;1;4;1;80;;1;;;;2;;;;2;;;.;2;2;;2;;1;11;;15;3863.540604
6,000,572;1;5;1;80;;1;;;;2;;;;2;;;.;;;;2;;1;11;;15;3863.540604
6,000,573;1;2;1;80;;1;;;;2;;;;2;;;.;;;;2;;1;11;;15;3007.6369516
6,000,573;1;3;1;80;;1;;;;2;;;;2;;;.;2;2;;2;;1;11;;15;3007.6369516
6,000,575;1;1;1;80;;1;;;;2;;;;2;;;.;2;2;;2;;1;11;;15;3232.420421
6,000,577;1;3;1;80;;1;;;;2;;;;2;;;.;2;2;;2;;1;11;;15;3561.26495
6,000,577;1;4;1;80;;1;;;;2;;;;2;;;.;;;;2;;1;11;;15;3561.26495
6,000,577;1;6;1;80;;1;;;;2;;;;2;;;.;2;2;;2;;1;11;;15;3561.26495
6,000,599;1;1;1;80;;1;;;;2;;;;2;;;.;2;2;;2;;1;11;;15;4075.1029008
6,000,607;1;2;1;80;;1;;;;1;3;;2;;;9;;2;2;;2;;1;11;4;15;4109.6303137
6,000,655;1;2;1;80;05;1;;;;1;4;;2;;;8;;2;2;;2;;1;11;4;05;971.77239807
6,000,656;1;1;1;80;05;1;;;;2;;;;2;;;.;2;2;;2;;1;11;;05;1021.2852528
6,000,656;1;2;1;80;05;1;;;;1;5;;2;;;10;;3;3;;2;;1;11;1.2;05;1021.2852528
6,000,657;1;4;1;80;05;1;;;;1;8;;2;;;1;;2;2;;2;;1;11;3;05;1130.0475499
6,000,658;1;1;1;80;05;1;;;;1;5;;2;;;10;;3;3;;2;;1;11;3;05;894.3979112
6,000,658;1;2;1;80;05;1;;;;1;8;;2;;;8;;2;2;;2;;1;11;4;05;894.3979112
6,000,658;1;3;1;80;05;1;;;;2;;;;2;;;.;2;2;;2;;1;11;;05;894.3979112
6,000,658;1;4;1;80;05;1;;;;1;4;;2;;;4;;2;2;;2;;1;11;4;05;894.3979112
