DIRECTORIO,SECUENCIA_P,P5000,P5010,P5020,P5030,P5040,P5050,P5080,P5090,P5090S1,P5100,P5110,P5130,P5140,P5210S1,P5210S2,P5210S3,P5210S4,P5210S5,P5210S6,P5210S7,P5210S8,P5210S9,P5210S10,P5210S11,P5210S14,P5210S15,P5210S16,P5210S17,P5210S18,P5210S19,P5210S20,P5210S21,P5210S22,P5210S24,HOGAR,P4000,P4010,P4020,P4030S1,P4030S2,P4030S3,P4030S4,P4030S5,P4030S1A1,P4030S4A1,P4040,REGIS,CLASE,P5070,DPTO,ORDEN,AREA,fex_c_2011
590828,1,3,2,1,1,1,1,3,3,,,,,180000,2,2,2,2,1,1,1,2,2,2,1,2,1,2,2,2,1,1,2,2,2,1,2,1,4,1,1,1,1,1,3,3,1,1,1,1,8,1,8,449.073.237.095.537
590830,1,3,3,6,,1,1,1,4,,,,100000,,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,1,2,1,2,2,1,1,1,3,1,1,1,2,8,1,8,478.390.871.693.159
590831,1,1,1,1,1,1,1,3,4,,,,120000,,2,2,2,2,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,8,1,8,501.146.830.946.054
590832,1,2,2,1,1,1,1,3,1,,,5000000,150000,,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,2,1,2,1,2,2,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,8,1,8,572.317.300.022.763
590834,1,7,6,1,1,1,1,3,4,,,,500000,,2,2,2,1,1,1,1,2,2,2,1,2,1,2,2,2,1,1,2,2,2,1,1,1,4,1,1,1,1,1,5,3,1,1,1,1,8,1,8,393.552.758.627.676
590835,1,4,3,1,1,1,1,3,1,,,60000000,400000,,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,2,2,2,1,2,1,4,1,1,1,1,1,3,3,1,1,1,1,8,1,8,41.632.096.437.648
590836,1,5,4,1,1,1,1,3,1,,,20000000,400000,,2,2,2,2,1,1,1,2,2,2,1,2,2,2,2,1,1,1,2,2,2,1,2,1,4,1,1,1,1,1,3,3,1,1,1,1,8,1,8,304.903.107.012.119
590837,1,4,3,1,1,1,1,3,4,,,,300000,,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,1,2,2,2,2,1,2,1,4,1,1,1,1,1,3,3,1,1,1,1,8,1,8,522.013.377.494.497
590838,1,5,4,1,1,1,1,3,1,,,55000000,380000,,2,2,2,1,1,1,1,2,2,1,1,1,2,2,2,2,1,2,2,2,2,1,2,1,4,1,1,1,1,1,3,3,1,1,1,1,8,1,8,504.686.173.590.555
590839,1,3,1,1,1,1,1,3,1,,,5000000,150000,,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,8,1,8,363.532.883.243.606
590840,1,3,2,1,1,1,1,3,1,,,6000000,195000,,2,2,2,2,1,1,1,2,2,2,1,1,1,2,2,2,1,2,1,2,2,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,8,1,8,63.994.842.645.497
590841,1,7,6,1,1,1,1,3,1,,,20000000,200000,,2,2,2,1,1,1,1,1,2,2,1,1,1,2,2,2,1,2,1,2,1,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,8,1,8,477.735.303.797.383
590842,1,5,4,1,1,1,1,3,4,,,,450000,,1,1,2,2,1,1,1,2,2,2,1,1,2,2,2,2,1,1,2,2,2,1,1,1,4,1,1,1,1,1,4,3,1,1,1,1,8,1,8,346.920.166.622.021
590843,1,4,3,1,1,1,1,3,1,,,60000000,500000,,1,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,1,2,1,2,2,1,1,1,4,1,1,1,1,1,3,3,1,1,1,1,8,1,8,322.558.761.177.689
590844,1,3,2,1,1,1,1,3,1,,,35000000,350000,,2,1,2,1,1,1,1,2,2,2,1,2,2,2,2,2,1,2,1,2,2,1,1,1,2,1,1,1,1,1,2,3,1,1,1,1,8,1,8,868.788.833.854.034
590844,2,1,1,1,1,1,1,3,3,,,,,160000,2,2,2,1,2,1,2,2,2,2,1,2,1,2,2,2,1,2,2,1,2,2,,,,,,,,,,,1,1,1,,8,1,8,868.788.833.854.034
590845,1,4,3,1,1,1,1,3,1,,,45000000,300000,,1,2,2,2,1,1,1,2,2,2,1,1,1,2,2,2,1,2,2,1,1,1,1,1,4,1,1,1,1,1,2,3,1,1,1,1,8,1,8,557.061.090.094.619
590846,1,4,3,1,1,1,1,3,3,,,,,800000,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,1,2,2,1,2,1,2,1,4,1,1,1,1,1,5,3,1,1,1,1,8,1,8,507.170.332.195.162
590847,1,4,3,1,1,1,1,3,1,,,98,800000,,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,4,1,1,1,1,1,5,3,1,1,1,1,8,1,8,412.529.416.583.201
590849,1,5,4,1,1,1,1,3,3,,,,,500000,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,2,2,2,2,1,2,1,4,1,1,1,1,1,4,3,1,1,1,1,8,1,8,572.317.300.022.763
590850,1,3,2,1,1,1,1,3,1,,,60000000,300000,,2,1,2,2,1,1,1,2,2,2,1,1,1,1,2,1,1,1,2,2,2,1,1,1,4,1,1,1,1,1,2,3,1,1,1,1,8,1,8,825.058.833.166.403
590851,1,3,2,1,1,1,1,3,4,,,,100000,,2,2,2,2,1,1,1,2,2,2,1,1,1,2,2,2,1,2,2,2,2,1,2,1,2,1,1,1,1,1,2,3,1,1,1,1,8,1,8,960.046.220.631.999
590852,1,3,2,1,1,1,1,3,4,,,,150000,,2,2,2,2,1,1,1,2,2,2,1,1,1,2,2,2,1,2,2,2,2,1,2,1,4,1,1,1,1,1,3,3,1,1,1,1,8,1,8,454.382.251.062.289
590853,1,3,2,1,1,1,1,1,4,,,,150000,,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,1,1,1,3,3,1,1,1,1,8,1,8,365.290.308.069.948
590854,1,3,2,1,1,1,1,3,3,,,,,500000,1,1,2,1,1,1,1,2,2,2,1,1,1,2,2,2,1,2,2,2,2,1,1,1,4,1,1,1,1,1,3,3,1,1,1,1,8,1,8,464.301.352.603.494
590856,1,4,3,1,1,1,1,3,3,,,,,550000,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,2,2,1,2,1,1,1,4,1,1,1,1,1,4,3,1,1,1,1,8,1,8,413.256.150.361.467
590857,1,5,4,1,1,1,1,3,1,,,60000000,300000,,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,2,1,1,2,2,2,1,1,1,4,1,1,1,1,1,2,3,1,1,1,1,8,1,8,978.078.012.904.432
590858,1,4,3,1,1,1,1,3,3,,,,,280000,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,1,2,2,2,2,1,2,1,4,1,1,1,1,1,3,3,1,1,1,1,8,1,8,446.974.148.699.552
590859,1,4,3,1,1,1,1,3,1,,,100000000,400000,,1,1,2,1,1,1,1,1,2,2,1,1,1,1,2,1,1,2,2,1,2,1,1,1,4,1,1,1,1,1,3,3,1,1,1,1,8,1,8,366.017.041.848.214
590860,1,3,2,1,1,1,1,3,3,,,,,300000,1,1,2,1,1,1,1,1,2,2,1,1,1,2,2,2,1,2,2,2,2,1,2,1,4,1,1,1,1,1,3,3,1,1,1,1,8,1,8,461.817.193.998.886
590861,1,4,3,1,1,1,1,3,3,,,,,300000,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,2,2,2,1,2,1,4,1,1,1,1,1,3,3,1,1,1,1,8,1,8,518.474.034.849.996
590862,1,4,3,1,1,1,1,3,1,,,10000000,100000,,2,2,2,2,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,8,1,8,499.463.996.693.878
590863,1,3,2,1,1,1,1,3,1,,,98,100000,,2,2,2,2,1,1,1,2,2,2,1,1,1,2,2,2,1,1,2,2,2,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,8,1,8,547.654.236.748.208
590864,1,2,1,6,,1,2,,4,,,,100000,,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,1,2,1,2,2,1,2,1,1,1,2,2,1,2,1,3,,1,1,6,8,1,8,452.612.579.740.039
590865,1,4,3,1,1,1,1,3,1,,,15000000,150000,,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,1,2,1,2,2,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,8,1,8,487.358.969.686.612
590866,1,4,3,1,1,1,1,3,1,,,25000000,150000,,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,1,2,2,2,2,1,1,1,4,1,1,1,1,1,1,3,1,1,1,1,8,1,8,321.680.048.764.518
590867,1,3,2,1,1,1,1,3,4,,,,100000,,2,2,2,1,1,1,1,1,2,2,1,1,1,2,2,2,1,1,2,2,2,1,2,1,2,1,1,1,1,1,1,3,1,1,1,1,8,1,8,480.023.110.316
590868,1,4,3,1,1,1,1,3,3,,,,,350000,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,4,1,1,1,1,1,3,3,1,1,1,1,8,1,8,640.926.222.434.126
590869,1,4,3,1,1,1,1,3,3,,,,,300000,1,1,2,1,1,1,1,1,2,2,1,1,1,2,2,2,1,1,2,2,2,1,1,1,4,1,1,1,1,1,3,3,1,1,1,1,8,1,8,365.840.570.221.491
590870,1,4,3,1,1,1,1,3,1,,,40000000,250000,,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,1,2,2,2,2,1,1,1,4,1,1,1,1,1,3,3,1,1,1,1,8,1,8,478.403.118.189.067
590871,1,4,3,1,1,1,1,3,3,,,,,450000,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2,2,2,1,1,1,4,1,1,1,1,1,3,3,1,1,1,1,8,1,8,333.906.837.283.608
590871,2,5,3,1,2,1,1,3,4,,,,300000,,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,1,2,1,2,2,2,,,,,,,,,,,1,1,1,,8,1,8,333.906.837.283.608
590872,1,3,2,1,1,1,1,3,4,,,,300000,,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,2,1,2,1,2,1,4,1,1,1,1,1,3,3,1,1,1,1,8,1,8,480.023.110.316
590873,1,4,2,1,1,1,1,3,1,,,150000000,800000,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2,1,4,1,1,1,1,1,5,3,1,1,1,1,8,1,8,456.866.409.666.897
590874,1,5,3,1,1,1,1,3,1,,,67000000,500000,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,4,1,1,1,1,1,4,3,1,1,1,1,8,1,8,390.766.942.192.845
590876,1,4,3,1,1,1,1,3,1,,,80000000,300000,,1,1,1,1,1,1,1,2,2,2,1,1,1,2,2,2,1,2,2,2,2,1,2,1,4,1,1,1,1,1,2,3,1,1,1,1,8,1,8,628.070.860.272.774
590879,1,3,2,1,1,1,1,3,3,,,,,220000,2,2,1,1,1,1,1,2,2,2,1,1,1,1,2,2,1,1,2,2,2,1,2,1,4,1,1,1,1,1,3,3,1,1,1,1,8,1,8,452.612.579.740.039
590880,1,5,4,1,1,1,1,3,1,,,98,500000,,1,1,2,1,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,1,4,1,1,1,1,1,4,3,1,1,1,1,8,1,8,262.960.765.969.709
590882,1,3,2,1,1,1,1,3,1,,,25000000,300000,,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,1,2,2,2,2,1,2,1,4,1,1,1,1,1,2,3,1,1,1,1,8,1,8,839.455.686.508.809
590883,1,3,1,1,1,1,1,3,3,,,,,230000,2,1,2,1,1,1,1,1,1,2,1,1,1,2,2,1,1,2,2,2,2,1,2,1,4,1,1,1,1,1,3,3,1,1,1,1,8,1,8,454.382.251.062.289
590884,1,4,1,1,1,1,1,3,2,,680000,120000000,680000,,2,1,2,2,1,2,1,1,2,2,1,1,2,2,2,2,1,2,2,2,2,1,2,1,4,1,1,1,1,1,5,3,1,1,1,1,8,1,8,451.898.092.457.682
590885,1,3,2,1,1,1,1,3,3,,,,,120000,2,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,1,2,2,2,2,1,2,1,4,1,1,1,1,1,2,3,1,1,1,1,8,1,8,127.635.751.026.544
590886,1,4,1,1,1,1,1,3,1,,,99,300000,,2,1,2,1,1,1,1,2,2,1,1,1,2,2,2,2,1,2,2,1,2,1,2,1,4,1,1,1,1,1,3,3,1,1,1,1,8,1,8,320.801.336.351.348
590887,1,6,5,1,1,1,1,3,1,,,80000000,300000,,2,1,2,1,1,1,1,2,2,1,1,1,1,1,1,2,1,2,2,2,2,1,1,1,4,1,1,1,1,1,3,3,1,1,1,1,8,1,8,657.275.630.358.913
590889,1,3,2,1,1,1,1,3,1,,,60000000,300000,,1,2,2,1,1,1,1,1,1,2,1,1,1,2,2,1,1,2,2,2,2,1,1,1,4,1,1,1,1,1,3,3,1,1,1,1,8,1,8,454.382.251.062.289
590890,1,5,4,1,1,1,1,3,1,,,80000000,300000,,1,2,2,1,1,1,1,2,2,1,1,1,1,2,2,2,1,2,2,2,2,1,1,1,4,1,1,1,1,1,3,3,1,1,1,1,8,1,8,44.297.796.874.277
590892,1,5,2,1,1,1,1,3,1,,,98,300000,,1,2,2,2,1,1,1,2,2,2,1,1,2,2,2,2,1,2,2,2,2,1,1,1,4,1,1,1,1,1,3,3,1,1,1,1,8,1,8,348.926.354.209.666
590893,1,3,2,1,1,1,1,3,3,,,,,300000,2,2,2,1,1,1,1,1,2,2,1,1,2,2,2,2,1,2,2,2,2,1,2,1,4,1,1,1,1,1,4,3,1,1,1,1,8,1,8,503.807.461.177.384
590894,1,5,3,1,1,1,1,3,1,,,90000000,300000,,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,2,2,2,1,2,1,4,1,1,1,1,1,4,3,1,1,1,1,8,1,8,392.372.388.384.281
590895,1,2,1,1,1,1,1,3,3,,,,,250000,2,2,2,1,1,1,1,2,2,2,1,1,1,1,2,2,1,2,2,2,2,1,2,1,4,1,1,1,1,1,4,3,1,1,1,1,8,1,8,436.176.334.745.176
590896,1,4,3,1,1,1,1,3,1,,,90000000,500000,,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,1,1,2,2,1,2,1,1,1,4,1,1,1,1,1,4,3,1,1,1,1,8,1,8,455.096.738.344.646
590897,1,4,3,1,1,1,1,3,4,,,,700000,,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,2,2,2,2,1,2,1,4,1,1,1,1,1,5,3,1,1,1,1,8,1,8,363.532.883.243.606
590898,1,3,2,1,1,1,1,3,1,,,35000000,300000,,2,2,2,1,1,1,1,1,2,2,1,1,1,2,2,2,1,2,2,2,2,1,2,1,4,1,1,1,1,1,2,3,1,1,1,1,8,1,8,901.685.816.835.576
590899,1,4,3,2,1,1,1,3,1,,,37600000,500000,,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,2,1,2,2,2,2,1,1,1,4,1,1,1,1,1,4,3,1,1,1,1,8,1,8,325.042.919.782.297
590900,1,3,2,1,1,1,1,3,3,,,,,270000,1,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,1,2,2,2,2,1,2,1,4,1,1,1,1,1,3,3,2,1,1,1,8,1,8,409.002.320.434.609
590901,1,3,2,1,1,1,1,3,3,,,,,220000,2,2,1,2,1,1,1,2,2,2,1,1,1,1,2,2,1,2,1,2,2,1,2,1,4,1,1,1,1,1,3,3,1,1,1,1,8,1,8,451.898.092.457.682
590902,1,4,3,1,1,1,1,3,3,,,,,250000,2,2,2,2,1,1,1,2,2,2,1,1,1,2,2,2,1,2,2,2,2,1,2,1,4,1,1,1,1,1,3,3,1,1,1,1,8,1,8,418.849.130.841.234
590903,1,3,2,1,1,1,1,3,3,,,,,230000,2,2,2,2,1,1,1,2,2,2,1,1,2,2,2,2,1,2,2,2,2,1,2,1,4,1,1,1,1,1,3,3,1,1,1,1,8,1,8,503.807.461.177.384
590904,1,4,3,1,2,1,1,3,1,,,80000000,450000,,1,2,2,1,1,1,1,2,1,2,1,1,1,2,2,2,1,2,2,2,2,1,1,1,4,1,1,1,1,1,3,3,1,1,1,1,8,1,8,234.193.551.963.614
590906,1,4,3,1,1,1,1,3,1,,,70000000,400000,,1,1,2,1,1,1,1,2,2,2,1,1,1,2,2,1,1,1,2,1,2,1,1,1,4,1,1,1,1,1,3,3,1,1,1,1,8,1,8,951.210.110.516.655
